File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,112.19482337031083
00:09:34.084.mp4,0,1,122.16338584612667
00:17:10.535.mp4,0,0,120.35224588884572
00:12:19.952.mp4,0,1,124.64846419910195
00:09:38.088.mp4,0,0,120.50989574293149
00:15:44.934.mp4,0,1,124.02970558514353
00:12:29.397.mp4,1,2,122.71049316561867
00:11:21.904.mp4,1,4,122.4446844764988
00:10:39.642.mp4,0,0,121.17953777100726
00:01:56.787.mp4,0,0,124.88478367951562
00:10:57.095.mp4,1,0,120.15144657392011
00:00:54.431.mp4,0,1,126.39077250617912
00:11:40.728.mp4,0,1,122.4911543823124
00:02:06.019.mp4,0,0,123.4783518945426
00:01:18.718.mp4,0,0,121.77237907997589
00:00:40.515.mp4,0,1,125.57647122018187
00:01:08.637.mp4,0,0,120.82422348226594
00:03:14.557.mp4,1,0,125.87680033372641
00:03:24.590.mp4,0,2,120.51455260458702
00:10:18.376.mp4,1,0,124.99407891152975
00:21:04.004.mp4,0,0,122.49550365473294
00:14:57.864.mp4,0,1,121.7731594095745
00:01:43.464.mp4,0,1,121.09791720256742
00:09:14.543.mp4,1,1,124.31377316041127
00:00:44.976.mp4,1,0,124.05713883495255
00:20:31.154.mp4,0,1,124.64518220364555
00:10:31.171.mp4,0,1,123.80122720276994
00:00:30.442.mp4,0,0,124.56858114411611
00:02:45.437.mp4,0,0,123.30561668319254
00:01:35.018.mp4,0,0,123.94125249405465
00:02:56.377.mp4,0,2,120.34798284502095
00:07:23.982.mp4,0,1,124.08798880942477
00:07:13.094.mp4,1,0,125.39442323913931
00:13:57.166.mp4,0,0,125.28252679128579
00:01:33.260.mp4,1,0,125.63448288467856
00:01:46.723.mp4,0,0,126.67422244058962
00:12:35.997.mp4,0,0,125.5705032588628
00:02:09.862.mp4,0,0,126.1620856124339
00:08:16.887.mp4,3,0,125.98271233757312
00:06:41.309.mp4,0,1,125.85490895200202
00:06:29.647.mp4,1,0,123.74552081687455
00:03:56.751.mp4,1,0,126.56025226789625
00:03:57.024.mp4,0,1,125.85134039995674
00:08:29.506.mp4,0,1,126.13440160184811
00:04:09.367.mp4,0,1,123.85373594216006
00:01:18.633.mp4,0,1,125.03953029344002
00:03:45.470.mp4,1,0,125.41736434142008
00:02:22.882.mp4,0,1,125.68465228126286
00:20:47.501.mp4,1,0,125.81704647005323
00:04:41.671.mp4,0,3,126.72042667400224
00:17:09.138.mp4,0,0,124.81193294295035
00:15:30.421.mp4,1,1,124.91970455086967
00:01:06.501.mp4,0,0,125.92025886508219
00:04:18.881.mp4,2,0,123.32698367440587
00:04:33.174.mp4,0,2,126.60975778356614
00:04:28.936.mp4,2,0,127.1216704901971
00:05:42.581.mp4,0,2,122.1680598671589
00:05:28.371.mp4,1,0,125.38083244293662
00:02:56.135.mp4,1,0,124.62253577760211
00:03:12.339.mp4,0,1,124.68437494160754
00:10:06.540.mp4,1,2,123.357135034355
00:16:51.490.mp4,0,1,121.80141778371001
00:07:29.492.mp4,6,0,124.67657316777324
00:09:56.904.mp4,1,0,124.24657887833283
00:10:27.030.mp4,3,5,124.6426109002586
00:12:52.070.mp4,1,2,124.51388048198513
00:12:21.225.mp4,4,0,124.0413809685058
00:10:54.742.mp4,3,4,123.75778555279969
00:16:21.036.mp4,1,0,121.86797195571103
00:07:53.511.mp4,0,9,125.01372201075085
00:14:41.820.mp4,0,2,123.33761967984671
00:09:19.676.mp4,0,8,125.5426654374202
00:08:51.004.mp4,4,0,125.86459148645123
00:20:19.787.mp4,1,8,128.03868979937965
00:17:57.644.mp4,0,4,128.32783720013668
00:14:54.399.mp4,3,1,127.81231158491794
00:19:27.559.mp4,6,7,128.10488451324832
00:16:54.613.mp4,1,9,128.32867182102095
