File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,112.25918359463383
00:09:34.084.mp4,0,0,120.21542709239657
00:17:10.535.mp4,1,0,115.43136216286373
00:12:19.952.mp4,0,1,119.7268341331018
00:09:38.088.mp4,2,0,118.80674618136102
00:15:44.934.mp4,0,1,116.539002444367
00:12:29.397.mp4,0,2,119.60818086577977
00:11:21.904.mp4,0,3,119.18490418781273
00:10:39.642.mp4,0,0,117.61179754515211
00:01:56.787.mp4,0,0,119.09949515957967
00:10:57.095.mp4,0,0,119.09316045887797
00:00:54.431.mp4,0,1,116.23518413655304
00:11:40.728.mp4,1,1,118.31947495111126
00:02:06.019.mp4,0,1,119.36735123586757
00:01:18.718.mp4,0,0,118.86511034751497
00:00:40.515.mp4,0,0,116.47133348034531
00:01:08.637.mp4,0,0,104.90690433067584
00:03:14.557.mp4,2,0,123.02765292148023
00:03:24.590.mp4,0,1,118.76125720933884
00:10:18.376.mp4,0,0,122.34926995737366
00:21:04.004.mp4,1,0,120.10104898090553
00:14:57.864.mp4,0,0,123.6184741428435
00:01:43.464.mp4,0,1,124.06392805692224
00:09:14.543.mp4,1,0,123.46745221229077
00:00:44.976.mp4,1,0,121.04101576836517
00:20:31.154.mp4,0,0,122.57843609669617
00:10:31.171.mp4,1,1,122.08613691599739
00:00:30.442.mp4,0,0,122.38777895766876
00:02:45.437.mp4,1,0,118.49556738747725
00:01:35.018.mp4,0,0,122.32630428452747
00:02:56.377.mp4,0,1,122.05935074710976
00:07:23.982.mp4,0,1,119.05516375024646
00:07:13.094.mp4,1,0,123.45798818651572
00:13:57.166.mp4,1,1,124.5629970213344
00:01:33.260.mp4,1,0,118.52831718081083
00:01:46.723.mp4,0,0,102.43477552543614
00:12:35.997.mp4,1,0,106.19019627283912
00:02:09.862.mp4,0,0,112.99436493786578
00:08:16.887.mp4,2,0,107.042710385709
00:06:41.309.mp4,0,0,108.37875769518384
00:06:29.647.mp4,1,0,110.27268186781085
00:03:56.751.mp4,1,0,109.37750511572732
00:03:57.024.mp4,0,1,111.0928380472458
00:08:29.506.mp4,0,1,109.78925751252969
00:04:09.367.mp4,0,0,107.85846812701284
00:01:18.633.mp4,0,0,112.35751093187183
00:03:45.470.mp4,1,0,111.80392341248847
00:02:22.882.mp4,0,0,111.5536626796035
00:20:47.501.mp4,0,0,110.42362751764279
00:04:41.671.mp4,0,3,110.83727075735955
00:17:09.138.mp4,0,0,113.05772709259868
00:15:30.421.mp4,1,1,110.96650081078371
00:01:06.501.mp4,1,0,111.96134425422326
00:04:18.881.mp4,1,0,113.33461415061085
00:04:33.174.mp4,0,1,112.13307418586434
00:04:28.936.mp4,2,0,112.8156253844855
00:05:42.581.mp4,0,3,111.33324078658505
00:05:28.371.mp4,1,0,109.46994023949442
00:02:56.135.mp4,1,0,110.76775186019027
00:03:12.339.mp4,0,2,112.60994719617264
00:10:06.540.mp4,4,5,112.3851688026356
00:16:51.490.mp4,0,0,113.80520208184572
00:07:29.492.mp4,5,0,111.86003299965364
00:09:56.904.mp4,1,0,113.15706946316323
00:10:27.030.mp4,6,6,112.53655587672564
00:12:52.070.mp4,0,0,112.17698574448606
00:12:21.225.mp4,1,1,100.34357433823187
00:10:54.742.mp4,3,4,99.57735375506549
00:16:21.036.mp4,1,0,101.35184295447465
00:07:53.511.mp4,0,9,109.02578322647457
00:14:41.820.mp4,0,2,105.09042255609968
00:09:19.676.mp4,1,5,110.3500286318161
00:08:51.004.mp4,3,0,119.89285196402304
00:20:19.787.mp4,1,8,123.70773630847066
00:17:57.644.mp4,1,5,120.42522389561084
00:14:54.399.mp4,3,0,120.9820315858045
00:19:27.559.mp4,7,5,119.72848814107228
00:16:54.613.mp4,3,3,122.05335868860998
