File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,118.76907016541071
00:09:34.084.mp4,0,0,126.5451154875077
00:17:10.535.mp4,0,0,127.97203543183109
00:12:19.952.mp4,0,1,126.82865849570112
00:09:38.088.mp4,0,0,130.3538448067716
00:15:44.934.mp4,0,1,125.85443193014595
00:12:29.397.mp4,0,3,130.63715628945147
00:11:21.904.mp4,0,2,125.10281962625163
00:10:39.642.mp4,0,0,128.71981080900113
00:01:56.787.mp4,0,0,130.43982829442874
00:10:57.095.mp4,1,1,130.05542613845407
00:00:54.431.mp4,0,1,133.05357427352078
00:11:40.728.mp4,1,0,128.56053133320884
00:02:06.019.mp4,0,1,127.59262904558354
00:01:18.718.mp4,0,1,129.33163144635776
00:00:40.515.mp4,0,1,127.62939359601431
00:01:08.637.mp4,0,0,127.7596475412834
00:03:14.557.mp4,1,0,127.31165973071924
00:03:24.590.mp4,0,2,128.2267689231949
00:10:18.376.mp4,0,0,128.05290324063208
00:21:04.004.mp4,0,0,131.72532989843555
00:14:57.864.mp4,0,0,123.9569118580315
00:01:43.464.mp4,0,1,129.84760943196773
00:09:14.543.mp4,1,1,127.12852923638265
00:00:44.976.mp4,1,0,129.37455067430827
00:20:31.154.mp4,0,1,130.87062728883362
00:10:31.171.mp4,0,1,127.87902070185066
00:00:30.442.mp4,1,0,128.56388308322238
00:02:45.437.mp4,2,0,130.3342826525588
00:01:35.018.mp4,0,0,129.117287289353
00:02:56.377.mp4,0,2,128.75167824962293
00:07:23.982.mp4,0,1,126.6701496655436
00:07:13.094.mp4,1,0,127.37252984647142
00:13:57.166.mp4,1,1,127.14608447226163
00:01:33.260.mp4,1,0,128.88669115036743
00:01:46.723.mp4,0,1,129.21405552028193
00:12:35.997.mp4,1,0,128.69734415183203
00:02:09.862.mp4,1,0,129.68151382088655
00:08:16.887.mp4,3,0,125.99148153005028
00:06:41.309.mp4,0,1,127.8901112624928
00:06:29.647.mp4,1,0,128.64909325134187
00:03:56.751.mp4,2,0,128.2282517891791
00:03:57.024.mp4,0,1,129.17954072932454
00:08:29.506.mp4,0,1,127.94968882107526
00:04:09.367.mp4,0,3,130.63732528237486
00:01:18.633.mp4,0,1,129.07414495604007
00:03:45.470.mp4,1,0,129.53373072638686
00:02:22.882.mp4,0,0,127.67146521898384
00:20:47.501.mp4,0,0,132.32882434051123
00:04:41.671.mp4,0,2,128.31231057443398
00:17:09.138.mp4,0,1,127.11345797766987
00:15:30.421.mp4,1,1,127.64196711215045
00:01:06.501.mp4,1,0,129.23106415267355
00:04:18.881.mp4,1,0,129.24197966747826
00:04:33.174.mp4,0,1,129.11166133332142
00:04:28.936.mp4,2,0,130.15038666865854
00:05:42.581.mp4,0,2,129.7401903791542
00:05:28.371.mp4,2,0,129.20319934186497
00:02:56.135.mp4,2,0,127.61413474886912
00:03:12.339.mp4,0,2,128.92249193849497
00:10:06.540.mp4,1,3,132.04638283797672
00:16:51.490.mp4,0,1,126.8042517405656
00:07:29.492.mp4,6,0,132.06965525243166
00:09:56.904.mp4,1,0,128.40924308482334
00:10:27.030.mp4,4,4,131.97437183727817
00:12:52.070.mp4,0,1,133.02598653071576
00:12:21.225.mp4,0,0,132.20017317954802
00:10:54.742.mp4,4,6,131.71127490337813
00:16:21.036.mp4,1,0,126.114137951771
00:07:53.511.mp4,0,6,132.22033407296556
00:14:41.820.mp4,0,2,128.8737067136061
00:09:19.676.mp4,1,7,133.23169322002818
00:08:51.004.mp4,2,0,133.4324615884866
00:20:19.787.mp4,0,9,134.00972210113358
00:17:57.644.mp4,2,4,133.18329555091398
00:14:54.399.mp4,1,0,132.95464336643226
00:19:27.559.mp4,6,5,133.16433415339245
00:16:54.613.mp4,0,2,132.36319646526715
