File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,66.34537510277603
00:09:34.084.mp4,1,0,69.54784765805866
00:17:10.535.mp4,1,0,49.153589384726196
00:12:19.952.mp4,0,1,66.44768450095755
00:09:38.088.mp4,8,0,67.83841128506587
00:15:44.934.mp4,1,1,71.21015127459908
00:12:29.397.mp4,0,7,49.405497405199256
00:11:21.904.mp4,2,1,69.88815109325428
00:10:39.642.mp4,0,0,74.15867229871364
00:01:56.787.mp4,2,0,68.75180911886216
00:10:57.095.mp4,2,2,71.13796976496634
00:00:54.431.mp4,0,1,73.08599001466739
00:11:40.728.mp4,2,1,69.63745251581331
00:02:06.019.mp4,0,1,71.7496006341123
00:01:18.718.mp4,0,1,74.6017514749215
00:00:40.515.mp4,0,1,67.58233790852384
00:01:08.637.mp4,2,0,72.74188054118058
00:03:14.557.mp4,2,0,73.2827378471243
00:03:24.590.mp4,1,2,71.73877965617228
00:10:18.376.mp4,0,1,68.32200818840633
00:21:04.004.mp4,1,0,62.99014139654237
00:14:57.864.mp4,0,1,68.68742520637417
00:01:43.464.mp4,0,1,71.90579316506087
00:09:14.543.mp4,1,1,70.35358272141067
00:00:44.976.mp4,2,0,72.6837688376885
00:20:31.154.mp4,1,1,66.00260093835291
00:10:31.171.mp4,1,2,71.27059073216606
00:00:30.442.mp4,1,0,69.38393796977243
00:02:45.437.mp4,4,1,71.06126877191981
00:01:35.018.mp4,3,0,70.8878212464947
00:02:56.377.mp4,0,2,71.88724224264517
00:07:23.982.mp4,1,4,69.69068327520957
00:07:13.094.mp4,2,0,74.61617547009072
00:13:57.166.mp4,3,1,68.20904440515778
00:01:33.260.mp4,1,0,72.93164852760047
00:01:46.723.mp4,0,1,74.46483453945505
00:12:35.997.mp4,4,1,68.9282055768032
00:02:09.862.mp4,1,0,73.4422791399591
00:08:16.887.mp4,3,0,63.049044946233806
00:06:41.309.mp4,0,1,71.3313338392237
00:06:29.647.mp4,2,0,67.47629387213472
00:03:56.751.mp4,6,0,61.95781952443421
00:03:57.024.mp4,0,2,64.28472386120166
00:08:29.506.mp4,0,3,66.15926688678488
00:04:09.367.mp4,0,5,65.23286873541117
00:01:18.633.mp4,0,2,69.22165110206869
00:03:45.470.mp4,1,0,69.7881585773166
00:02:22.882.mp4,0,1,72.14087078914667
00:20:47.501.mp4,1,0,64.2621598678323
00:04:41.671.mp4,1,3,55.6138753929511
00:17:09.138.mp4,1,1,63.99008365196158
00:15:30.421.mp4,1,1,68.24082960214379
00:01:06.501.mp4,3,0,69.90826023054076
00:04:18.881.mp4,4,0,66.76557027444221
00:04:33.174.mp4,0,5,66.55043134453624
00:04:28.936.mp4,6,0,55.83261866762685
00:05:42.581.mp4,0,7,65.39620860878301
00:05:28.371.mp4,2,0,64.47877447091757
00:02:56.135.mp4,3,0,58.85826558402812
00:03:12.339.mp4,0,7,70.083139452427
00:10:06.540.mp4,7,14,56.03587503083438
00:16:51.490.mp4,0,2,68.68100580014595
00:07:29.492.mp4,11,1,56.932425603688756
00:09:56.904.mp4,1,2,62.13599435272882
00:10:27.030.mp4,7,10,53.176985067434124
00:12:52.070.mp4,4,7,56.60183278514442
00:12:21.225.mp4,3,0,62.091762959011106
00:10:54.742.mp4,8,10,57.29039738250372
00:16:21.036.mp4,0,0,68.04359073777937
00:07:53.511.mp4,1,14,58.4811948863508
00:14:41.820.mp4,0,3,66.53319829658463
00:09:19.676.mp4,1,23,57.935885370871475
00:08:51.004.mp4,15,3,60.365991810057174
00:20:19.787.mp4,3,12,64.7719765306578
00:17:57.644.mp4,5,12,61.386823648873374
00:14:54.399.mp4,18,4,63.35383417357944
00:19:27.559.mp4,18,14,64.27265244085092
00:16:54.613.mp4,4,18,65.34979927362356
