File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,77.82284591402191
00:09:34.084.mp4,0,0,80.16471154528585
00:17:10.535.mp4,0,0,83.23737312919424
00:12:19.952.mp4,0,0,82.09894850254352
00:09:38.088.mp4,0,0,80.72863915915542
00:15:44.934.mp4,0,0,81.5049275929458
00:12:29.397.mp4,0,1,80.83515581860026
00:11:21.904.mp4,0,0,81.87015827835708
00:10:39.642.mp4,0,0,82.25791941419428
00:01:56.787.mp4,0,0,83.55838608181364
00:10:57.095.mp4,0,0,82.8219391296337
00:00:54.431.mp4,0,1,82.34290084448472
00:11:40.728.mp4,0,0,83.15384571328123
00:02:06.019.mp4,0,0,82.22771389358066
00:01:18.718.mp4,0,1,81.7239947329675
00:00:40.515.mp4,0,0,83.49055577006224
00:01:08.637.mp4,1,0,83.00778492791383
00:03:14.557.mp4,1,0,80.5306275964997
00:03:24.590.mp4,0,1,82.03183931050347
00:10:18.376.mp4,0,1,81.9527930503105
00:21:04.004.mp4,0,0,80.2412299793056
00:14:57.864.mp4,0,1,81.8457044525585
00:01:43.464.mp4,0,0,82.81158382999016
00:09:14.543.mp4,1,0,82.37420513300111
00:00:44.976.mp4,1,0,81.756907921256
00:20:31.154.mp4,0,0,76.57887655415857
00:10:31.171.mp4,1,0,81.3320646518997
00:00:30.442.mp4,0,0,80.96660706387085
00:02:45.437.mp4,1,0,81.19852446277648
00:01:35.018.mp4,0,0,82.20881662712382
00:02:56.377.mp4,0,2,81.24945832698663
00:07:23.982.mp4,0,0,82.58682202509557
00:07:13.094.mp4,0,0,82.16670208339461
00:13:57.166.mp4,0,0,83.14569952484645
00:01:33.260.mp4,1,0,81.99290828068838
00:01:46.723.mp4,0,0,81.80910641563182
00:12:35.997.mp4,0,0,83.37192893909905
00:02:09.862.mp4,0,0,80.2811709447555
00:08:16.887.mp4,0,0,82.86461218152478
00:06:41.309.mp4,0,0,80.8230788979795
00:06:29.647.mp4,0,0,81.82580554256066
00:03:56.751.mp4,1,0,83.63504732072226
00:03:57.024.mp4,0,0,84.53330214269438
00:08:29.506.mp4,0,0,85.12648325560905
00:04:09.367.mp4,0,0,84.40086397352162
00:01:18.633.mp4,0,0,84.7560320114769
00:03:45.470.mp4,0,0,80.77918249692962
00:02:22.882.mp4,0,1,80.80685962694044
00:20:47.501.mp4,0,0,82.40313572482114
00:04:41.671.mp4,0,1,81.75506423935828
00:17:09.138.mp4,0,0,83.02040039697886
00:15:30.421.mp4,1,1,80.07732124866324
00:01:06.501.mp4,1,0,81.81832324628962
00:04:18.881.mp4,0,0,81.47838148199766
00:04:33.174.mp4,0,0,81.86554022851205
00:04:28.936.mp4,2,0,81.12578714091461
00:05:42.581.mp4,0,0,81.3657355587314
00:05:28.371.mp4,2,0,82.03303674570482
00:02:56.135.mp4,1,0,80.88158474312215
00:03:12.339.mp4,0,0,81.81510766566576
00:10:06.540.mp4,0,1,82.38290751749183
00:16:51.490.mp4,0,0,85.29510137031451
00:07:29.492.mp4,0,0,82.56404712698698
00:09:56.904.mp4,1,0,82.05234421691044
00:10:27.030.mp4,1,1,82.27067555799218
00:12:52.070.mp4,1,0,80.58538565455066
00:12:21.225.mp4,0,0,92.7935586980727
00:10:54.742.mp4,2,1,80.0038731280979
00:16:21.036.mp4,1,0,84.19698101022699
00:07:53.511.mp4,0,0,83.84062905014032
00:14:41.820.mp4,0,1,82.90317263528078
00:09:19.676.mp4,0,1,83.84615418129998
00:08:51.004.mp4,0,0,82.32474666609683
00:20:19.787.mp4,0,0,84.30483436939865
00:17:57.644.mp4,0,0,83.48644285184697
00:14:54.399.mp4,0,0,85.37922137608949
00:19:27.559.mp4,1,0,81.11704808254186
00:16:54.613.mp4,0,0,84.88236266459707
