File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,84.87999853125505
00:09:34.084.mp4,1,1,87.57648619063154
00:17:10.535.mp4,0,0,88.88281974261447
00:12:19.952.mp4,0,1,89.16425041343507
00:09:38.088.mp4,2,0,89.31347644257316
00:15:44.934.mp4,1,1,89.14323300352999
00:12:29.397.mp4,0,3,90.28491214202661
00:11:21.904.mp4,1,1,89.24550758721092
00:10:39.642.mp4,1,0,88.7582779792407
00:01:56.787.mp4,1,0,89.06172218067576
00:10:57.095.mp4,1,1,90.57256475763022
00:00:54.431.mp4,0,1,90.56208188605748
00:11:40.728.mp4,0,1,91.35674021137228
00:02:06.019.mp4,0,1,89.97616486083398
00:01:18.718.mp4,0,1,89.82105154204348
00:00:40.515.mp4,0,0,91.07546322245128
00:01:08.637.mp4,1,0,92.1427053446474
00:03:14.557.mp4,2,0,90.43723022096574
00:03:24.590.mp4,0,2,90.3605448837054
00:10:18.376.mp4,1,1,90.61149931530954
00:21:04.004.mp4,0,0,91.31745523031849
00:14:57.864.mp4,0,1,90.23778609989816
00:01:43.464.mp4,0,1,91.23626418019069
00:09:14.543.mp4,1,1,89.48555002473846
00:00:44.976.mp4,1,0,90.7153256881975
00:20:31.154.mp4,0,1,90.98469335439104
00:10:31.171.mp4,1,2,90.85043357441441
00:00:30.442.mp4,1,0,89.94871930789775
00:02:45.437.mp4,2,0,88.83465925486742
00:01:35.018.mp4,1,0,89.36213951472241
00:02:56.377.mp4,0,2,90.45851266308982
00:07:23.982.mp4,0,1,89.05239853896022
00:07:13.094.mp4,1,0,88.72980991754491
00:13:57.166.mp4,1,1,85.20690167760124
00:01:33.260.mp4,1,0,90.76975047702241
00:01:46.723.mp4,0,1,90.11913124723195
00:12:35.997.mp4,1,0,86.95929717908916
00:02:09.862.mp4,1,0,96.31151486415536
00:08:16.887.mp4,2,0,97.52919445232416
00:06:41.309.mp4,0,0,97.65257926923204
00:06:29.647.mp4,1,0,96.97401219568016
00:03:56.751.mp4,3,0,93.88733934125936
00:03:57.024.mp4,0,1,95.43848993986614
00:08:29.506.mp4,0,1,99.20022814184763
00:04:09.367.mp4,0,3,91.37470130233037
00:01:18.633.mp4,0,1,85.03042805125969
00:03:45.470.mp4,1,0,89.86086929197738
00:02:22.882.mp4,0,1,89.09065749547572
00:20:47.501.mp4,0,0,88.83264282154755
00:04:41.671.mp4,0,4,88.1924593183776
00:17:09.138.mp4,1,1,89.12516888604527
00:15:30.421.mp4,1,1,88.70098523786457
00:01:06.501.mp4,1,0,89.76656686636153
00:04:18.881.mp4,1,0,89.25980901953012
00:04:33.174.mp4,0,1,89.22309315149649
00:04:28.936.mp4,3,0,90.2314263843904
00:05:42.581.mp4,0,3,91.50302930670549
00:05:28.371.mp4,1,0,90.33796384414029
00:02:56.135.mp4,1,0,90.57349726881714
00:03:12.339.mp4,0,2,89.88599167498452
00:10:06.540.mp4,3,4,89.40869655805868
00:16:51.490.mp4,0,1,90.15695717365313
00:07:29.492.mp4,5,0,89.29306978371366
00:09:56.904.mp4,0,1,89.05924179600493
00:10:27.030.mp4,6,4,86.48075455208193
00:12:52.070.mp4,0,0,85.14929516023936
00:12:21.225.mp4,2,1,89.33164053858631
00:10:54.742.mp4,6,3,89.5524686674481
00:16:21.036.mp4,1,0,96.00781776484652
00:07:53.511.mp4,0,7,95.26786038823973
00:14:41.820.mp4,0,2,97.16846725612952
00:09:19.676.mp4,0,8,96.30087240620638
00:08:51.004.mp4,4,0,96.82166910610935
00:20:19.787.mp4,1,7,97.1570549904208
00:17:57.644.mp4,1,3,95.53010501244141
00:14:54.399.mp4,2,0,96.22849678495545
00:19:27.559.mp4,9,5,93.56059380499501
00:16:54.613.mp4,1,1,97.25448311075436
