File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,109.99519786956492
00:09:34.084.mp4,0,1,120.44035757580635
00:17:10.535.mp4,0,0,121.45863350440001
00:12:19.952.mp4,0,1,121.89933284118004
00:09:38.088.mp4,0,0,120.62127180464175
00:15:44.934.mp4,0,1,124.10338750674352
00:12:29.397.mp4,1,2,120.20879239758011
00:11:21.904.mp4,1,3,121.92513158528091
00:10:39.642.mp4,0,0,121.62278399738865
00:01:56.787.mp4,0,0,120.75164982484615
00:10:57.095.mp4,0,0,121.44095839686925
00:00:54.431.mp4,0,1,123.16661362802373
00:11:40.728.mp4,0,1,121.76021820161716
00:02:06.019.mp4,0,0,120.91191356216315
00:01:18.718.mp4,0,0,124.80158244937039
00:00:40.515.mp4,0,0,125.60763494899179
00:01:08.637.mp4,0,0,123.9280055961955
00:03:14.557.mp4,1,0,124.51635298450952
00:03:24.590.mp4,0,1,123.04874814594177
00:10:18.376.mp4,1,0,123.23555486659048
00:21:04.004.mp4,0,0,124.97647138356817
00:14:57.864.mp4,0,1,120.89268035799678
00:01:43.464.mp4,0,1,124.07289199090381
00:09:14.543.mp4,1,1,124.0699973407651
00:00:44.976.mp4,0,0,124.78791485689767
00:20:31.154.mp4,0,1,125.58984776512135
00:10:31.171.mp4,1,1,124.34379629713251
00:00:30.442.mp4,0,0,124.52689141012024
00:02:45.437.mp4,0,0,124.77926602206426
00:01:35.018.mp4,0,0,122.92830041119576
00:02:56.377.mp4,0,2,124.39344941380136
00:07:23.982.mp4,0,1,123.08562706524096
00:07:13.094.mp4,0,0,123.81657985344752
00:13:57.166.mp4,0,0,124.21018357652261
00:01:33.260.mp4,0,0,124.43687806662803
00:01:46.723.mp4,0,0,124.87176472766656
00:12:35.997.mp4,0,0,124.30941806149357
00:02:09.862.mp4,0,0,124.02922134835711
00:08:16.887.mp4,2,0,123.9997084702261
00:06:41.309.mp4,0,1,124.56383118436858
00:06:29.647.mp4,1,0,123.69859404782382
00:03:56.751.mp4,0,0,125.55641220908312
00:03:57.024.mp4,0,1,122.35445504335647
00:08:29.506.mp4,0,1,122.98883983442322
00:04:09.367.mp4,0,1,122.37350417389618
00:01:18.633.mp4,0,0,125.14886252085522
00:03:45.470.mp4,1,0,123.59628108438004
00:02:22.882.mp4,0,1,123.15845116189863
00:20:47.501.mp4,0,0,126.73575724724898
00:04:41.671.mp4,0,3,124.7138952751514
00:17:09.138.mp4,0,0,123.83785719098874
00:15:30.421.mp4,1,1,123.30310264653646
00:01:06.501.mp4,0,0,124.35473036859817
00:04:18.881.mp4,2,0,124.15782400633412
00:04:33.174.mp4,0,2,124.86433077539773
00:04:28.936.mp4,2,0,125.41512591110137
00:05:42.581.mp4,0,1,122.24346802057717
00:05:28.371.mp4,1,0,124.04848214343092
00:02:56.135.mp4,1,0,125.1626671726517
00:03:12.339.mp4,0,1,125.03189465604324
00:10:06.540.mp4,2,2,125.40269521410883
00:16:51.490.mp4,0,1,124.6413433936115
00:07:29.492.mp4,5,0,127.0843891470396
00:09:56.904.mp4,1,0,123.95320050005947
00:10:27.030.mp4,4,5,125.9222913124192
00:12:52.070.mp4,0,2,125.89221206801902
00:12:21.225.mp4,3,0,125.22481599690748
00:10:54.742.mp4,2,4,125.27459811684987
00:16:21.036.mp4,1,0,124.05847049182488
00:07:53.511.mp4,0,8,125.06899489597056
00:14:41.820.mp4,0,1,125.14676176846649
00:09:19.676.mp4,0,6,123.84446950691229
00:08:51.004.mp4,5,0,122.97765957086759
00:20:19.787.mp4,1,7,125.79807865495317
00:17:57.644.mp4,0,4,123.40001839558244
00:14:54.399.mp4,4,0,125.25187623784359
00:19:27.559.mp4,4,8,125.4370442125631
00:16:54.613.mp4,0,7,125.99269560409975
