File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,90.08678099798215
00:09:34.084.mp4,0,0,117.1152597988694
00:17:10.535.mp4,0,0,121.67155780622149
00:12:19.952.mp4,0,1,121.10068242676459
00:09:38.088.mp4,2,0,118.81126413769884
00:15:44.934.mp4,0,0,120.41606990448794
00:12:29.397.mp4,1,2,117.69417574875476
00:11:21.904.mp4,0,2,121.74163713981392
00:10:39.642.mp4,0,0,117.91763003500107
00:01:56.787.mp4,0,0,120.4535507548324
00:10:57.095.mp4,0,0,119.46087661610326
00:00:54.431.mp4,0,1,120.65245920851467
00:11:40.728.mp4,1,1,114.48895121879465
00:02:06.019.mp4,0,1,120.50388437713788
00:01:18.718.mp4,0,0,119.34671250311222
00:00:40.515.mp4,0,0,120.4795701790829
00:01:08.637.mp4,0,0,120.67910400194222
00:03:14.557.mp4,2,0,122.19559471402307
00:03:24.590.mp4,0,1,120.47787850884582
00:10:18.376.mp4,0,0,120.94043454441109
00:21:04.004.mp4,1,0,119.19899018955132
00:14:57.864.mp4,0,0,122.38231147964503
00:01:43.464.mp4,0,0,122.51975054429631
00:09:14.543.mp4,1,0,121.33429118312127
00:00:44.976.mp4,1,0,120.69938358114119
00:20:31.154.mp4,0,0,121.60098726937436
00:10:31.171.mp4,1,1,120.42241666649237
00:00:30.442.mp4,0,0,121.72667232191979
00:02:45.437.mp4,1,0,122.09353206834766
00:01:35.018.mp4,0,0,121.19690709840512
00:02:56.377.mp4,0,2,121.36740131421442
00:07:23.982.mp4,0,1,120.82190101501696
00:07:13.094.mp4,1,0,121.52010783241785
00:13:57.166.mp4,1,1,122.95793401203625
00:01:33.260.mp4,1,0,120.07287618615918
00:01:46.723.mp4,0,0,121.8576203988338
00:12:35.997.mp4,1,0,121.41131661879372
00:02:09.862.mp4,0,0,121.00172877776927
00:08:16.887.mp4,2,0,121.42855291104024
00:06:41.309.mp4,0,0,121.4473855953039
00:06:29.647.mp4,1,0,122.59368141624617
00:03:56.751.mp4,1,0,121.63915755479941
00:03:57.024.mp4,0,1,121.31672005375547
00:08:29.506.mp4,0,1,124.07582842552327
00:04:09.367.mp4,0,0,122.53298276365761
00:01:18.633.mp4,0,0,121.82651989768772
00:03:45.470.mp4,1,0,123.43286633546857
00:02:22.882.mp4,0,0,119.79944470237649
00:20:47.501.mp4,0,0,119.39701332056175
00:04:41.671.mp4,0,2,120.9424631625801
00:17:09.138.mp4,0,0,120.40616238846495
00:15:30.421.mp4,1,1,119.71354082495287
00:01:06.501.mp4,1,0,118.39944443721258
00:04:18.881.mp4,1,0,120.24563247954146
00:04:33.174.mp4,0,1,119.6083779681595
00:04:28.936.mp4,2,0,118.67583698740074
00:05:42.581.mp4,0,3,120.35413675300744
00:05:28.371.mp4,1,0,119.82197402969695
00:02:56.135.mp4,1,0,120.20923343724202
00:03:12.339.mp4,0,2,120.8368223726717
00:10:06.540.mp4,3,4,119.11621976739418
00:16:51.490.mp4,0,0,123.07413957292115
00:07:29.492.mp4,4,0,123.37601590122483
00:09:56.904.mp4,1,0,123.17711032040225
00:10:27.030.mp4,3,5,121.10056247769167
00:12:52.070.mp4,0,0,121.65119483478283
00:12:21.225.mp4,1,1,118.1757969391884
00:10:54.742.mp4,3,4,121.87812530006175
00:16:21.036.mp4,1,0,119.41809988177808
00:07:53.511.mp4,0,8,123.74369452443261
00:14:41.820.mp4,0,2,121.79191184607377
00:09:19.676.mp4,0,5,121.35838447156162
00:08:51.004.mp4,3,0,118.30073572797431
00:20:19.787.mp4,1,7,122.52029329512479
00:17:57.644.mp4,1,4,119.00889671693899
00:14:54.399.mp4,3,0,122.9337838992809
00:19:27.559.mp4,6,5,119.39818868116899
00:16:54.613.mp4,1,3,123.51912616588243
