File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,90.22044837965868
00:09:34.084.mp4,0,0,100.84461075620548
00:17:10.535.mp4,0,0,93.02545163007406
00:12:19.952.mp4,0,1,95.75712290861702
00:09:38.088.mp4,0,0,104.3039792444123
00:15:44.934.mp4,0,1,96.53382528212288
00:12:29.397.mp4,0,3,100.74078052361651
00:11:21.904.mp4,0,2,92.43083548932373
00:10:39.642.mp4,0,0,88.14116621790068
00:01:56.787.mp4,0,0,95.49224328348335
00:10:57.095.mp4,1,1,107.22734494390353
00:00:54.431.mp4,0,1,109.17875353697981
00:11:40.728.mp4,1,0,99.98063709706895
00:02:06.019.mp4,0,1,99.5156564787686
00:01:18.718.mp4,0,1,102.06885513969456
00:00:40.515.mp4,0,1,107.32349540706328
00:01:08.637.mp4,0,0,110.65581316483772
00:03:14.557.mp4,1,0,110.55379547392249
00:03:24.590.mp4,0,2,100.74996822177245
00:10:18.376.mp4,0,0,106.95278199875737
00:21:04.004.mp4,0,0,110.43498221750866
00:14:57.864.mp4,0,0,104.31565049726089
00:01:43.464.mp4,0,1,107.61076710866605
00:09:14.543.mp4,1,1,103.71108105412226
00:00:44.976.mp4,1,0,107.59550252474173
00:20:31.154.mp4,0,1,107.21995195159982
00:10:31.171.mp4,0,1,100.63390023793579
00:00:30.442.mp4,1,0,109.33442706543548
00:02:45.437.mp4,2,0,108.19852715953974
00:01:35.018.mp4,0,0,107.3546266532337
00:02:56.377.mp4,0,2,109.89045767943749
00:07:23.982.mp4,0,1,104.46404164059138
00:07:13.094.mp4,1,0,106.16952122875362
00:13:57.166.mp4,1,1,104.736942706307
00:01:33.260.mp4,1,0,109.09548921640746
00:01:46.723.mp4,0,1,107.30681256583183
00:12:35.997.mp4,1,0,106.06991822451468
00:02:09.862.mp4,1,0,108.8880520060669
00:08:16.887.mp4,3,0,106.6544208840416
00:06:41.309.mp4,0,1,105.28167395225049
00:06:29.647.mp4,1,0,105.92389544517432
00:03:56.751.mp4,2,0,108.5977907140256
00:03:57.024.mp4,0,1,109.31964233791082
00:08:29.506.mp4,0,1,104.371363295047
00:04:09.367.mp4,0,3,105.28718937856219
00:01:18.633.mp4,0,1,109.99272399954994
00:03:45.470.mp4,1,0,109.83525759994507
00:02:22.882.mp4,0,0,110.42918846263103
00:20:47.501.mp4,0,0,111.2323935400849
00:04:41.671.mp4,0,2,107.82722737218927
00:17:09.138.mp4,0,1,108.39194970741529
00:15:30.421.mp4,1,1,105.784573059465
00:01:06.501.mp4,1,0,103.41363355923562
00:04:18.881.mp4,1,0,110.06807245730263
00:04:33.174.mp4,0,1,101.36679371237916
00:04:28.936.mp4,2,0,111.63499803444527
00:05:42.581.mp4,0,2,110.09563538826919
00:05:28.371.mp4,2,0,109.84658081652029
00:02:56.135.mp4,2,0,108.2072393107632
00:03:12.339.mp4,0,2,109.7734795815258
00:10:06.540.mp4,1,3,110.53514525181666
00:16:51.490.mp4,0,1,105.45281768888012
00:07:29.492.mp4,6,0,111.05907219749771
00:09:56.904.mp4,1,0,105.43620200485087
00:10:27.030.mp4,4,4,109.66275711193882
00:12:52.070.mp4,0,1,106.95867485149503
00:12:21.225.mp4,0,0,110.09832383512394
00:10:54.742.mp4,4,6,110.10912808207074
00:16:21.036.mp4,1,0,104.6415721855733
00:07:53.511.mp4,0,6,109.2542010111916
00:14:41.820.mp4,0,2,107.89368178440267
00:09:19.676.mp4,1,7,111.1844098627261
00:08:51.004.mp4,2,0,109.25329618964373
00:20:19.787.mp4,0,9,111.44581887635816
00:17:57.644.mp4,2,4,110.264132380455
00:14:54.399.mp4,1,0,109.89837187189016
00:19:27.559.mp4,6,5,109.94307561417439
00:16:54.613.mp4,0,2,110.81957152913364
