File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,56.756093767197996
00:09:34.084.mp4,1,0,63.732826572244186
00:17:10.535.mp4,1,0,47.97733953319698
00:12:19.952.mp4,0,1,62.91462838546563
00:09:38.088.mp4,8,0,65.74688632767074
00:15:44.934.mp4,1,1,67.22087716096298
00:12:29.397.mp4,0,7,49.740308306164934
00:11:21.904.mp4,2,1,68.50567417240825
00:10:39.642.mp4,0,0,71.80452821813398
00:01:56.787.mp4,2,0,65.54313786412942
00:10:57.095.mp4,2,2,67.86363710757472
00:00:54.431.mp4,0,1,69.89354717463233
00:11:40.728.mp4,2,1,66.89486781338253
00:02:06.019.mp4,0,1,60.73282297709114
00:01:18.718.mp4,0,1,69.41167789752443
00:00:40.515.mp4,0,1,68.16549330193845
00:01:08.637.mp4,2,0,70.922773960704
00:03:14.557.mp4,2,0,68.45461922692083
00:03:24.590.mp4,1,2,68.75480610096822
00:10:18.376.mp4,0,1,66.46531961758996
00:21:04.004.mp4,1,0,63.48200378859614
00:14:57.864.mp4,0,1,65.7320741279244
00:01:43.464.mp4,0,1,69.06096679424401
00:09:14.543.mp4,1,1,70.77652469447796
00:00:44.976.mp4,2,0,70.96161171335444
00:20:31.154.mp4,1,1,64.93472014339912
00:10:31.171.mp4,1,2,68.78045685134481
00:00:30.442.mp4,1,0,68.47579186179327
00:02:45.437.mp4,4,1,68.77039958509805
00:01:35.018.mp4,3,0,64.95350773297284
00:02:56.377.mp4,0,2,65.86940688027536
00:07:23.982.mp4,1,4,65.61961764073475
00:07:13.094.mp4,2,0,67.18140484851007
00:13:57.166.mp4,3,1,61.844752815290725
00:01:33.260.mp4,1,0,66.1307309088167
00:01:46.723.mp4,0,1,67.61428241014467
00:12:35.997.mp4,4,1,66.04454427282123
00:02:09.862.mp4,1,0,70.49125543540224
00:08:16.887.mp4,3,0,61.97932199094968
00:06:41.309.mp4,0,1,68.24346763357018
00:06:29.647.mp4,2,0,69.3067319018126
00:03:56.751.mp4,6,0,63.71816944215482
00:03:57.024.mp4,0,2,63.1722608310694
00:08:29.506.mp4,0,3,64.67418618221917
00:04:09.367.mp4,0,5,62.36476322223746
00:01:18.633.mp4,0,2,64.37496635081267
00:03:45.470.mp4,1,0,68.2743372815459
00:02:22.882.mp4,0,1,70.06891664950588
00:20:47.501.mp4,1,0,63.27155521015266
00:04:41.671.mp4,1,3,57.37340269258652
00:17:09.138.mp4,1,1,65.05458839496798
00:15:30.421.mp4,1,1,68.71040321898664
00:01:06.501.mp4,3,0,66.92379370375353
00:04:18.881.mp4,4,0,66.25689932539362
00:04:33.174.mp4,0,5,67.52648016605738
00:04:28.936.mp4,6,0,56.44765281867696
00:05:42.581.mp4,0,7,64.48817069891048
00:05:28.371.mp4,2,0,64.2534447240737
00:02:56.135.mp4,3,0,53.060009190105056
00:03:12.339.mp4,0,7,65.89141539833265
00:10:06.540.mp4,7,14,54.35033784014145
00:16:51.490.mp4,0,2,68.41323375536801
00:07:29.492.mp4,11,1,57.06176007823621
00:09:56.904.mp4,1,2,63.299811105194024
00:10:27.030.mp4,7,10,56.04842575242512
00:12:52.070.mp4,4,7,55.83647129553419
00:12:21.225.mp4,3,0,61.04713538458423
00:10:54.742.mp4,8,10,55.73810491988117
00:16:21.036.mp4,0,0,66.9817573855111
00:07:53.511.mp4,1,14,57.3844608478277
00:14:41.820.mp4,0,3,66.31463223852654
00:09:19.676.mp4,1,23,58.04190934127371
00:08:51.004.mp4,15,3,60.303454843460166
00:20:19.787.mp4,3,12,62.60875038943757
00:17:57.644.mp4,5,12,62.30743624289495
00:14:54.399.mp4,18,4,61.79019020059819
00:19:27.559.mp4,18,14,63.48322654051808
00:16:54.613.mp4,4,18,64.602691261014
