File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,73.34058145009925
00:09:34.084.mp4,0,0,76.14937173556497
00:17:10.535.mp4,0,0,83.10966133544268
00:12:19.952.mp4,0,0,80.06956237533238
00:09:38.088.mp4,0,0,81.31434850087409
00:15:44.934.mp4,0,0,76.15618161024376
00:12:29.397.mp4,0,1,79.99167857202595
00:11:21.904.mp4,0,0,79.90827825975886
00:10:39.642.mp4,0,0,80.046783166955
00:01:56.787.mp4,0,0,80.95688868854043
00:10:57.095.mp4,0,0,78.9484610567543
00:00:54.431.mp4,0,1,79.54988081518563
00:11:40.728.mp4,0,0,74.73917826257171
00:02:06.019.mp4,0,0,75.23565635783231
00:01:18.718.mp4,0,1,78.3077693085454
00:00:40.515.mp4,0,0,81.48762361704689
00:01:08.637.mp4,1,0,80.59539361038958
00:03:14.557.mp4,1,0,78.0772341632682
00:03:24.590.mp4,0,1,77.89292103949892
00:10:18.376.mp4,0,1,78.68330310287179
00:21:04.004.mp4,0,0,78.30940615625894
00:14:57.864.mp4,0,1,80.42824917729217
00:01:43.464.mp4,0,0,78.97514153183
00:09:14.543.mp4,1,0,79.28682394038597
00:00:44.976.mp4,1,0,80.12867607070858
00:20:31.154.mp4,0,0,79.51593830769981
00:10:31.171.mp4,1,0,79.77609986587677
00:00:30.442.mp4,0,0,77.90320688453816
00:02:45.437.mp4,1,0,74.98262817121616
00:01:35.018.mp4,0,0,78.35639040689723
00:02:56.377.mp4,0,2,80.57886106983386
00:07:23.982.mp4,0,0,79.33424267825303
00:07:13.094.mp4,0,0,76.58003892104502
00:13:57.166.mp4,0,0,80.98444372066214
00:01:33.260.mp4,1,0,80.5466765512165
00:01:46.723.mp4,0,0,78.89547459405782
00:12:35.997.mp4,0,0,79.2894816082915
00:02:09.862.mp4,0,0,78.1900499179082
00:08:16.887.mp4,0,0,80.80171968553138
00:06:41.309.mp4,0,0,77.17916865069101
00:06:29.647.mp4,0,0,78.51550168459758
00:03:56.751.mp4,1,0,78.08257114633936
00:03:57.024.mp4,0,0,81.31733130985455
00:08:29.506.mp4,0,0,78.26906765373515
00:04:09.367.mp4,0,0,79.3322158061623
00:01:18.633.mp4,0,0,78.05441651320226
00:03:45.470.mp4,0,0,77.38350931923397
00:02:22.882.mp4,0,1,78.97214029336251
00:20:47.501.mp4,0,0,77.21218955177906
00:04:41.671.mp4,0,1,78.99571291337088
00:17:09.138.mp4,0,0,80.08748330335641
00:15:30.421.mp4,1,1,76.7361422454363
00:01:06.501.mp4,1,0,74.74422602487452
00:04:18.881.mp4,0,0,73.28769799868466
00:04:33.174.mp4,0,0,78.6073047112471
00:04:28.936.mp4,2,0,76.6123516287404
00:05:42.581.mp4,0,0,77.71049357594225
00:05:28.371.mp4,2,0,76.72592914654467
00:02:56.135.mp4,1,0,78.39138040132725
00:03:12.339.mp4,0,0,78.87140813572965
00:10:06.540.mp4,0,1,79.21255521272259
00:16:51.490.mp4,0,0,80.12139239582552
00:07:29.492.mp4,0,0,78.45702180704951
00:09:56.904.mp4,1,0,79.07648161857688
00:10:27.030.mp4,1,1,78.84935412227816
00:12:52.070.mp4,1,0,74.94883566081276
00:12:21.225.mp4,0,0,85.33014737199136
00:10:54.742.mp4,2,1,76.44648639915458
00:16:21.036.mp4,1,0,80.57994469927927
00:07:53.511.mp4,0,0,78.02494207387842
00:14:41.820.mp4,0,1,78.5965947555104
00:09:19.676.mp4,0,1,79.87616931762697
00:08:51.004.mp4,0,0,79.24849832098877
00:20:19.787.mp4,0,0,79.49561739271576
00:17:57.644.mp4,0,0,78.20986019858586
00:14:54.399.mp4,0,0,81.17198314757019
00:19:27.559.mp4,1,0,76.05839387148981
00:16:54.613.mp4,0,0,83.24450716351095
