File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,79.72313513630026
00:09:34.084.mp4,1,1,82.22168271172117
00:17:10.535.mp4,0,0,88.34888772242203
00:12:19.952.mp4,0,1,83.73881295908394
00:09:38.088.mp4,2,0,86.53691513791179
00:15:44.934.mp4,1,1,85.72006824986696
00:12:29.397.mp4,0,3,87.51306620194161
00:11:21.904.mp4,1,1,84.0433601733057
00:10:39.642.mp4,1,0,86.65159475892702
00:01:56.787.mp4,1,0,86.50921570304648
00:10:57.095.mp4,1,1,88.5436820050389
00:00:54.431.mp4,0,1,87.56407604666931
00:11:40.728.mp4,0,1,85.8594481156537
00:02:06.019.mp4,0,1,88.7114734942548
00:01:18.718.mp4,0,1,84.18762420847833
00:00:40.515.mp4,0,0,88.7265849373093
00:01:08.637.mp4,1,0,88.8139238036284
00:03:14.557.mp4,2,0,90.29795735592987
00:03:24.590.mp4,0,2,81.60035248932431
00:10:18.376.mp4,1,1,89.95724618061914
00:21:04.004.mp4,0,0,81.97569949451821
00:14:57.864.mp4,0,1,86.50952284168875
00:01:43.464.mp4,0,1,88.00969933196824
00:09:14.543.mp4,1,1,86.97677300312323
00:00:44.976.mp4,1,0,87.58944728429948
00:20:31.154.mp4,0,1,85.85435406588927
00:10:31.171.mp4,1,2,87.85672695563925
00:00:30.442.mp4,1,0,86.01899089469158
00:02:45.437.mp4,2,0,86.9301895623401
00:01:35.018.mp4,1,0,85.89847133366203
00:02:56.377.mp4,0,2,83.39692849102072
00:07:23.982.mp4,0,1,87.12497865260642
00:07:13.094.mp4,1,0,85.56135534487598
00:13:57.166.mp4,1,1,87.05688135843086
00:01:33.260.mp4,1,0,82.14523097100052
00:01:46.723.mp4,0,1,86.1992041058873
00:12:35.997.mp4,1,0,86.52702452147861
00:02:09.862.mp4,1,0,82.163972484457
00:08:16.887.mp4,2,0,85.25973016497765
00:06:41.309.mp4,0,0,85.86974305109115
00:06:29.647.mp4,1,0,85.83259455619846
00:03:56.751.mp4,3,0,83.67475829371686
00:03:57.024.mp4,0,1,80.52791244297141
00:08:29.506.mp4,0,1,82.2015731457657
00:04:09.367.mp4,0,3,85.35748083812136
00:01:18.633.mp4,0,1,85.78540235551516
00:03:45.470.mp4,1,0,84.29369621700671
00:02:22.882.mp4,0,1,87.28508198600021
00:20:47.501.mp4,0,0,85.79711881066996
00:04:41.671.mp4,0,4,81.23736054482188
00:17:09.138.mp4,1,1,82.38770456191472
00:15:30.421.mp4,1,1,88.28154662692205
00:01:06.501.mp4,1,0,83.3162615247419
00:04:18.881.mp4,1,0,83.64532509710686
00:04:33.174.mp4,0,1,85.64898011026251
00:04:28.936.mp4,3,0,85.95472077656657
00:05:42.581.mp4,0,3,87.76757863302664
00:05:28.371.mp4,1,0,82.93322030115031
00:02:56.135.mp4,1,0,78.82048101821466
00:03:12.339.mp4,0,2,84.9529282079217
00:10:06.540.mp4,3,4,82.66431476078952
00:16:51.490.mp4,0,1,84.99106456955481
00:07:29.492.mp4,5,0,86.378403651265
00:09:56.904.mp4,0,1,86.495711872199
00:10:27.030.mp4,6,4,85.5600044986707
00:12:52.070.mp4,0,0,84.04918956572179
00:12:21.225.mp4,2,1,84.6635977432943
00:10:54.742.mp4,6,3,84.94966860959401
00:16:21.036.mp4,1,0,82.36970704492984
00:07:53.511.mp4,0,7,81.40455335028128
00:14:41.820.mp4,0,2,84.98649219234785
00:09:19.676.mp4,0,8,84.35165354458204
00:08:51.004.mp4,4,0,86.3374876677693
00:20:19.787.mp4,1,7,85.11303265683057
00:17:57.644.mp4,1,3,84.24019332664075
00:14:54.399.mp4,2,0,84.63528821229501
00:19:27.559.mp4,9,5,85.00692439669353
00:16:54.613.mp4,1,1,85.54596971613648
