File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,113.7021312748607
00:09:34.084.mp4,0,1,120.84359066585432
00:17:10.535.mp4,0,0,125.37204602406005
00:12:19.952.mp4,0,1,123.58963990189366
00:09:38.088.mp4,0,0,124.12253713294567
00:15:44.934.mp4,1,1,123.52154585211818
00:12:29.397.mp4,0,3,125.89108524318732
00:11:21.904.mp4,2,3,123.39570670598204
00:10:39.642.mp4,0,0,125.36517470582878
00:01:56.787.mp4,1,0,124.83494860159523
00:10:57.095.mp4,1,1,123.37158181553866
00:00:54.431.mp4,0,1,125.44567438861878
00:11:40.728.mp4,1,1,123.37576548646487
00:02:06.019.mp4,0,1,123.39863141356618
00:01:18.718.mp4,0,1,126.68927129925711
00:00:40.515.mp4,0,1,124.62556237681237
00:01:08.637.mp4,1,0,123.89996142543477
00:03:14.557.mp4,2,0,124.8305690703639
00:03:24.590.mp4,0,2,123.80539958196486
00:10:18.376.mp4,0,1,123.84711341103039
00:21:04.004.mp4,0,0,125.36086347576118
00:14:57.864.mp4,0,1,122.03911072730106
00:01:43.464.mp4,0,1,124.03703124384975
00:09:14.543.mp4,1,1,124.78710943607325
00:00:44.976.mp4,1,0,124.33145877091944
00:20:31.154.mp4,0,1,124.6707120811377
00:10:31.171.mp4,1,2,124.96845973498806
00:00:30.442.mp4,1,0,123.4698370238117
00:02:45.437.mp4,2,0,124.0718292487261
00:01:35.018.mp4,1,0,124.1050262941621
00:02:56.377.mp4,0,2,123.54557917117614
00:07:23.982.mp4,0,2,122.3658828350883
00:07:13.094.mp4,1,0,123.84898310424683
00:13:57.166.mp4,0,1,122.53588559846442
00:01:33.260.mp4,1,0,124.52346560364019
00:01:46.723.mp4,0,1,124.81295607913633
00:12:35.997.mp4,1,0,123.67287195514479
00:02:09.862.mp4,1,0,123.9795572234857
00:08:16.887.mp4,3,0,123.22457684435506
00:06:41.309.mp4,0,1,123.08440051623668
00:06:29.647.mp4,1,0,124.3126990851996
00:03:56.751.mp4,3,0,123.48561293474754
00:03:57.024.mp4,0,2,124.44756144024575
00:08:29.506.mp4,0,3,123.73415456436827
00:04:09.367.mp4,0,3,125.56585610075234
00:01:18.633.mp4,0,1,125.28716900266525
00:03:45.470.mp4,1,0,124.12037547753009
00:02:22.882.mp4,0,1,122.34402669981654
00:20:47.501.mp4,1,0,126.52924968978067
00:04:41.671.mp4,0,4,123.29482551494986
00:17:09.138.mp4,1,1,122.63974486096456
00:15:30.421.mp4,1,1,123.684918257095
00:01:06.501.mp4,1,0,123.97492722126474
00:04:18.881.mp4,2,0,124.41655848830243
00:04:33.174.mp4,0,2,125.64499981726777
00:04:28.936.mp4,4,0,124.83553420731775
00:05:42.581.mp4,0,3,125.23440965245116
00:05:28.371.mp4,3,0,124.92196445456747
00:02:56.135.mp4,2,0,125.17629609316282
00:03:12.339.mp4,0,2,124.95225723657934
00:10:06.540.mp4,4,5,126.08882994220535
00:16:51.490.mp4,0,1,123.0963268347891
00:07:29.492.mp4,7,0,126.58207005354842
00:09:56.904.mp4,1,1,124.49733979260242
00:10:27.030.mp4,6,7,120.78194294998194
00:12:52.070.mp4,2,0,126.38278037064498
00:12:21.225.mp4,1,2,127.30163475410676
00:10:54.742.mp4,3,6,125.56314003616944
00:16:21.036.mp4,1,0,124.5031554933721
00:07:53.511.mp4,0,8,127.86480614734164
00:14:41.820.mp4,0,1,125.6224996503144
00:09:19.676.mp4,0,9,125.47743089148634
00:08:51.004.mp4,5,0,126.72583229729638
00:20:19.787.mp4,1,0,127.85508584728684
00:17:57.644.mp4,1,5,128.51034171521246
00:14:54.399.mp4,4,2,129.29628835448088
00:19:27.559.mp4,9,5,126.88597077036661
00:16:54.613.mp4,0,7,129.07671460165096
