File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,109.07606041164703
00:09:34.084.mp4,0,0,119.5454531096343
00:17:10.535.mp4,0,0,118.44933179788572
00:12:19.952.mp4,0,1,118.85614030764681
00:09:38.088.mp4,1,0,121.4540939719245
00:15:44.934.mp4,1,1,119.76629708678762
00:12:29.397.mp4,0,5,119.55863233013649
00:11:21.904.mp4,1,2,119.69626615635973
00:10:39.642.mp4,0,0,120.20813078861038
00:01:56.787.mp4,1,0,120.7711337696995
00:10:57.095.mp4,0,1,118.40713318588347
00:00:54.431.mp4,0,1,121.59778722198003
00:11:40.728.mp4,1,1,122.05100404727138
00:02:06.019.mp4,0,0,116.99231487342587
00:01:18.718.mp4,0,1,118.78689082397491
00:00:40.515.mp4,0,1,117.09349337863047
00:01:08.637.mp4,0,0,118.59912678031924
00:03:14.557.mp4,2,0,118.21222504755545
00:03:24.590.mp4,0,2,116.81495089378943
00:10:18.376.mp4,2,0,116.55161170804001
00:21:04.004.mp4,1,0,117.73760914171464
00:14:57.864.mp4,0,1,119.26086399104359
00:01:43.464.mp4,0,1,119.22474225497162
00:09:14.543.mp4,0,1,120.48735021222377
00:00:44.976.mp4,1,0,118.88069654761992
00:20:31.154.mp4,0,0,119.47120111066813
00:10:31.171.mp4,1,2,119.2210186985247
00:00:30.442.mp4,1,0,119.30163977616203
00:02:45.437.mp4,1,0,118.46596566713478
00:01:35.018.mp4,0,0,119.29318253111958
00:02:56.377.mp4,0,2,118.27518809285647
00:07:23.982.mp4,0,1,119.28779984850972
00:07:13.094.mp4,1,0,119.89453119260442
00:13:57.166.mp4,0,1,119.18820532801868
00:01:33.260.mp4,0,0,120.12521774012536
00:01:46.723.mp4,0,1,121.12310338464226
00:12:35.997.mp4,0,0,120.5639356719007
00:02:09.862.mp4,1,0,119.00976402685778
00:08:16.887.mp4,3,0,118.99050897197671
00:06:41.309.mp4,0,1,119.81087620228018
00:06:29.647.mp4,0,0,120.61805737022017
00:03:56.751.mp4,2,0,120.43601637769476
00:03:57.024.mp4,0,2,117.62998058155476
00:08:29.506.mp4,0,2,120.8627745506334
00:04:09.367.mp4,0,3,120.14271496173471
00:01:18.633.mp4,0,1,120.18685413188706
00:03:45.470.mp4,1,0,119.14929290812287
00:02:22.882.mp4,0,1,117.12279840291848
00:20:47.501.mp4,1,0,116.20895730879882
00:04:41.671.mp4,0,3,116.94179851717233
00:17:09.138.mp4,1,1,118.86022970629139
00:15:30.421.mp4,1,1,118.05606910714293
00:01:06.501.mp4,1,0,118.53977742070252
00:04:18.881.mp4,2,0,119.28939520549741
00:04:33.174.mp4,0,2,119.59642411509623
00:04:28.936.mp4,1,0,118.28142146935295
00:05:42.581.mp4,0,4,119.88938369012136
00:05:28.371.mp4,1,0,118.29406825303599
00:02:56.135.mp4,2,0,120.37906025556535
00:03:12.339.mp4,0,1,120.8058660601501
00:10:06.540.mp4,4,3,120.35454597311278
00:16:51.490.mp4,0,1,120.14997765613018
00:07:29.492.mp4,5,0,119.39662057744346
00:09:56.904.mp4,1,1,120.87145920330735
00:10:27.030.mp4,6,5,119.1897432118332
00:12:52.070.mp4,3,3,118.25788459968587
00:12:21.225.mp4,3,1,116.66685580650184
00:10:54.742.mp4,3,5,118.0775556847799
00:16:21.036.mp4,0,0,121.19875875776992
00:07:53.511.mp4,0,5,121.09609884271174
00:14:41.820.mp4,0,1,119.74736075391047
00:09:19.676.mp4,0,6,120.17805657898077
00:08:51.004.mp4,7,1,119.06985287117418
00:20:19.787.mp4,1,1,116.76958007968322
00:17:57.644.mp4,1,6,119.78635233262581
00:14:54.399.mp4,3,6,121.37055675061215
00:19:27.559.mp4,9,5,118.74300029365963
00:16:54.613.mp4,0,7,121.20124826935759
