File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,119.64374791758014
00:09:34.084.mp4,1,1,127.29579457788425
00:17:10.535.mp4,0,0,131.36615476939878
00:12:19.952.mp4,0,1,130.45066568502978
00:09:38.088.mp4,0,0,131.80783302675596
00:15:44.934.mp4,0,1,126.9590832023725
00:12:29.397.mp4,0,3,131.94998791910209
00:11:21.904.mp4,0,1,128.14854643201636
00:10:39.642.mp4,0,0,129.50740150276874
00:01:56.787.mp4,1,0,131.8939731952147
00:10:57.095.mp4,1,1,131.4780173919292
00:00:54.431.mp4,0,1,133.0152543360314
00:11:40.728.mp4,1,1,129.3683653654039
00:02:06.019.mp4,0,0,128.06771049930748
00:01:18.718.mp4,0,1,130.68959384355762
00:00:40.515.mp4,0,1,127.68870411461029
00:01:08.637.mp4,1,0,130.89519892326092
00:03:14.557.mp4,1,0,131.8915973491971
00:03:24.590.mp4,0,2,129.6630106652444
00:10:18.376.mp4,1,1,130.08595198091882
00:21:04.004.mp4,0,0,134.34938461845795
00:14:57.864.mp4,0,1,124.36938633290997
00:01:43.464.mp4,0,1,130.82217864013603
00:09:14.543.mp4,1,1,128.80672400925266
00:00:44.976.mp4,1,0,133.06955013720776
00:20:31.154.mp4,0,0,132.55984857342932
00:10:31.171.mp4,1,2,128.77859762578785
00:00:30.442.mp4,1,0,128.42050064327967
00:02:45.437.mp4,2,0,130.13443456874566
00:01:35.018.mp4,1,0,129.41582261452356
00:02:56.377.mp4,0,2,130.2632645529708
00:07:23.982.mp4,0,1,128.0235901854381
00:07:13.094.mp4,1,0,128.75360778780683
00:13:57.166.mp4,0,1,127.25616327324444
00:01:33.260.mp4,1,0,130.7481060296717
00:01:46.723.mp4,0,1,131.15808498928078
00:12:35.997.mp4,1,0,129.2243699243876
00:02:09.862.mp4,1,0,128.9889423660786
00:08:16.887.mp4,3,0,127.32310858438335
00:06:41.309.mp4,0,1,129.87159904583282
00:06:29.647.mp4,1,0,131.61066228070015
00:03:56.751.mp4,2,0,131.11248001697004
00:03:57.024.mp4,0,1,131.1640470236067
00:08:29.506.mp4,0,0,129.4020216939157
00:04:09.367.mp4,0,2,131.34303258469816
00:01:18.633.mp4,0,1,130.57241462310057
00:03:45.470.mp4,1,0,130.7759717867809
00:02:22.882.mp4,0,1,129.21124399755973
00:20:47.501.mp4,0,0,134.53603350974478
00:04:41.671.mp4,0,3,130.02289349222738
00:17:09.138.mp4,1,1,128.01697133592822
00:15:30.421.mp4,1,1,128.58872793653575
00:01:06.501.mp4,1,0,130.74911784798275
00:04:18.881.mp4,1,0,130.5967317800844
00:04:33.174.mp4,0,0,131.02855584445282
00:04:28.936.mp4,1,1,131.2312579831759
00:05:42.581.mp4,0,2,131.28233460225204
00:05:28.371.mp4,2,0,130.12247740657276
00:02:56.135.mp4,1,0,129.32745197739456
00:03:12.339.mp4,0,2,130.6466267864397
00:10:06.540.mp4,1,5,133.52519741000083
00:16:51.490.mp4,0,1,129.45504061652156
00:07:29.492.mp4,3,0,133.80373536441337
00:09:56.904.mp4,1,1,130.6764468164385
00:10:27.030.mp4,4,7,133.4881910884418
00:12:52.070.mp4,1,0,134.30278902827422
00:12:21.225.mp4,1,0,133.292724653726
00:10:54.742.mp4,2,7,133.5581110327041
00:16:21.036.mp4,1,0,128.38817004258144
00:07:53.511.mp4,0,7,134.04113788351188
00:14:41.820.mp4,0,1,129.73854842562366
00:09:19.676.mp4,0,7,134.3107509373261
00:08:51.004.mp4,4,0,133.67321187684945
00:20:19.787.mp4,0,1,134.70572192864014
00:17:57.644.mp4,1,5,135.12151625626933
00:14:54.399.mp4,3,0,134.3882917206625
00:19:27.559.mp4,8,6,133.80190348292118
00:16:54.613.mp4,0,4,134.24446463163875
