File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,75.07354484945434
00:09:34.084.mp4,0,2,75.15898274999361
00:17:10.535.mp4,0,2,51.93050754656935
00:12:19.952.mp4,0,2,72.52509105513695
00:09:38.088.mp4,6,0,77.53848242112863
00:15:44.934.mp4,1,1,76.46832305848608
00:12:29.397.mp4,4,8,51.67000271625807
00:11:21.904.mp4,1,4,76.71298142622676
00:10:39.642.mp4,0,0,82.97555934237212
00:01:56.787.mp4,1,0,74.06567078645882
00:10:57.095.mp4,3,1,77.52339505737093
00:00:54.431.mp4,0,2,83.97858085164918
00:11:40.728.mp4,4,1,78.4495168594869
00:02:06.019.mp4,0,1,82.33079358645524
00:01:18.718.mp4,0,1,85.88532226584887
00:00:40.515.mp4,0,2,76.68493597818286
00:01:08.637.mp4,1,0,82.32413281096211
00:03:14.557.mp4,3,0,82.02545557838765
00:03:24.590.mp4,0,2,81.41392445425151
00:10:18.376.mp4,1,1,77.16930262267033
00:21:04.004.mp4,2,0,72.89204235174141
00:14:57.864.mp4,0,2,72.1154126180251
00:01:43.464.mp4,0,2,82.44625808314107
00:09:14.543.mp4,3,1,83.35950875753691
00:00:44.976.mp4,1,0,84.85362418895765
00:20:31.154.mp4,1,1,79.04175388117422
00:10:31.171.mp4,1,2,79.40753200628424
00:00:30.442.mp4,1,0,77.07676989374274
00:02:45.437.mp4,4,0,82.06494987353776
00:01:35.018.mp4,3,0,85.89666634691291
00:02:56.377.mp4,0,5,82.5283885442652
00:07:23.982.mp4,1,2,79.79173383203064
00:07:13.094.mp4,2,0,83.91389444974908
00:13:57.166.mp4,1,1,77.2386996549522
00:01:33.260.mp4,3,0,79.66677972065168
00:01:46.723.mp4,0,2,83.1804611623556
00:12:35.997.mp4,3,0,75.86228619520355
00:02:09.862.mp4,2,0,87.25713494262514
00:08:16.887.mp4,1,0,74.35530266675808
00:06:41.309.mp4,0,1,83.12677416102721
00:06:29.647.mp4,3,1,83.86879721028586
00:03:56.751.mp4,3,0,76.73666243206675
00:03:57.024.mp4,0,2,75.15089994137499
00:08:29.506.mp4,0,2,76.97933439179532
00:04:09.367.mp4,0,4,75.89589193671544
00:01:18.633.mp4,0,3,81.87254594055122
00:03:45.470.mp4,2,0,83.43136515467947
00:02:22.882.mp4,0,1,85.54056726542204
00:20:47.501.mp4,1,0,74.66671268391589
00:04:41.671.mp4,0,5,70.32927980092074
00:17:09.138.mp4,1,1,82.00865066934597
00:15:30.421.mp4,2,1,83.45081857373961
00:01:06.501.mp4,3,0,85.28882036756448
00:04:18.881.mp4,5,0,81.705633130407
00:04:33.174.mp4,0,5,83.99340677517732
00:04:28.936.mp4,5,0,67.58206694143014
00:05:42.581.mp4,0,3,79.14003470411657
00:05:28.371.mp4,3,0,81.21270998640696
00:02:56.135.mp4,5,0,77.13255370557971
00:03:12.339.mp4,0,5,85.919235010594
00:10:06.540.mp4,5,15,67.29290357907229
00:16:51.490.mp4,0,2,81.18920320219506
00:07:29.492.mp4,13,1,70.7506479921076
00:09:56.904.mp4,3,2,77.55257013069877
00:10:27.030.mp4,14,11,68.22788665631852
00:12:52.070.mp4,4,6,64.99756069131323
00:12:21.225.mp4,6,0,78.22557106299853
00:10:54.742.mp4,7,9,67.69317439795218
00:16:21.036.mp4,1,0,86.3528774969491
00:07:53.511.mp4,1,14,69.65948138662736
00:14:41.820.mp4,0,2,84.68190664743368
00:09:19.676.mp4,2,23,70.99110928642541
00:08:51.004.mp4,14,3,74.05752360659703
00:20:19.787.mp4,4,6,80.0883148308122
00:17:57.644.mp4,2,14,79.90495649570171
00:14:54.399.mp4,10,4,75.66296049301047
00:19:27.559.mp4,26,18,80.62656392430966
00:16:54.613.mp4,5,21,81.9757683509775
