File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,89.05665425972964
00:09:34.084.mp4,0,1,93.54494735248083
00:17:10.535.mp4,0,0,98.5020301230599
00:12:19.952.mp4,0,1,97.78584132990945
00:09:38.088.mp4,0,0,93.24140294445283
00:15:44.934.mp4,1,1,97.25869825390248
00:12:29.397.mp4,0,0,95.49410907793396
00:11:21.904.mp4,0,1,94.92848410477902
00:10:39.642.mp4,0,0,92.09346407894725
00:01:56.787.mp4,0,0,97.08983607095803
00:10:57.095.mp4,1,0,96.67401453178769
00:00:54.431.mp4,0,1,92.9903291746173
00:11:40.728.mp4,1,0,96.08771842445483
00:02:06.019.mp4,0,0,96.78673786034263
00:01:18.718.mp4,0,1,96.78258370162388
00:00:40.515.mp4,0,1,95.93335551609525
00:01:08.637.mp4,1,0,96.02853818428544
00:03:14.557.mp4,1,0,96.88248471471805
00:03:24.590.mp4,0,1,93.5913943520512
00:10:18.376.mp4,1,1,96.00568645072177
00:21:04.004.mp4,0,0,97.28594637600314
00:14:57.864.mp4,0,1,95.13796981963169
00:01:43.464.mp4,0,1,95.12788961874884
00:09:14.543.mp4,1,1,94.53598292361556
00:00:44.976.mp4,1,0,95.60790192973418
00:20:31.154.mp4,0,0,99.75208892508701
00:10:31.171.mp4,1,0,93.92144314039993
00:00:30.442.mp4,1,0,96.26175323753914
00:02:45.437.mp4,1,0,94.43422389008778
00:01:35.018.mp4,0,0,94.26902381566997
00:02:56.377.mp4,0,2,94.43500532954201
00:07:23.982.mp4,0,0,98.00088728730245
00:07:13.094.mp4,0,0,96.32417115930204
00:13:57.166.mp4,0,0,98.23356435008101
00:01:33.260.mp4,1,0,97.2550154240676
00:01:46.723.mp4,0,0,94.79282055161852
00:12:35.997.mp4,0,0,100.92245483445414
00:02:09.862.mp4,1,0,95.51980737145581
00:08:16.887.mp4,0,0,95.1150397539408
00:06:41.309.mp4,0,0,96.55407261576532
00:06:29.647.mp4,0,0,97.36141801316393
00:03:56.751.mp4,2,0,93.62149665032884
00:03:57.024.mp4,0,0,88.93187405141803
00:08:29.506.mp4,0,0,94.85501559471062
00:04:09.367.mp4,0,1,97.45483036407234
00:01:18.633.mp4,0,0,94.83810039433114
00:03:45.470.mp4,1,0,94.64400658669126
00:02:22.882.mp4,0,1,93.85620932534701
00:20:47.501.mp4,0,0,97.4064917687833
00:04:41.671.mp4,0,2,95.66303463289324
00:17:09.138.mp4,0,0,97.03652157386277
00:15:30.421.mp4,1,1,95.18785201090908
00:01:06.501.mp4,1,0,96.14022803683065
00:04:18.881.mp4,0,0,95.56179611792088
00:04:33.174.mp4,0,0,97.64245709653704
00:04:28.936.mp4,2,0,96.70978284201172
00:05:42.581.mp4,0,1,89.3471201630953
00:05:28.371.mp4,2,0,96.29328694699443
00:02:56.135.mp4,1,0,97.19748670437055
00:03:12.339.mp4,0,0,95.66094588232652
00:10:06.540.mp4,1,1,96.10206713876
00:16:51.490.mp4,0,1,96.16055861093142
00:07:29.492.mp4,2,0,95.88770872375302
00:09:56.904.mp4,0,0,95.67255163594417
00:10:27.030.mp4,3,4,94.48611659454147
00:12:52.070.mp4,0,0,91.95201283950439
00:12:21.225.mp4,0,0,112.74887307821767
00:10:54.742.mp4,2,1,99.68800267125391
00:16:21.036.mp4,1,0,99.48875160203457
00:07:53.511.mp4,0,0,97.78180974064371
00:14:41.820.mp4,0,1,99.0039525798743
00:09:19.676.mp4,0,0,98.04998336940675
00:08:51.004.mp4,3,0,97.92569525820772
00:20:19.787.mp4,0,0,101.8353230665914
00:17:57.644.mp4,1,1,97.74471622858042
00:14:54.399.mp4,0,0,97.71962892604074
00:19:27.559.mp4,3,3,101.34494908173785
00:16:54.613.mp4,0,1,100.80894830294086
