File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,102.21001807559594
00:09:34.084.mp4,0,0,105.7162414534741
00:17:10.535.mp4,0,0,106.2323914110698
00:12:19.952.mp4,0,0,108.04477739541706
00:09:38.088.mp4,0,0,108.30284198216931
00:15:44.934.mp4,0,1,106.40206961020512
00:12:29.397.mp4,0,1,106.51911262155667
00:11:21.904.mp4,1,0,107.31079204697427
00:10:39.642.mp4,0,0,109.74688897098275
00:01:56.787.mp4,1,0,107.76496663523697
00:10:57.095.mp4,0,0,108.36719670434327
00:00:54.431.mp4,0,0,108.00012359633286
00:11:40.728.mp4,0,1,108.66429122890042
00:02:06.019.mp4,0,1,107.444972063897
00:01:18.718.mp4,0,1,106.75366696369956
00:00:40.515.mp4,0,1,109.38954448105942
00:01:08.637.mp4,0,0,108.97195755852373
00:03:14.557.mp4,1,0,107.0764730928682
00:03:24.590.mp4,0,1,106.80616637809837
00:10:18.376.mp4,0,0,107.93603036864951
00:21:04.004.mp4,0,0,110.20683848678802
00:14:57.864.mp4,0,1,106.69588272825833
00:01:43.464.mp4,0,0,107.31505875753781
00:09:14.543.mp4,0,1,108.93881291382932
00:00:44.976.mp4,0,0,107.14732336692636
00:20:31.154.mp4,0,0,109.20220798100539
00:10:31.171.mp4,0,0,108.48836799786223
00:00:30.442.mp4,1,0,105.91653664301212
00:02:45.437.mp4,0,0,108.62664579803007
00:01:35.018.mp4,0,0,106.29148774993209
00:02:56.377.mp4,0,1,107.23112783229706
00:07:23.982.mp4,0,1,108.48417268053704
00:07:13.094.mp4,1,0,108.76991139718481
00:13:57.166.mp4,0,0,107.6783588544526
00:01:33.260.mp4,0,0,107.58045971689697
00:01:46.723.mp4,0,0,110.30035946809785
00:12:35.997.mp4,0,0,107.79096197922166
00:02:09.862.mp4,1,0,109.0697816180789
00:08:16.887.mp4,1,0,108.46376627261627
00:06:41.309.mp4,0,0,110.02581562502847
00:06:29.647.mp4,0,0,107.79627923131626
00:03:56.751.mp4,1,0,108.07427551330755
00:03:57.024.mp4,0,1,108.09511911042604
00:08:29.506.mp4,0,0,109.01412479376671
00:04:09.367.mp4,0,2,109.26461901738594
00:01:18.633.mp4,0,0,109.46418464587711
00:03:45.470.mp4,1,0,109.58449683065217
00:02:22.882.mp4,0,0,110.18316277303674
00:20:47.501.mp4,0,0,109.83291638422884
00:04:41.671.mp4,0,2,108.4679729599113
00:17:09.138.mp4,0,1,109.36599254678865
00:15:30.421.mp4,0,0,109.58144121017926
00:01:06.501.mp4,0,0,108.86312856637397
00:04:18.881.mp4,1,0,108.68756735533877
00:04:33.174.mp4,0,0,108.07705330229543
00:04:28.936.mp4,1,0,108.47089575641971
00:05:42.581.mp4,0,2,108.66064967840515
00:05:28.371.mp4,0,0,109.00487902604031
00:02:56.135.mp4,1,0,108.6068081974897
00:03:12.339.mp4,0,0,108.05773578243505
00:10:06.540.mp4,2,2,110.16677218883335
00:16:51.490.mp4,0,0,107.8258150595385
00:07:29.492.mp4,2,0,106.12715084850856
00:09:56.904.mp4,0,1,107.52723769059818
00:10:27.030.mp4,1,4,108.10254362168193
00:12:52.070.mp4,0,0,108.25287471451102
00:12:21.225.mp4,1,0,107.73120614397865
00:10:54.742.mp4,2,1,107.790924283527
00:16:21.036.mp4,0,0,108.99246505388406
00:07:53.511.mp4,0,3,109.12100109907541
00:14:41.820.mp4,0,0,108.71632067252744
00:09:19.676.mp4,0,2,109.63731977810987
00:08:51.004.mp4,2,0,110.07753207803701
00:20:19.787.mp4,1,0,109.31264761340566
00:17:57.644.mp4,1,0,110.18490080984562
00:14:54.399.mp4,0,0,109.37683024805814
00:19:27.559.mp4,1,2,109.7165980922416
00:16:54.613.mp4,0,0,109.7643049574669
