File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,103.22504797831411
00:09:34.084.mp4,0,1,111.59954533537447
00:17:10.535.mp4,0,0,113.77587261230113
00:12:19.952.mp4,0,1,114.73661669669588
00:09:38.088.mp4,1,0,113.64549756372104
00:15:44.934.mp4,1,1,115.16425476395955
00:12:29.397.mp4,0,3,114.19054791949658
00:11:21.904.mp4,1,1,111.55241598733376
00:10:39.642.mp4,0,0,112.55251039894155
00:01:56.787.mp4,1,0,113.59894214621958
00:10:57.095.mp4,1,1,112.97555637029602
00:00:54.431.mp4,0,1,113.48303574730105
00:11:40.728.mp4,1,1,111.88641878656128
00:02:06.019.mp4,0,1,111.21613636147933
00:01:18.718.mp4,0,1,111.50705667766299
00:00:40.515.mp4,0,1,109.69467121810096
00:01:08.637.mp4,1,0,109.85149297144628
00:03:14.557.mp4,2,0,111.31239720306074
00:03:24.590.mp4,0,2,108.08192221215724
00:10:18.376.mp4,0,1,107.28188214430499
00:21:04.004.mp4,0,0,109.21819516127361
00:14:57.864.mp4,0,1,90.5139425023454
00:01:43.464.mp4,0,1,95.20270251246536
00:09:14.543.mp4,1,1,100.24271031981165
00:00:44.976.mp4,1,0,102.81523096428404
00:20:31.154.mp4,0,1,106.63845306738115
00:10:31.171.mp4,1,2,99.87510547884439
00:00:30.442.mp4,1,0,99.28468624066743
00:02:45.437.mp4,2,0,106.35742905907267
00:01:35.018.mp4,1,0,103.39303098045944
00:02:56.377.mp4,0,2,103.95899806122098
00:07:23.982.mp4,0,2,106.68792246732914
00:07:13.094.mp4,1,0,112.79216892173388
00:13:57.166.mp4,0,1,109.3016856771938
00:01:33.260.mp4,1,0,109.14673542621625
00:01:46.723.mp4,0,1,110.74038767499246
00:12:35.997.mp4,1,0,110.50299918572958
00:02:09.862.mp4,1,0,111.1355929074538
00:08:16.887.mp4,3,0,110.24255759404247
00:06:41.309.mp4,0,1,108.61625072231989
00:06:29.647.mp4,1,0,111.5393039786112
00:03:56.751.mp4,3,0,110.71875373269799
00:03:57.024.mp4,0,2,111.95206030231385
00:08:29.506.mp4,0,3,110.5118580028307
00:04:09.367.mp4,0,3,110.2810154902011
00:01:18.633.mp4,0,1,110.12688699708283
00:03:45.470.mp4,1,0,110.23465509597197
00:02:22.882.mp4,0,1,109.48023617431677
00:20:47.501.mp4,1,0,113.16604451545821
00:04:41.671.mp4,0,4,110.65964248567849
00:17:09.138.mp4,1,1,111.5946228806295
00:15:30.421.mp4,1,1,109.80791128830657
00:01:06.501.mp4,1,0,110.7045799793771
00:04:18.881.mp4,2,0,110.69533956349254
00:04:33.174.mp4,0,2,110.38952980929643
00:04:28.936.mp4,4,0,111.0953130923148
00:05:42.581.mp4,0,3,109.73351061577331
00:05:28.371.mp4,3,0,110.55311927406781
00:02:56.135.mp4,2,0,111.64323781448344
00:03:12.339.mp4,0,2,110.35186154058947
00:10:06.540.mp4,4,5,112.75569911250693
00:16:51.490.mp4,0,1,111.92569742916102
00:07:29.492.mp4,8,0,114.2506375122701
00:09:56.904.mp4,1,1,112.30946632227517
00:10:27.030.mp4,6,7,113.17515470806703
00:12:52.070.mp4,3,0,112.46302041552283
00:12:21.225.mp4,1,0,115.06620135375745
00:10:54.742.mp4,3,6,114.28535789149498
00:16:21.036.mp4,1,0,111.81782223152706
00:07:53.511.mp4,0,8,115.07480192383689
00:14:41.820.mp4,0,1,114.71307186827345
00:09:19.676.mp4,0,10,113.98447580494839
00:08:51.004.mp4,5,0,114.63571671545174
00:20:19.787.mp4,1,0,115.4108758739593
00:17:57.644.mp4,1,5,115.69652432536817
00:14:54.399.mp4,4,4,104.45807061144221
00:19:27.559.mp4,10,6,110.12123128629183
00:16:54.613.mp4,0,9,113.86902503473551
