File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,104.61612011038439
00:09:34.084.mp4,0,0,111.6354920132578
00:17:10.535.mp4,0,0,113.60784069156135
00:12:19.952.mp4,0,1,113.37531784021178
00:09:38.088.mp4,1,0,112.91994206930023
00:15:44.934.mp4,1,1,112.52108622998749
00:12:29.397.mp4,0,5,114.2407576027004
00:11:21.904.mp4,1,1,113.44500820565483
00:10:39.642.mp4,0,0,112.66082015199183
00:01:56.787.mp4,1,0,111.80471237477941
00:10:57.095.mp4,0,1,114.12451023073574
00:00:54.431.mp4,0,1,112.28691839873592
00:11:40.728.mp4,1,1,112.54145092601114
00:02:06.019.mp4,0,0,109.14024719049338
00:01:18.718.mp4,0,1,109.96997880545045
00:00:40.515.mp4,0,1,108.8680882380166
00:01:08.637.mp4,0,0,109.2252756057129
00:03:14.557.mp4,2,0,109.06280872283216
00:03:24.590.mp4,0,2,108.35460011745623
00:10:18.376.mp4,2,0,108.80902509613917
00:21:04.004.mp4,1,0,108.59301482955593
00:14:57.864.mp4,0,1,109.36758243425484
00:01:43.464.mp4,0,1,107.61940645441841
00:09:14.543.mp4,0,1,110.1921263979819
00:00:44.976.mp4,1,0,110.08500768641969
00:20:31.154.mp4,0,0,109.4886718751392
00:10:31.171.mp4,1,2,112.39237355856058
00:00:30.442.mp4,1,0,109.27351140720366
00:02:45.437.mp4,1,0,112.37915697939337
00:01:35.018.mp4,0,0,112.19741217347419
00:02:56.377.mp4,0,2,110.44528604583383
00:07:23.982.mp4,0,1,112.40848907104404
00:07:13.094.mp4,1,0,112.80213866108475
00:13:57.166.mp4,0,1,111.11714579119953
00:01:33.260.mp4,0,0,110.69339653544651
00:01:46.723.mp4,0,1,112.5816447294232
00:12:35.997.mp4,0,0,108.57882739783295
00:02:09.862.mp4,0,0,108.15310299648525
00:08:16.887.mp4,3,0,106.84214441461118
00:06:41.309.mp4,0,1,110.88549661220426
00:06:29.647.mp4,0,0,108.21184667721671
00:03:56.751.mp4,2,0,112.14190750225929
00:03:57.024.mp4,0,2,110.05840015677244
00:08:29.506.mp4,0,2,110.14432942567176
00:04:09.367.mp4,0,3,111.18759026452318
00:01:18.633.mp4,0,1,112.3329667105407
00:03:45.470.mp4,1,0,113.18311407305997
00:02:22.882.mp4,0,1,112.22584040020946
00:20:47.501.mp4,2,0,110.76853614922433
00:04:41.671.mp4,0,3,112.14894673261644
00:17:09.138.mp4,1,1,113.74544593522955
00:15:30.421.mp4,1,1,111.84610754344715
00:01:06.501.mp4,1,0,113.2988723097576
00:04:18.881.mp4,2,0,112.5779834689861
00:04:33.174.mp4,0,2,113.3393426213606
00:04:28.936.mp4,1,0,112.9904588509399
00:05:42.581.mp4,0,4,112.42257410925278
00:05:28.371.mp4,1,0,113.55114581705351
00:02:56.135.mp4,2,0,112.60999472848533
00:03:12.339.mp4,0,1,111.70646450639731
00:10:06.540.mp4,4,3,117.66008469547477
00:16:51.490.mp4,0,1,122.8205354569001
00:07:29.492.mp4,5,0,123.64663591739246
00:09:56.904.mp4,1,1,114.95071744044192
00:10:27.030.mp4,7,4,107.91876957073076
00:12:52.070.mp4,5,5,111.59176307608138
00:12:21.225.mp4,2,0,111.88129398002941
00:10:54.742.mp4,3,6,106.7624852253456
00:16:21.036.mp4,1,0,115.18092714376775
00:07:53.511.mp4,0,6,111.67468644602569
00:14:41.820.mp4,0,1,113.54681839038267
00:09:19.676.mp4,0,8,112.67602700003172
00:08:51.004.mp4,9,1,112.58395062565914
00:20:19.787.mp4,1,1,110.77087950371985
00:17:57.644.mp4,1,6,112.42985500031682
00:14:54.399.mp4,5,8,114.81318147533337
00:19:27.559.mp4,10,5,110.12644420994042
00:16:54.613.mp4,0,9,112.83932130279179
