File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,110.07090411827616
00:09:34.084.mp4,1,1,116.3236684544614
00:17:10.535.mp4,0,0,119.21816373667326
00:12:19.952.mp4,0,1,118.44393468305961
00:09:38.088.mp4,0,0,120.46927684668437
00:15:44.934.mp4,0,1,115.70049426163537
00:12:29.397.mp4,0,3,121.62865929684027
00:11:21.904.mp4,1,1,117.38413909886677
00:10:39.642.mp4,1,0,119.6032912241012
00:01:56.787.mp4,1,0,115.14896247987078
00:10:57.095.mp4,1,1,114.15321721695652
00:00:54.431.mp4,0,1,121.18507887245842
00:11:40.728.mp4,1,1,118.62369283050008
00:02:06.019.mp4,0,0,115.37321973874327
00:01:18.718.mp4,0,1,118.4236393092762
00:00:40.515.mp4,0,1,113.25842950060394
00:01:08.637.mp4,1,0,116.3056994624638
00:03:14.557.mp4,2,0,116.34934133720317
00:03:24.590.mp4,0,2,116.28984344967981
00:10:18.376.mp4,1,1,116.60273430984314
00:21:04.004.mp4,0,0,120.30916723323446
00:14:57.864.mp4,0,1,113.95819609869446
00:01:43.464.mp4,0,1,117.81389584453754
00:09:14.543.mp4,1,1,116.55028978658248
00:00:44.976.mp4,1,0,115.31373300910188
00:20:31.154.mp4,0,1,117.81289725736515
00:10:31.171.mp4,1,2,115.51228907294872
00:00:30.442.mp4,1,0,116.65397124245621
00:02:45.437.mp4,2,0,118.30379277027271
00:01:35.018.mp4,1,0,116.39710259060912
00:02:56.377.mp4,0,2,118.01738404860113
00:07:23.982.mp4,0,1,115.38134638725126
00:07:13.094.mp4,1,0,115.18028301891634
00:13:57.166.mp4,0,1,115.14345325077922
00:01:33.260.mp4,1,0,115.12524547542124
00:01:46.723.mp4,0,1,106.98394671222665
00:12:35.997.mp4,1,0,100.21071701517964
00:02:09.862.mp4,1,0,99.6037205936331
00:08:16.887.mp4,3,0,101.49638321963636
00:06:41.309.mp4,0,1,106.90014490950978
00:06:29.647.mp4,1,0,104.81736951828893
00:03:56.751.mp4,3,0,113.93634718483337
00:03:57.024.mp4,0,1,121.51184285431876
00:08:29.506.mp4,0,1,120.53915330769205
00:04:09.367.mp4,0,2,122.51689624361198
00:01:18.633.mp4,0,1,121.02471923442937
00:03:45.470.mp4,1,0,123.7019312811943
00:02:22.882.mp4,0,1,115.63854821566574
00:20:47.501.mp4,0,0,114.28524969733392
00:04:41.671.mp4,0,3,121.00151712320225
00:17:09.138.mp4,1,1,117.9326092718996
00:15:30.421.mp4,1,1,118.04325489708076
00:01:06.501.mp4,1,0,112.33397146469709
00:04:18.881.mp4,1,0,106.83654464765723
00:04:33.174.mp4,0,0,99.41447129449284
00:04:28.936.mp4,2,0,98.9281202779961
00:05:42.581.mp4,0,3,96.13898681822312
00:05:28.371.mp4,2,0,100.53887207085465
00:02:56.135.mp4,1,0,103.52046473306523
00:03:12.339.mp4,0,2,116.80286181676989
00:10:06.540.mp4,2,5,115.96407054651935
00:16:51.490.mp4,0,1,113.44692397023434
00:07:29.492.mp4,3,0,116.68348729064117
00:09:56.904.mp4,1,1,106.69805710165434
00:10:27.030.mp4,4,6,107.1267024400906
00:12:52.070.mp4,1,0,124.86141388264767
00:12:21.225.mp4,1,0,130.90236241495086
00:10:54.742.mp4,2,7,133.61165541532714
00:16:21.036.mp4,1,0,120.45107648101374
00:07:53.511.mp4,0,7,125.40731491141493
00:14:41.820.mp4,0,1,104.80387947168931
00:09:19.676.mp4,0,9,105.9618652771605
00:08:51.004.mp4,7,1,125.52211243525602
00:20:19.787.mp4,0,1,131.93868466261267
00:17:57.644.mp4,1,5,131.74788706754111
00:14:54.399.mp4,5,1,119.12157098019784
00:19:27.559.mp4,11,6,132.8997803406725
00:16:54.613.mp4,1,3,133.07500391732407
