File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,78.4253624388289
00:09:34.084.mp4,0,2,76.58792403288379
00:17:10.535.mp4,1,2,49.25311067910607
00:12:19.952.mp4,0,3,63.96080112176968
00:09:38.088.mp4,12,0,72.59278411335617
00:15:44.934.mp4,1,1,76.13057319035293
00:12:29.397.mp4,4,10,51.73927869064627
00:11:21.904.mp4,1,1,74.59649672064845
00:10:39.642.mp4,0,0,77.39945500271331
00:01:56.787.mp4,1,0,72.66709733374539
00:10:57.095.mp4,3,1,75.09989488952932
00:00:54.431.mp4,0,2,79.59084508066776
00:11:40.728.mp4,4,1,75.09186578999753
00:02:06.019.mp4,0,1,79.03742284307414
00:01:18.718.mp4,0,2,79.43437609939268
00:00:40.515.mp4,0,2,74.92996566300353
00:01:08.637.mp4,1,0,80.48529995926849
00:03:14.557.mp4,3,1,77.6457981270942
00:03:24.590.mp4,0,2,76.32547904525885
00:10:18.376.mp4,1,2,73.99497772109083
00:21:04.004.mp4,3,0,69.93493732388684
00:14:57.864.mp4,0,3,74.08591128669804
00:01:43.464.mp4,1,2,77.71374061596276
00:09:14.543.mp4,4,2,76.06954603497734
00:00:44.976.mp4,2,1,81.16221935926518
00:20:31.154.mp4,2,1,73.94136956844157
00:10:31.171.mp4,2,2,72.69948314073432
00:00:30.442.mp4,2,0,75.53337820915094
00:02:45.437.mp4,4,1,76.07016364207085
00:01:35.018.mp4,3,0,79.21130730172295
00:02:56.377.mp4,0,5,77.74263889392019
00:07:23.982.mp4,1,2,76.17226862890038
00:07:13.094.mp4,2,0,80.66610519539866
00:13:57.166.mp4,2,1,72.25093328013897
00:01:33.260.mp4,5,0,75.92321006633304
00:01:46.723.mp4,0,2,78.72751254549532
00:12:35.997.mp4,4,0,74.90086105445063
00:02:09.862.mp4,2,0,80.20597457613735
00:08:16.887.mp4,1,1,69.90581641182757
00:06:41.309.mp4,0,1,81.32883834301823
00:06:29.647.mp4,4,1,80.0791142783564
00:03:56.751.mp4,3,0,72.53364924583666
00:03:57.024.mp4,0,2,73.60691663874931
00:08:29.506.mp4,0,4,74.49385218107253
00:04:09.367.mp4,0,4,75.51301924475557
00:01:18.633.mp4,0,3,79.31898166054626
00:03:45.470.mp4,2,0,80.33005159011213
00:02:22.882.mp4,0,1,82.6477781839422
00:20:47.501.mp4,2,1,72.9712551177839
00:04:41.671.mp4,1,5,64.2259329045113
00:17:09.138.mp4,1,1,75.93955288227265
00:15:30.421.mp4,2,1,78.74524559131805
00:01:06.501.mp4,3,0,80.49842675178776
00:04:18.881.mp4,5,0,78.75502691771948
00:04:33.174.mp4,0,5,80.9894908594131
00:04:28.936.mp4,6,0,66.62567350660582
00:05:42.581.mp4,1,5,76.75744871099845
00:05:28.371.mp4,4,0,78.28974355500016
00:02:56.135.mp4,5,0,72.2261024361977
00:03:12.339.mp4,0,5,82.2347555034866
00:10:06.540.mp4,5,15,63.56932015265377
00:16:51.490.mp4,0,5,77.9636278719974
00:07:29.492.mp4,15,1,66.43078666794483
00:09:56.904.mp4,5,2,73.9747711503724
00:10:27.030.mp4,15,12,64.95558564366814
00:12:52.070.mp4,5,6,62.51551321092611
00:12:21.225.mp4,8,0,72.69349784927589
00:10:54.742.mp4,8,12,64.86451890664087
00:16:21.036.mp4,1,0,80.1380016106112
00:07:53.511.mp4,3,19,67.84151989741608
00:14:41.820.mp4,1,2,78.74979264428251
00:09:19.676.mp4,3,28,66.5301323669269
00:08:51.004.mp4,15,5,71.07097902516878
00:20:19.787.mp4,4,6,74.62196189357702
00:17:57.644.mp4,3,15,73.77795818555516
00:14:54.399.mp4,10,4,71.16132024199769
00:19:27.559.mp4,28,18,74.30441941181469
00:16:54.613.mp4,6,25,74.97132479661724
