File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,85.8510603098718
00:09:34.084.mp4,0,1,89.64563504429083
00:17:10.535.mp4,0,0,91.4458890702017
00:12:19.952.mp4,0,1,95.1558309598835
00:09:38.088.mp4,0,0,90.77043292498364
00:15:44.934.mp4,1,1,92.16510448529375
00:12:29.397.mp4,0,0,92.76560357411421
00:11:21.904.mp4,0,1,93.33832774801222
00:10:39.642.mp4,0,0,91.65344500999271
00:01:56.787.mp4,0,0,93.65999137292725
00:10:57.095.mp4,1,0,91.78493628864726
00:00:54.431.mp4,0,1,92.70977773386139
00:11:40.728.mp4,1,0,91.90549477732074
00:02:06.019.mp4,0,0,91.77409384440824
00:01:18.718.mp4,0,1,93.55844340153683
00:00:40.515.mp4,0,1,92.40809743437174
00:01:08.637.mp4,1,0,92.8037104710451
00:03:14.557.mp4,1,0,92.22584585079346
00:03:24.590.mp4,0,1,90.12602769224111
00:10:18.376.mp4,1,1,92.50260845933357
00:21:04.004.mp4,0,0,91.56783355497365
00:14:57.864.mp4,0,1,92.70283919691269
00:01:43.464.mp4,0,1,92.38462892740023
00:09:14.543.mp4,1,1,91.50372800822426
00:00:44.976.mp4,1,0,92.13234192663029
00:20:31.154.mp4,0,0,93.34767266414161
00:10:31.171.mp4,1,0,92.1172035747019
00:00:30.442.mp4,1,0,91.67035499162614
00:02:45.437.mp4,1,0,91.08239061981484
00:01:35.018.mp4,0,0,90.50679026906633
00:02:56.377.mp4,0,2,89.10391222272045
00:07:23.982.mp4,0,0,92.23915899381517
00:07:13.094.mp4,0,0,92.43570293157946
00:13:57.166.mp4,0,0,95.83788783603644
00:01:33.260.mp4,1,0,92.07542090394747
00:01:46.723.mp4,0,0,91.13568477014523
00:12:35.997.mp4,0,0,94.3364491830394
00:02:09.862.mp4,1,0,91.22394214402482
00:08:16.887.mp4,0,0,92.6585429502495
00:06:41.309.mp4,0,0,94.12304306669256
00:06:29.647.mp4,0,0,92.52455778843212
00:03:56.751.mp4,2,0,90.8745804082126
00:03:57.024.mp4,0,0,92.61017236428148
00:08:29.506.mp4,0,0,93.74428884987198
00:04:09.367.mp4,0,1,89.41895528828421
00:01:18.633.mp4,0,1,83.57316154007047
00:03:45.470.mp4,1,0,92.72708749019962
00:02:22.882.mp4,0,1,92.34388452133481
00:20:47.501.mp4,0,0,93.75770029381567
00:04:41.671.mp4,0,3,91.4390077113859
00:17:09.138.mp4,0,0,91.44454166816605
00:15:30.421.mp4,1,1,91.58382418464389
00:01:06.501.mp4,1,0,91.04602938135596
00:04:18.881.mp4,0,0,91.34860095840595
00:04:33.174.mp4,0,0,92.4534550762008
00:04:28.936.mp4,2,0,92.25539840095612
00:05:42.581.mp4,0,1,92.52719221905942
00:05:28.371.mp4,2,0,92.11709498370035
00:02:56.135.mp4,1,0,92.47965607093745
00:03:12.339.mp4,0,0,90.7110303970463
00:10:06.540.mp4,1,1,91.95382698574318
00:16:51.490.mp4,0,1,93.25949898331389
00:07:29.492.mp4,2,0,92.01844330740144
00:09:56.904.mp4,0,0,91.6267954127304
00:10:27.030.mp4,3,4,92.13942209131577
00:12:52.070.mp4,0,0,89.68872378976859
00:12:21.225.mp4,0,0,105.2097316362693
00:10:54.742.mp4,2,1,93.42346656211289
00:16:21.036.mp4,1,0,95.21322255153036
00:07:53.511.mp4,0,0,92.85567016527871
00:14:41.820.mp4,0,1,93.72107148861618
00:09:19.676.mp4,0,0,94.71306293397272
00:08:51.004.mp4,3,0,94.40567319233766
00:20:19.787.mp4,0,0,96.06881123474987
00:17:57.644.mp4,1,1,95.40197311193275
00:14:54.399.mp4,0,0,95.77288811912842
00:19:27.559.mp4,3,3,95.73270960746605
00:16:54.613.mp4,0,1,95.19756008343602
