File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,29.297921264185923
00:09:34.084.mp4,0,1,29.903326497027653
00:17:10.535.mp4,2,0,29.738072467216124
00:12:19.952.mp4,0,1,29.898636972523637
00:09:38.088.mp4,2,0,29.85134995612249
00:15:44.934.mp4,1,1,30.044151087345316
00:12:29.397.mp4,0,3,29.633441849219576
00:11:21.904.mp4,1,3,30.113367061110807
00:10:39.642.mp4,0,0,29.79445137438405
00:01:56.787.mp4,1,0,29.904811758709517
00:10:57.095.mp4,1,1,29.903244880046483
00:00:54.431.mp4,0,1,29.641199133835528
00:11:40.728.mp4,1,1,29.291755942694458
00:02:06.019.mp4,0,1,29.758739284826095
00:01:18.718.mp4,0,1,29.814758232889734
00:00:40.515.mp4,0,1,29.909250849549625
00:01:08.637.mp4,1,0,29.669739637832436
00:03:14.557.mp4,2,0,29.91779342561903
00:03:24.590.mp4,0,2,29.797003177455274
00:10:18.376.mp4,0,1,29.88104369930745
00:21:04.004.mp4,1,0,29.628406102190066
00:14:57.864.mp4,0,1,30.089651273893725
00:01:43.464.mp4,0,1,29.793257287796298
00:09:14.543.mp4,1,1,29.968470833070864
00:00:44.976.mp4,1,0,29.727334537344074
00:20:31.154.mp4,0,1,29.566532061229108
00:10:31.171.mp4,1,2,29.964612664244985
00:00:30.442.mp4,1,0,30.0223533909609
00:02:45.437.mp4,2,0,29.808192400433125
00:01:35.018.mp4,1,0,30.01664202133465
00:02:56.377.mp4,0,2,29.887602120607497
00:07:23.982.mp4,0,2,30.141901716937582
00:07:13.094.mp4,1,0,29.81917610163185
00:13:57.166.mp4,0,1,30.025026337976914
00:01:33.260.mp4,1,0,29.777603628755525
00:01:46.723.mp4,0,1,30.211321577270894
00:12:35.997.mp4,1,0,30.159097567703146
00:02:09.862.mp4,1,0,29.86862629379536
00:08:16.887.mp4,3,0,30.05049620675736
00:06:41.309.mp4,0,1,29.972974552195932
00:06:29.647.mp4,1,0,29.926323664663645
00:03:56.751.mp4,3,0,29.897653975385243
00:03:57.024.mp4,0,2,29.782312420353616
00:08:29.506.mp4,0,3,30.10657186235226
00:04:09.367.mp4,0,3,30.068755075210994
00:01:18.633.mp4,0,1,30.052320581605226
00:03:45.470.mp4,1,0,29.931750943952167
00:02:22.882.mp4,0,1,30.023282173480858
00:20:47.501.mp4,1,0,29.701380313067162
00:04:41.671.mp4,0,3,29.918924328220918
00:17:09.138.mp4,1,1,30.323262136127617
00:15:30.421.mp4,1,1,29.243989369073372
00:01:06.501.mp4,1,0,29.271337643876233
00:04:18.881.mp4,2,0,28.849522487071212
00:04:33.174.mp4,0,2,29.810293162521504
00:04:28.936.mp4,4,0,30.040703027046597
00:05:42.581.mp4,0,4,29.91168648090796
00:05:28.371.mp4,3,0,29.454843212016584
00:02:56.135.mp4,2,0,29.447690429684265
00:03:12.339.mp4,0,2,26.197743561010096
00:10:06.540.mp4,4,4,28.92316762963927
00:16:51.490.mp4,0,1,23.014483057130473
00:07:29.492.mp4,10,0,24.409171006222103
00:09:56.904.mp4,0,1,26.516382097123447
00:10:27.030.mp4,6,8,24.425320390351555
00:12:52.070.mp4,5,3,26.71657069662871
00:12:21.225.mp4,2,0,25.71786160833804
00:10:54.742.mp4,3,6,26.262332121760203
00:16:21.036.mp4,1,0,26.650900864072202
00:07:53.511.mp4,0,8,26.092553173853865
00:14:41.820.mp4,0,0,29.480771735528496
00:09:19.676.mp4,1,12,29.88943650565798
00:08:51.004.mp4,6,0,29.952225523018683
00:20:19.787.mp4,0,0,29.777798877910044
00:17:57.644.mp4,1,6,29.887261688376366
00:14:54.399.mp4,5,4,29.908964465989218
00:19:27.559.mp4,8,7,29.145281605496525
00:16:54.613.mp4,4,12,28.30803450666934
