File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,27.177402903728208
00:09:34.084.mp4,0,0,27.816256489928175
00:17:10.535.mp4,1,0,27.38349235567943
00:12:19.952.mp4,0,1,27.73965380903041
00:09:38.088.mp4,2,0,27.64330150407668
00:15:44.934.mp4,1,1,27.619385177386867
00:12:29.397.mp4,0,5,27.3699825362313
00:11:21.904.mp4,0,1,27.72958092855905
00:10:39.642.mp4,1,0,27.58669711303603
00:01:56.787.mp4,1,0,27.380796756667195
00:10:57.095.mp4,1,1,27.681295038590807
00:00:54.431.mp4,0,1,27.383319757280635
00:11:40.728.mp4,1,1,27.713263517716197
00:02:06.019.mp4,0,1,27.689691568069158
00:01:18.718.mp4,0,1,27.671259213690497
00:00:40.515.mp4,0,1,27.59740207935541
00:01:08.637.mp4,1,0,27.490646359495273
00:03:14.557.mp4,2,0,27.63741860481535
00:03:24.590.mp4,0,2,27.299836900419567
00:10:18.376.mp4,0,1,27.589698249954132
00:21:04.004.mp4,0,0,27.34945891014325
00:14:57.864.mp4,0,1,27.71572494257732
00:01:43.464.mp4,0,1,27.524652584405807
00:09:14.543.mp4,1,1,27.75455601096709
00:00:44.976.mp4,1,0,27.349214314453114
00:20:31.154.mp4,1,1,27.41449648345305
00:10:31.171.mp4,1,2,27.7082351360022
00:00:30.442.mp4,1,0,27.537938149713305
00:02:45.437.mp4,2,0,27.580215329300817
00:01:35.018.mp4,0,0,27.605859523891656
00:02:56.377.mp4,0,2,27.50531832665732
00:07:23.982.mp4,0,1,27.56432750271094
00:07:13.094.mp4,1,0,27.683226392689058
00:13:57.166.mp4,0,1,27.585812766809976
00:01:33.260.mp4,1,0,27.505162692231664
00:01:46.723.mp4,0,1,27.552859423993283
00:12:35.997.mp4,1,0,27.201981891473718
00:02:09.862.mp4,1,0,26.577276091438787
00:08:16.887.mp4,3,0,27.27326922843451
00:06:41.309.mp4,0,1,27.649338585762955
00:06:29.647.mp4,1,0,27.52703324317488
00:03:56.751.mp4,3,0,27.44185148397984
00:03:57.024.mp4,0,1,27.50303492881525
00:08:29.506.mp4,0,1,27.61572022937641
00:04:09.367.mp4,0,2,27.625699974496708
00:01:18.633.mp4,0,1,27.720358823338287
00:03:45.470.mp4,1,0,27.648589456316962
00:02:22.882.mp4,0,1,27.702819341377317
00:20:47.501.mp4,0,0,27.285904254138387
00:04:41.671.mp4,0,4,27.483818847815883
00:17:09.138.mp4,0,1,27.666630842470024
00:15:30.421.mp4,1,1,27.592869373436137
00:01:06.501.mp4,1,0,27.59121033046778
00:04:18.881.mp4,1,0,27.746965727607854
00:04:33.174.mp4,0,1,27.652376734611327
00:04:28.936.mp4,4,0,27.52904968240682
00:05:42.581.mp4,0,3,27.567076952106202
00:05:28.371.mp4,2,0,26.14150151840465
00:02:56.135.mp4,1,0,25.677199600960453
00:03:12.339.mp4,0,2,26.48828670139184
00:10:06.540.mp4,3,6,25.593046559057207
00:16:51.490.mp4,0,1,25.60459602174458
00:07:29.492.mp4,5,0,27.22917864525047
00:09:56.904.mp4,1,1,27.59947051495893
00:10:27.030.mp4,5,7,27.323432272739694
00:12:52.070.mp4,0,0,27.34020560900934
00:12:21.225.mp4,1,0,27.358256395771733
00:10:54.742.mp4,4,7,27.367063821473447
00:16:21.036.mp4,1,0,27.705304558477582
00:07:53.511.mp4,0,8,27.511844713200848
00:14:41.820.mp4,0,1,27.63737008392693
00:09:19.676.mp4,0,12,27.533082190113205
00:08:51.004.mp4,9,2,27.431854579690185
00:20:19.787.mp4,1,3,27.322236453334995
00:17:57.644.mp4,2,5,27.442820062908094
00:14:54.399.mp4,6,3,27.423851530620702
00:19:27.559.mp4,10,9,27.368259265750588
00:16:54.613.mp4,2,11,27.48208609069711
