File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,56.25862006024556
00:09:34.084.mp4,0,1,58.69423165061362
00:17:10.535.mp4,0,0,58.24957783715804
00:12:19.952.mp4,0,1,63.679348981264994
00:09:38.088.mp4,0,0,59.820889900239315
00:15:44.934.mp4,1,1,58.26621800309582
00:12:29.397.mp4,0,0,60.96334325035158
00:11:21.904.mp4,0,1,58.643035705299575
00:10:39.642.mp4,0,0,59.2004082821744
00:01:56.787.mp4,0,0,58.754115664286864
00:10:57.095.mp4,1,0,58.46013179755361
00:00:54.431.mp4,0,1,50.608874416922674
00:11:40.728.mp4,1,0,51.70418735759471
00:02:06.019.mp4,0,0,59.43588200361251
00:01:18.718.mp4,0,1,58.36874209367403
00:00:40.515.mp4,0,1,58.777487120584425
00:01:08.637.mp4,1,0,54.60948737548042
00:03:14.557.mp4,1,0,57.483335338519275
00:03:24.590.mp4,0,1,57.81687494193046
00:10:18.376.mp4,1,0,58.00299717382984
00:21:04.004.mp4,0,0,62.49497011462824
00:14:57.864.mp4,0,1,57.687342575418555
00:01:43.464.mp4,0,1,58.73115134480801
00:09:14.543.mp4,1,1,58.4543028397702
00:00:44.976.mp4,1,0,58.20949465949461
00:20:31.154.mp4,0,0,59.017074419566455
00:10:31.171.mp4,1,1,56.21150881425774
00:00:30.442.mp4,1,0,59.46419736141728
00:02:45.437.mp4,1,0,59.20748725045338
00:01:35.018.mp4,0,0,56.465608176048505
00:02:56.377.mp4,0,2,58.677379464054816
00:07:23.982.mp4,0,0,59.82848824467765
00:07:13.094.mp4,0,0,59.047632630715704
00:13:57.166.mp4,0,1,60.02734843382089
00:01:33.260.mp4,1,0,58.39502481600448
00:01:46.723.mp4,0,0,58.168602354909424
00:12:35.997.mp4,0,0,62.0250476198699
00:02:09.862.mp4,1,0,58.907588854745406
00:08:16.887.mp4,0,0,59.91658049496107
00:06:41.309.mp4,0,0,59.9142131655567
00:06:29.647.mp4,0,0,58.13004019712385
00:03:56.751.mp4,2,0,58.121174634328234
00:03:57.024.mp4,0,0,59.98956586153073
00:08:29.506.mp4,0,0,59.92236847717626
00:04:09.367.mp4,0,1,58.71505430541243
00:01:18.633.mp4,0,1,59.46871899826021
00:03:45.470.mp4,1,0,59.744719280234825
00:02:22.882.mp4,0,1,59.40798088892504
00:20:47.501.mp4,0,0,60.11427386057441
00:04:41.671.mp4,0,2,57.96107005601083
00:17:09.138.mp4,0,0,58.81570313493043
00:15:30.421.mp4,1,1,58.874463814507095
00:01:06.501.mp4,1,0,58.29616978999209
00:04:18.881.mp4,0,0,58.08520836344499
00:04:33.174.mp4,0,0,59.25963392873952
00:04:28.936.mp4,2,0,59.116562312807595
00:05:42.581.mp4,0,1,59.415919668703154
00:05:28.371.mp4,2,0,60.08443830797264
00:02:56.135.mp4,1,0,59.541351458199635
00:03:12.339.mp4,0,0,60.23647859662116
00:10:06.540.mp4,2,0,59.192733352339886
00:16:51.490.mp4,0,1,60.939205497271686
00:07:29.492.mp4,2,0,58.25493311298711
00:09:56.904.mp4,0,0,58.427274945546955
00:10:27.030.mp4,3,5,58.75557530170605
00:12:52.070.mp4,0,0,56.81028152757215
00:12:21.225.mp4,0,0,71.26372482709242
00:10:54.742.mp4,2,1,60.59459555533842
00:16:21.036.mp4,1,0,61.295723952846934
00:07:53.511.mp4,0,0,61.393191181217844
00:14:41.820.mp4,0,1,59.39094407092491
00:09:19.676.mp4,0,1,62.11887809587611
00:08:51.004.mp4,3,0,60.64757856802013
00:20:19.787.mp4,0,0,62.98333243873949
00:17:57.644.mp4,1,1,61.427903644834394
00:14:54.399.mp4,0,0,62.21227184769279
00:19:27.559.mp4,3,3,59.736320676183354
00:16:54.613.mp4,0,1,61.64736098087559
