File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,31.11103423473686
00:09:34.084.mp4,0,0,31.958355979404924
00:17:10.535.mp4,0,0,32.79434649972699
00:12:19.952.mp4,0,0,33.971492962216956
00:09:38.088.mp4,1,0,34.38410442526731
00:15:44.934.mp4,1,1,33.530860960981016
00:12:29.397.mp4,0,3,34.87345824318029
00:11:21.904.mp4,1,0,33.66695322764569
00:10:39.642.mp4,0,0,34.60885802555604
00:01:56.787.mp4,1,0,32.97787128955372
00:10:57.095.mp4,0,1,34.25923835047585
00:00:54.431.mp4,0,0,34.41231416842069
00:11:40.728.mp4,0,1,34.72711363650163
00:02:06.019.mp4,0,1,34.760921768900026
00:01:18.718.mp4,0,1,34.79015302519926
00:00:40.515.mp4,0,1,34.8855901943556
00:01:08.637.mp4,1,0,35.47472495295176
00:03:14.557.mp4,1,0,32.57720790966943
00:03:24.590.mp4,0,1,34.263836320067995
00:10:18.376.mp4,0,0,32.78063603930659
00:21:04.004.mp4,0,0,32.395132137946845
00:14:57.864.mp4,0,1,34.22437524150686
00:01:43.464.mp4,0,0,33.771979086691566
00:09:14.543.mp4,0,1,34.33924779965027
00:00:44.976.mp4,0,0,33.13807825695834
00:20:31.154.mp4,0,0,33.72906891652449
00:10:31.171.mp4,0,0,33.20271019377984
00:00:30.442.mp4,1,0,31.304493789984978
00:02:45.437.mp4,1,0,31.88487866615295
00:01:35.018.mp4,0,0,30.22131012183894
00:02:56.377.mp4,0,1,32.955519219025255
00:07:23.982.mp4,0,1,34.16279175207042
00:07:13.094.mp4,1,0,32.94735894940146
00:13:57.166.mp4,0,1,33.18700252699675
00:01:33.260.mp4,0,0,33.93336600660911
00:01:46.723.mp4,0,0,33.698635860106926
00:12:35.997.mp4,0,0,34.85546843102866
00:02:09.862.mp4,1,0,34.46817270047082
00:08:16.887.mp4,1,0,33.77938761775975
00:06:41.309.mp4,0,0,33.26503654007678
00:06:29.647.mp4,0,0,35.27028701882679
00:03:56.751.mp4,1,0,34.261180882734806
00:03:57.024.mp4,0,1,33.45450629039034
00:08:29.506.mp4,0,1,33.96710313246366
00:04:09.367.mp4,0,3,34.91892468115186
00:01:18.633.mp4,0,1,33.10625323015419
00:03:45.470.mp4,1,0,34.50575331861054
00:02:22.882.mp4,0,0,32.95329238082085
00:20:47.501.mp4,0,0,32.92956209725528
00:04:41.671.mp4,0,3,32.282480165312435
00:17:09.138.mp4,1,1,33.14152424396774
00:15:30.421.mp4,0,0,34.846802327272
00:01:06.501.mp4,0,0,34.84822789267065
00:04:18.881.mp4,2,0,35.54009517018969
00:04:33.174.mp4,0,0,35.76947307406936
00:04:28.936.mp4,1,0,35.08959555179996
00:05:42.581.mp4,0,2,35.11085984677196
00:05:28.371.mp4,0,0,34.413982129170314
00:02:56.135.mp4,1,0,34.14315992982776
00:03:12.339.mp4,0,0,33.931240891042165
00:10:06.540.mp4,2,2,34.95710500849103
00:16:51.490.mp4,0,0,35.25952078636252
00:07:29.492.mp4,5,0,32.385205006750624
00:09:56.904.mp4,0,1,33.10484011180434
00:10:27.030.mp4,1,4,33.363487604801094
00:12:52.070.mp4,0,0,35.22837643730435
00:12:21.225.mp4,1,0,35.80727018033087
00:10:54.742.mp4,3,1,35.239403290161924
00:16:21.036.mp4,0,0,35.341500134417785
00:07:53.511.mp4,0,5,34.70731247263082
00:14:41.820.mp4,0,1,33.99253272547342
00:09:19.676.mp4,0,4,31.47989346039076
00:08:51.004.mp4,5,0,34.94849175046292
00:20:19.787.mp4,1,0,32.422791051328005
00:17:57.644.mp4,1,1,35.08955870629798
00:14:54.399.mp4,3,1,34.45356801707795
00:19:27.559.mp4,1,5,34.043201554467295
00:16:54.613.mp4,1,0,35.13881779932409
