File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,26.124668832380944
00:09:34.084.mp4,0,1,27.04937278862518
00:17:10.535.mp4,1,0,26.915905123070413
00:12:19.952.mp4,0,1,26.450301228218557
00:09:38.088.mp4,5,0,24.58908137023667
00:15:44.934.mp4,0,1,24.065782675424717
00:12:29.397.mp4,0,6,23.968276565961403
00:11:21.904.mp4,1,4,23.906781575363574
00:10:39.642.mp4,1,0,24.07544482025403
00:01:56.787.mp4,1,0,24.786679099583175
00:10:57.095.mp4,0,1,25.586939959352083
00:00:54.431.mp4,0,1,24.9953617428908
00:11:40.728.mp4,0,2,25.591672848420767
00:02:06.019.mp4,0,1,24.109530659338773
00:01:18.718.mp4,0,1,23.86813084855366
00:00:40.515.mp4,0,1,21.314981541070836
00:01:08.637.mp4,0,0,23.780371567809134
00:03:14.557.mp4,1,0,24.242878731865165
00:03:24.590.mp4,0,1,25.028384678178583
00:10:18.376.mp4,1,1,27.37719675583919
00:21:04.004.mp4,0,0,27.248027429396373
00:14:57.864.mp4,0,1,26.331390202685004
00:01:43.464.mp4,0,0,26.030309816986158
00:09:14.543.mp4,1,0,26.597488649980153
00:00:44.976.mp4,0,0,26.17524088200975
00:20:31.154.mp4,0,1,27.012612916142587
00:10:31.171.mp4,1,1,27.274968993526834
00:00:30.442.mp4,0,0,27.70346832534484
00:02:45.437.mp4,1,0,21.877845874413588
00:01:35.018.mp4,0,0,22.297067209246258
00:02:56.377.mp4,0,2,26.089987620717356
00:07:23.982.mp4,0,1,27.479200305136455
00:07:13.094.mp4,1,0,24.165535256364695
00:13:57.166.mp4,0,1,24.817468355577855
00:01:33.260.mp4,1,0,24.833706890232687
00:01:46.723.mp4,0,1,24.817791996591794
00:12:35.997.mp4,1,0,24.578088922881815
00:02:09.862.mp4,0,0,24.75055341733699
00:08:16.887.mp4,3,0,24.75788687678365
00:06:41.309.mp4,0,1,24.65986586657005
00:06:29.647.mp4,1,0,24.553258104624383
00:03:56.751.mp4,1,0,24.045237924357927
00:03:57.024.mp4,0,1,24.02691516672824
00:08:29.506.mp4,0,3,23.970758978830524
00:04:09.367.mp4,0,2,24.09765569720769
00:01:18.633.mp4,0,1,24.234979295466772
00:03:45.470.mp4,1,0,23.66603442802334
00:02:22.882.mp4,0,1,24.253898123628097
00:20:47.501.mp4,0,0,23.342991751638795
00:04:41.671.mp4,0,3,21.89751952303226
00:17:09.138.mp4,0,0,21.800029231925908
00:15:30.421.mp4,1,1,24.496340471454317
00:01:06.501.mp4,1,0,24.902579222129592
00:04:18.881.mp4,2,0,24.81171459274793
00:04:33.174.mp4,0,2,24.296233967128575
00:04:28.936.mp4,3,0,24.389118942066784
00:05:42.581.mp4,0,3,24.960884155850277
00:05:28.371.mp4,2,0,24.519709671142696
00:02:56.135.mp4,1,0,24.62679946695211
00:03:12.339.mp4,0,1,24.756679124170525
00:10:06.540.mp4,2,3,24.16342964852516
00:16:51.490.mp4,0,1,24.338647743080067
00:07:29.492.mp4,10,0,24.591539384548682
00:09:56.904.mp4,0,0,24.528964064511605
00:10:27.030.mp4,4,6,24.487405603598255
00:12:52.070.mp4,4,11,24.344011338581325
00:12:21.225.mp4,3,0,24.27244901052111
00:10:54.742.mp4,3,7,24.396303258159733
00:16:21.036.mp4,1,0,24.343310606046924
00:07:53.511.mp4,0,11,24.163376575279543
00:14:41.820.mp4,0,2,23.230505377311637
00:09:19.676.mp4,1,9,18.101750912537238
00:08:51.004.mp4,8,0,19.727360778939225
00:20:19.787.mp4,2,10,19.7927502978111
00:17:57.644.mp4,1,8,20.539515308727996
00:14:54.399.mp4,7,4,23.875880728297
00:19:27.559.mp4,9,6,22.86052043329369
00:16:54.613.mp4,4,16,22.619728413903
