File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,31.509366281819158
00:09:34.084.mp4,0,0,32.37323692141208
00:17:10.535.mp4,1,0,31.959326996347766
00:12:19.952.mp4,0,1,31.52559001395633
00:09:38.088.mp4,5,0,31.353795295363494
00:15:44.934.mp4,0,1,30.83769586021339
00:12:29.397.mp4,0,4,31.379543610938246
00:11:21.904.mp4,2,2,31.99522563810595
00:10:39.642.mp4,0,0,31.39288333172448
00:01:56.787.mp4,0,0,31.874195682324643
00:10:57.095.mp4,0,1,31.954607375422427
00:00:54.431.mp4,0,1,31.55026300706279
00:11:40.728.mp4,1,0,31.407649806263088
00:02:06.019.mp4,0,1,31.039516456394797
00:01:18.718.mp4,0,0,31.56098011820687
00:00:40.515.mp4,0,0,31.138425386034633
00:01:08.637.mp4,0,0,31.30773415161448
00:03:14.557.mp4,2,0,31.23046263059018
00:03:24.590.mp4,0,2,31.153825113241275
00:10:18.376.mp4,0,0,31.500054872900662
00:21:04.004.mp4,1,0,31.18096634629066
00:14:57.864.mp4,0,0,31.71863762329597
00:01:43.464.mp4,0,1,31.63502336284225
00:09:14.543.mp4,1,0,31.318335246952348
00:00:44.976.mp4,1,0,31.91474365593969
00:20:31.154.mp4,0,1,31.80233643573166
00:10:31.171.mp4,1,1,31.847913643031973
00:00:30.442.mp4,0,0,31.223268346310658
00:02:45.437.mp4,1,0,31.902423340235877
00:01:35.018.mp4,1,0,30.072105672287133
00:02:56.377.mp4,0,2,28.002309859260293
00:07:23.982.mp4,0,1,29.486452628639036
00:07:13.094.mp4,1,0,31.324854178958454
00:13:57.166.mp4,1,1,32.5361489796443
00:01:33.260.mp4,1,0,32.132049445310855
00:01:46.723.mp4,0,0,32.18546335190317
00:12:35.997.mp4,1,0,30.94846299969218
00:02:09.862.mp4,0,0,32.09399891633888
00:08:16.887.mp4,2,0,30.450109064767968
00:06:41.309.mp4,0,0,32.17314081165153
00:06:29.647.mp4,1,0,31.752241576313057
00:03:56.751.mp4,1,0,31.410746728880074
00:03:57.024.mp4,0,1,30.879258653955244
00:08:29.506.mp4,0,1,31.586226674200883
00:04:09.367.mp4,0,2,31.129759065840723
00:01:18.633.mp4,0,0,31.062423239204318
00:03:45.470.mp4,1,0,30.670136069466487
00:02:22.882.mp4,0,1,30.777632712485048
00:20:47.501.mp4,0,0,30.98701790888154
00:04:41.671.mp4,0,4,30.900507276212455
00:17:09.138.mp4,0,0,31.189559137044423
00:15:30.421.mp4,1,1,31.107966333957414
00:01:06.501.mp4,1,0,29.872845554269247
00:04:18.881.mp4,1,0,30.58274385008025
00:04:33.174.mp4,0,2,31.128578745504928
00:04:28.936.mp4,2,0,30.77465101212622
00:05:42.581.mp4,0,3,31.118661599047243
00:05:28.371.mp4,1,0,31.046070768184737
00:02:56.135.mp4,2,0,31.046072752787907
00:03:12.339.mp4,0,2,31.02453865465253
00:10:06.540.mp4,4,4,31.525568449075983
00:16:51.490.mp4,0,0,31.816671845301908
00:07:29.492.mp4,6,1,31.392425211539535
00:09:56.904.mp4,1,0,31.970723926566436
00:10:27.030.mp4,6,6,31.423466842690402
00:12:52.070.mp4,4,4,31.453905542959685
00:12:21.225.mp4,1,0,31.805093012147065
00:10:54.742.mp4,3,4,31.768116235671584
00:16:21.036.mp4,1,0,31.544345758025703
00:07:53.511.mp4,0,8,30.686058263230283
00:14:41.820.mp4,0,2,31.834159509344268
00:09:19.676.mp4,1,7,31.000277486252756
00:08:51.004.mp4,6,1,31.309272168431043
00:20:19.787.mp4,1,10,30.735363131418968
00:17:57.644.mp4,1,5,31.247508961416703
00:14:54.399.mp4,3,2,31.773423982393975
00:19:27.559.mp4,9,7,31.743814545853336
00:16:54.613.mp4,7,7,33.54827318476238
