File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,21.416418495772223
00:09:34.084.mp4,0,0,23.129341736581534
00:17:10.535.mp4,2,0,22.649506599227212
00:12:19.952.mp4,0,1,22.459776975806758
00:09:38.088.mp4,5,0,21.835579816873086
00:15:44.934.mp4,0,1,21.806727045285758
00:12:29.397.mp4,0,4,21.593007462911412
00:11:21.904.mp4,0,0,21.661492016725123
00:10:39.642.mp4,1,0,21.74972160016266
00:01:56.787.mp4,0,0,22.451373023711962
00:10:57.095.mp4,1,0,22.630008947257497
00:00:54.431.mp4,0,1,22.555785312483376
00:11:40.728.mp4,1,0,23.60592998315512
00:02:06.019.mp4,0,1,24.902812622860615
00:01:18.718.mp4,0,1,25.13392413276862
00:00:40.515.mp4,0,1,24.909591305873374
00:01:08.637.mp4,0,0,23.654610205544987
00:03:14.557.mp4,1,0,24.277775403896886
00:03:24.590.mp4,0,1,21.704713326470298
00:10:18.376.mp4,0,0,22.76276833709127
00:21:04.004.mp4,1,1,20.594359404574035
00:14:57.864.mp4,0,1,19.863994838392518
00:01:43.464.mp4,0,1,21.268769957495156
00:09:14.543.mp4,1,0,18.587683145055077
00:00:44.976.mp4,1,0,19.496013154277307
00:20:31.154.mp4,1,2,24.383264190303144
00:10:31.171.mp4,1,2,23.763734398597965
00:00:30.442.mp4,0,0,23.04265760510064
00:02:45.437.mp4,2,0,21.06305362351693
00:01:35.018.mp4,0,0,23.268273694103932
00:02:56.377.mp4,0,2,25.279240010219663
00:07:23.982.mp4,0,1,22.923762770648786
00:07:13.094.mp4,1,0,22.42125195859115
00:13:57.166.mp4,1,1,19.23991161321872
00:01:33.260.mp4,1,0,24.107225363290294
00:01:46.723.mp4,0,1,22.62303575131784
00:12:35.997.mp4,1,0,20.830100758633662
00:02:09.862.mp4,1,0,22.04884371944552
00:08:16.887.mp4,3,0,22.53961533920668
00:06:41.309.mp4,0,1,22.439787188622578
00:06:29.647.mp4,1,0,23.456647009243095
00:03:56.751.mp4,1,0,23.73947016774159
00:03:57.024.mp4,0,1,23.469483638078472
00:08:29.506.mp4,0,2,25.846395648300128
00:04:09.367.mp4,0,3,26.59105900840247
00:01:18.633.mp4,0,1,24.74011095939219
00:03:45.470.mp4,1,0,24.851968898974334
00:02:22.882.mp4,0,0,26.69229466609893
00:20:47.501.mp4,0,0,26.446445458807336
00:04:41.671.mp4,0,3,25.482668175101672
00:17:09.138.mp4,0,0,24.72979542665524
00:15:30.421.mp4,1,1,25.737524110491748
00:01:06.501.mp4,1,0,26.57283728468962
00:04:18.881.mp4,1,0,26.888776541879732
00:04:33.174.mp4,0,1,26.586930250782977
00:04:28.936.mp4,2,0,26.545631910475503
00:05:42.581.mp4,0,2,26.661720022604804
00:05:28.371.mp4,2,0,25.55116586409378
00:02:56.135.mp4,2,0,25.347893615480704
00:03:12.339.mp4,0,2,24.29402320624129
00:10:06.540.mp4,4,2,25.39230678965363
00:16:51.490.mp4,0,1,26.269423801314762
00:07:29.492.mp4,5,4,24.050919572306174
00:09:56.904.mp4,1,0,22.26989935933887
00:10:27.030.mp4,7,6,21.867313932640105
00:12:52.070.mp4,1,3,21.938592776545
00:12:21.225.mp4,2,1,21.750172558303397
00:10:54.742.mp4,4,6,21.873072683322555
00:16:21.036.mp4,1,0,22.859240209437917
00:07:53.511.mp4,0,9,22.76149941235729
00:14:41.820.mp4,0,1,23.020577391704975
00:09:19.676.mp4,1,8,22.784564315338827
00:08:51.004.mp4,6,2,23.079672226085126
00:20:19.787.mp4,0,11,22.828255338439366
00:17:57.644.mp4,2,6,22.85968456882049
00:14:54.399.mp4,7,0,22.93208716785549
00:19:27.559.mp4,8,5,25.69705926313925
00:16:54.613.mp4,2,6,26.232839551922304
