File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,67.59330592036949
00:09:34.084.mp4,1,0,66.85876961643098
00:17:10.535.mp4,1,0,47.57716286932878
00:12:19.952.mp4,0,1,66.40749816049086
00:09:38.088.mp4,8,0,66.3443013651554
00:15:44.934.mp4,1,1,68.72072519726306
00:12:29.397.mp4,0,7,51.90704379797131
00:11:21.904.mp4,2,1,69.95493197715294
00:10:39.642.mp4,0,0,76.37921662062287
00:01:56.787.mp4,2,0,69.70546790890413
00:10:57.095.mp4,2,2,69.53505104759213
00:00:54.431.mp4,0,1,71.54544924433787
00:11:40.728.mp4,2,1,71.21734292496937
00:02:06.019.mp4,0,1,72.45770343167675
00:01:18.718.mp4,0,1,75.53640609105258
00:00:40.515.mp4,0,1,67.24367570325401
00:01:08.637.mp4,2,0,69.70278866518083
00:03:14.557.mp4,2,0,67.14289201767455
00:03:24.590.mp4,1,2,71.65060023061218
00:10:18.376.mp4,0,1,68.29001993359203
00:21:04.004.mp4,1,0,63.612571167333165
00:14:57.864.mp4,0,1,68.66863614734854
00:01:43.464.mp4,0,1,69.97549322142977
00:09:14.543.mp4,1,1,70.38539109949924
00:00:44.976.mp4,2,0,74.16976802763104
00:20:31.154.mp4,1,1,68.29693036151109
00:10:31.171.mp4,1,2,66.82063430024778
00:00:30.442.mp4,1,0,69.1864356640689
00:02:45.437.mp4,4,1,69.51229222110085
00:01:35.018.mp4,3,0,73.88813875818362
00:02:56.377.mp4,0,2,67.8902484733607
00:07:23.982.mp4,1,4,71.6077873005697
00:07:13.094.mp4,2,0,72.30804004072408
00:13:57.166.mp4,3,1,67.02261105515748
00:01:33.260.mp4,1,0,71.7687340708484
00:01:46.723.mp4,0,1,72.87605455158395
00:12:35.997.mp4,4,1,64.84403348525606
00:02:09.862.mp4,1,0,75.51578763995354
00:08:16.887.mp4,3,0,64.16430918579849
00:06:41.309.mp4,0,1,74.18430540327361
00:06:29.647.mp4,2,0,74.34721613646416
00:03:56.751.mp4,6,0,66.08514197267239
00:03:57.024.mp4,0,2,68.7491992291073
00:08:29.506.mp4,0,3,66.37513376056448
00:04:09.367.mp4,0,5,67.87418141809933
00:01:18.633.mp4,0,2,72.15244051809263
00:03:45.470.mp4,1,0,72.74767534487167
00:02:22.882.mp4,0,1,71.96725753115282
00:20:47.501.mp4,1,0,64.17208074177601
00:04:41.671.mp4,1,3,59.513049721019236
00:17:09.138.mp4,1,1,73.54031743709524
00:15:30.421.mp4,1,1,73.93892812190401
00:01:06.501.mp4,3,0,74.83673305528359
00:04:18.881.mp4,4,0,71.77315639008603
00:04:33.174.mp4,0,5,70.59765020617051
00:04:28.936.mp4,6,0,62.587304308809266
00:05:42.581.mp4,0,7,69.61613700335555
00:05:28.371.mp4,2,0,67.62121979748105
00:02:56.135.mp4,3,0,67.72823229488081
00:03:12.339.mp4,0,7,72.2088298709267
00:10:06.540.mp4,7,14,58.36482316989245
00:16:51.490.mp4,0,2,71.95360352535539
00:07:29.492.mp4,11,1,61.16027393605429
00:09:56.904.mp4,1,2,68.27039465777983
00:10:27.030.mp4,7,10,58.16770393296748
00:12:52.070.mp4,4,7,58.38402979965969
00:12:21.225.mp4,3,0,65.5606160762075
00:10:54.742.mp4,8,10,60.788073344120335
00:16:21.036.mp4,0,0,72.9877819296443
00:07:53.511.mp4,1,14,60.72061587349788
00:14:41.820.mp4,0,3,72.4338354283178
00:09:19.676.mp4,1,23,63.08788425616547
00:08:51.004.mp4,15,3,64.82092205187247
00:20:19.787.mp4,3,12,69.23885648682561
00:17:57.644.mp4,5,12,68.53392920632385
00:14:54.399.mp4,18,4,65.55015134795805
00:19:27.559.mp4,18,14,67.12637145643897
00:16:54.613.mp4,4,18,67.75776646552593
