File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,48.67659363437593
00:09:34.084.mp4,0,1,49.277352453029216
00:17:10.535.mp4,0,0,50.40289529265702
00:12:19.952.mp4,0,0,51.86981504035437
00:09:38.088.mp4,0,0,48.16670630950358
00:15:44.934.mp4,0,0,48.040753439400866
00:12:29.397.mp4,0,1,48.75154489508661
00:11:21.904.mp4,0,0,49.18221619962872
00:10:39.642.mp4,0,0,49.53854644486245
00:01:56.787.mp4,0,0,49.575595843286266
00:10:57.095.mp4,0,0,50.05942254973963
00:00:54.431.mp4,0,1,49.515374940350014
00:11:40.728.mp4,0,0,50.17514392108774
00:02:06.019.mp4,0,0,49.739155183454685
00:01:18.718.mp4,0,1,48.33225402529792
00:00:40.515.mp4,0,0,48.8958270714411
00:01:08.637.mp4,1,0,49.02315975027368
00:03:14.557.mp4,1,0,48.09894184427511
00:03:24.590.mp4,0,1,48.86825016293916
00:10:18.376.mp4,0,1,48.9706493932688
00:21:04.004.mp4,0,0,48.86648573455897
00:14:57.864.mp4,0,0,48.94586209585902
00:01:43.464.mp4,0,0,49.85804452412979
00:09:14.543.mp4,1,0,49.279535941869966
00:00:44.976.mp4,1,0,48.08915774709814
00:20:31.154.mp4,0,0,48.28771062274876
00:10:31.171.mp4,1,1,48.36925603064491
00:00:30.442.mp4,0,0,48.23188306577671
00:02:45.437.mp4,1,0,47.95171766010672
00:01:35.018.mp4,0,0,46.78560797483328
00:02:56.377.mp4,0,2,48.16171157416391
00:07:23.982.mp4,0,0,48.76292555023021
00:07:13.094.mp4,0,0,48.679630579465424
00:13:57.166.mp4,0,0,51.33832744093184
00:01:33.260.mp4,1,0,51.075332251822374
00:01:46.723.mp4,0,0,49.73524597826941
00:12:35.997.mp4,0,0,51.59031321374896
00:02:09.862.mp4,0,0,48.990178626609975
00:08:16.887.mp4,0,0,51.04116084531625
00:06:41.309.mp4,0,0,50.20589456012495
00:06:29.647.mp4,0,0,49.566267472466635
00:03:56.751.mp4,1,0,49.89452049643011
00:03:57.024.mp4,0,0,49.57171927435868
00:08:29.506.mp4,0,0,50.84637153375811
00:04:09.367.mp4,0,0,50.90916152837792
00:01:18.633.mp4,0,0,49.970164943450804
00:03:45.470.mp4,0,0,49.74745861869481
00:02:22.882.mp4,0,0,50.04921956081583
00:20:47.501.mp4,0,0,50.44718977027284
00:04:41.671.mp4,0,2,48.919356449660434
00:17:09.138.mp4,0,0,49.61000802074749
00:15:30.421.mp4,1,1,49.83559152587244
00:01:06.501.mp4,1,0,49.88024419548024
00:04:18.881.mp4,0,0,49.52797259714271
00:04:33.174.mp4,0,0,49.64592997537206
00:04:28.936.mp4,2,0,50.4343147876699
00:05:42.581.mp4,0,0,49.6011838565956
00:05:28.371.mp4,2,0,49.689157622181504
00:02:56.135.mp4,1,0,49.58132215807381
00:03:12.339.mp4,0,0,49.465493510494575
00:10:06.540.mp4,0,1,49.619915143287706
00:16:51.490.mp4,0,0,51.48087385129312
00:07:29.492.mp4,0,0,49.7206567899209
00:09:56.904.mp4,1,0,49.70235607504081
00:10:27.030.mp4,1,1,49.86758995113832
00:12:52.070.mp4,2,1,48.51243000011902
00:12:21.225.mp4,0,0,58.18690359159664
00:10:54.742.mp4,1,1,50.51486909532543
00:16:21.036.mp4,1,0,52.00304254672616
00:07:53.511.mp4,0,0,51.13126038617521
00:14:41.820.mp4,0,1,51.115844223296634
00:09:19.676.mp4,0,1,51.167035660337895
00:08:51.004.mp4,0,0,51.470586383730286
00:20:19.787.mp4,0,0,50.550405957320855
00:17:57.644.mp4,0,0,50.989345522686726
00:14:54.399.mp4,0,0,52.30051511132142
00:19:27.559.mp4,1,0,50.407960421461276
00:16:54.613.mp4,0,1,52.26432041511292
