File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,29.12772419465301
00:09:34.084.mp4,0,1,28.892345468539382
00:17:10.535.mp4,1,0,29.716211306786924
00:12:19.952.mp4,0,1,28.24814902950328
00:09:38.088.mp4,5,0,29.280688022674994
00:15:44.934.mp4,1,1,28.861663802632286
00:12:29.397.mp4,0,6,28.747849929962573
00:11:21.904.mp4,1,1,27.853338504338335
00:10:39.642.mp4,1,0,29.617258364457268
00:01:56.787.mp4,1,0,28.892998323516
00:10:57.095.mp4,1,1,29.344461556291666
00:00:54.431.mp4,0,1,27.45931641786036
00:11:40.728.mp4,0,1,27.879788175447413
00:02:06.019.mp4,0,1,28.225662688475982
00:01:18.718.mp4,0,1,27.370421614678346
00:00:40.515.mp4,0,0,29.48130374549421
00:01:08.637.mp4,1,0,28.52559030526476
00:03:14.557.mp4,2,0,29.124325808523867
00:03:24.590.mp4,0,2,28.86477083366549
00:10:18.376.mp4,1,1,29.211587392213684
00:21:04.004.mp4,0,0,28.590898683875515
00:14:57.864.mp4,0,1,29.356432850427332
00:01:43.464.mp4,0,1,29.76420540060617
00:09:14.543.mp4,1,1,29.852659928382206
00:00:44.976.mp4,1,0,29.24531446192425
00:20:31.154.mp4,0,1,29.385595984549912
00:10:31.171.mp4,1,2,28.720541232682063
00:00:30.442.mp4,1,0,28.89701039885451
00:02:45.437.mp4,2,0,28.93897913036939
00:01:35.018.mp4,1,0,28.70430759447673
00:02:56.377.mp4,0,2,28.515564235768164
00:07:23.982.mp4,0,1,28.552024742157176
00:07:13.094.mp4,1,0,28.680185663387718
00:13:57.166.mp4,1,1,29.423605278906447
00:01:33.260.mp4,1,0,28.63176043834635
00:01:46.723.mp4,0,1,29.221339289078642
00:12:35.997.mp4,2,0,28.58798637529807
00:02:09.862.mp4,1,0,26.392260953646343
00:08:16.887.mp4,2,0,27.38721454090917
00:06:41.309.mp4,0,1,27.920468637390044
00:06:29.647.mp4,1,0,28.406589796989554
00:03:56.751.mp4,3,0,27.868689711934476
00:03:57.024.mp4,0,2,27.433359920523493
00:08:29.506.mp4,0,1,27.683615128864826
00:04:09.367.mp4,0,3,27.72838532972082
00:01:18.633.mp4,0,1,27.697227759086417
00:03:45.470.mp4,1,0,27.639687006490362
00:02:22.882.mp4,0,1,27.90772076740568
00:20:47.501.mp4,0,0,28.07422817390722
00:04:41.671.mp4,0,4,26.89832426027033
00:17:09.138.mp4,1,1,26.79190417589247
00:15:30.421.mp4,1,1,27.531777411659405
00:01:06.501.mp4,1,0,27.68522746730021
00:04:18.881.mp4,2,0,27.646849786489597
00:04:33.174.mp4,0,1,27.766688016470795
00:04:28.936.mp4,4,0,27.789683396319226
00:05:42.581.mp4,0,3,27.816361878332682
00:05:28.371.mp4,2,0,25.969636973060908
00:02:56.135.mp4,2,0,27.09255666207117
00:03:12.339.mp4,0,2,27.240301173303344
00:10:06.540.mp4,3,5,27.346157746627206
00:16:51.490.mp4,0,1,27.573264403626503
00:07:29.492.mp4,5,0,27.24673729009532
00:09:56.904.mp4,1,2,27.417473559880662
00:10:27.030.mp4,6,4,27.562838756517145
00:12:52.070.mp4,0,1,27.69748137642892
00:12:21.225.mp4,1,1,26.334558465720516
00:10:54.742.mp4,6,5,27.02895200080144
00:16:21.036.mp4,1,0,27.920450630918854
00:07:53.511.mp4,0,8,27.551931559375678
00:14:41.820.mp4,0,2,27.762539847531713
00:09:19.676.mp4,1,7,27.121747186023818
00:08:51.004.mp4,6,0,28.522041294438843
00:20:19.787.mp4,2,8,27.07661232217766
00:17:57.644.mp4,1,3,27.608287726462564
00:14:54.399.mp4,5,0,27.23572060914819
00:19:27.559.mp4,10,6,27.33994693620211
00:16:54.613.mp4,1,2,27.68542941442262
