File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,75.71533389672763
00:09:34.084.mp4,0,2,78.07761285911091
00:17:10.535.mp4,0,2,52.83079095590546
00:12:19.952.mp4,0,2,71.92545382276809
00:09:38.088.mp4,6,0,75.40168913100689
00:15:44.934.mp4,1,1,82.78750409437524
00:12:29.397.mp4,4,8,54.216775946765736
00:11:21.904.mp4,1,4,77.83765901227859
00:10:39.642.mp4,0,0,83.05267106620764
00:01:56.787.mp4,1,0,77.51793214574248
00:10:57.095.mp4,3,1,81.65006165763577
00:00:54.431.mp4,0,2,81.30301690599391
00:11:40.728.mp4,4,1,79.67881992877284
00:02:06.019.mp4,0,1,82.49773744884156
00:01:18.718.mp4,0,1,86.83857910424294
00:00:40.515.mp4,0,2,78.08461688459643
00:01:08.637.mp4,1,0,86.74573875751923
00:03:14.557.mp4,3,0,82.58390291764479
00:03:24.590.mp4,0,2,84.12448459809555
00:10:18.376.mp4,1,1,76.93704350282141
00:21:04.004.mp4,2,0,74.2511025729971
00:14:57.864.mp4,0,2,77.57303716293953
00:01:43.464.mp4,0,2,83.83034304508759
00:09:14.543.mp4,3,1,81.73659114323945
00:00:44.976.mp4,1,0,87.31750585917524
00:20:31.154.mp4,1,1,76.87465494386491
00:10:31.171.mp4,1,2,80.68221078259425
00:00:30.442.mp4,1,0,77.66423076033448
00:02:45.437.mp4,4,0,81.42776266900924
00:01:35.018.mp4,3,0,84.08894526521573
00:02:56.377.mp4,0,5,81.00273615530266
00:07:23.982.mp4,1,2,81.33215759463991
00:07:13.094.mp4,2,0,84.79992200056459
00:13:57.166.mp4,1,1,73.62677424712508
00:01:33.260.mp4,3,0,81.94886128276507
00:01:46.723.mp4,0,2,80.70917967876879
00:12:35.997.mp4,3,0,79.11976760016994
00:02:09.862.mp4,2,0,83.80786938891502
00:08:16.887.mp4,1,0,72.67651950197295
00:06:41.309.mp4,0,1,85.38501652147207
00:06:29.647.mp4,3,1,83.57276425755973
00:03:56.751.mp4,3,0,77.75271339342771
00:03:57.024.mp4,0,2,77.71614993410165
00:08:29.506.mp4,0,2,78.32341980987638
00:04:09.367.mp4,0,4,81.30624202504174
00:01:18.633.mp4,0,3,85.93183372191376
00:03:45.470.mp4,2,0,85.33996965186456
00:02:22.882.mp4,0,1,85.85944883693607
00:20:47.501.mp4,1,0,76.96433242467258
00:04:41.671.mp4,0,5,68.68072212149583
00:17:09.138.mp4,1,1,82.34861367333947
00:15:30.421.mp4,2,1,88.20491694636155
00:01:06.501.mp4,3,0,88.60494039721907
00:04:18.881.mp4,5,0,84.13663720586904
00:04:33.174.mp4,0,5,85.61436433058691
00:04:28.936.mp4,5,0,69.67630475602277
00:05:42.581.mp4,0,3,79.15087959579616
00:05:28.371.mp4,3,0,79.7239317128226
00:02:56.135.mp4,5,0,74.60538479761418
00:03:12.339.mp4,0,5,83.07741358554442
00:10:06.540.mp4,5,15,64.48038956000124
00:16:51.490.mp4,0,2,84.54786747273408
00:07:29.492.mp4,13,1,68.54697557380062
00:09:56.904.mp4,3,2,77.22162570138816
00:10:27.030.mp4,14,11,64.87785670897752
00:12:52.070.mp4,4,6,65.44633075445594
00:12:21.225.mp4,6,0,74.04670253407257
00:10:54.742.mp4,7,9,67.34285002520176
00:16:21.036.mp4,1,0,81.52455699831295
00:07:53.511.mp4,1,14,72.08287083007288
00:14:41.820.mp4,0,2,83.39433610961804
00:09:19.676.mp4,2,23,69.8444393055054
00:08:51.004.mp4,14,3,73.44340888211268
00:20:19.787.mp4,4,6,77.84339150081298
00:17:57.644.mp4,2,14,80.09641938088687
00:14:54.399.mp4,10,4,77.06429494649211
00:19:27.559.mp4,26,18,81.08931561169766
00:16:54.613.mp4,5,21,81.21769651112636
