File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,57.0795633838899
00:09:34.084.mp4,0,1,57.678205535833314
00:17:10.535.mp4,0,0,59.8075363363854
00:12:19.952.mp4,0,1,62.88412044025066
00:09:38.088.mp4,0,0,59.581880179751195
00:15:44.934.mp4,1,1,59.40693875657209
00:12:29.397.mp4,0,0,60.578142955655984
00:11:21.904.mp4,0,1,58.97262445185263
00:10:39.642.mp4,0,0,58.48145426280562
00:01:56.787.mp4,0,0,58.27604519617016
00:10:57.095.mp4,1,0,60.991267243294864
00:00:54.431.mp4,0,1,60.43026831243852
00:11:40.728.mp4,1,0,59.637759965487405
00:02:06.019.mp4,0,0,59.3839724726153
00:01:18.718.mp4,0,1,59.19613544870213
00:00:40.515.mp4,0,1,59.953085851810734
00:01:08.637.mp4,1,0,60.12363197517793
00:03:14.557.mp4,1,0,57.681886861381805
00:03:24.590.mp4,0,1,58.30447207787772
00:10:18.376.mp4,1,0,58.5444468163737
00:21:04.004.mp4,0,0,59.08695770721698
00:14:57.864.mp4,0,1,58.88737501728125
00:01:43.464.mp4,0,1,59.54872104571325
00:09:14.543.mp4,1,1,59.79807646285872
00:00:44.976.mp4,1,0,58.622576489379306
00:20:31.154.mp4,0,0,61.103873909534244
00:10:31.171.mp4,1,1,58.89420647428144
00:00:30.442.mp4,1,0,58.88570566081668
00:02:45.437.mp4,1,0,58.51115002604704
00:01:35.018.mp4,0,0,59.09679265815415
00:02:56.377.mp4,0,2,57.39823187863263
00:07:23.982.mp4,0,0,60.30642176454743
00:07:13.094.mp4,0,0,60.24705141646653
00:13:57.166.mp4,0,1,60.38591156585512
00:01:33.260.mp4,1,0,59.16255754844524
00:01:46.723.mp4,0,0,59.06892111215494
00:12:35.997.mp4,0,0,62.121468523108724
00:02:09.862.mp4,1,0,57.5735665598066
00:08:16.887.mp4,0,0,59.175635938511526
00:06:41.309.mp4,0,0,59.66205112947544
00:06:29.647.mp4,0,0,59.182432827841836
00:03:56.751.mp4,2,0,58.884877048912045
00:03:57.024.mp4,0,0,58.92897698640706
00:08:29.506.mp4,0,0,59.6481271388697
00:04:09.367.mp4,0,1,59.23623704849091
00:01:18.633.mp4,0,1,59.05848858321574
00:03:45.470.mp4,1,0,59.09219607024521
00:02:22.882.mp4,0,1,58.99560532258162
00:20:47.501.mp4,0,0,58.54625815158847
00:04:41.671.mp4,0,2,59.23671902578151
00:17:09.138.mp4,0,0,59.237576160199055
00:15:30.421.mp4,1,1,58.51033231345372
00:01:06.501.mp4,1,0,58.56141044985724
00:04:18.881.mp4,0,0,57.755264702527825
00:04:33.174.mp4,0,0,58.586992269773404
00:04:28.936.mp4,2,0,57.00602773983541
00:05:42.581.mp4,0,1,57.09013255123658
00:05:28.371.mp4,2,0,56.46378390520694
00:02:56.135.mp4,1,0,55.817655754050705
00:03:12.339.mp4,0,0,57.562332126934585
00:10:06.540.mp4,2,0,57.13261391797443
00:16:51.490.mp4,0,1,58.71373725295692
00:07:29.492.mp4,2,0,56.13937904049755
00:09:56.904.mp4,0,0,56.26039491487434
00:10:27.030.mp4,3,5,57.13798621720536
00:12:52.070.mp4,0,0,54.50523781537743
00:12:21.225.mp4,0,0,67.93479608696846
00:10:54.742.mp4,2,1,57.35741946772383
00:16:21.036.mp4,1,0,58.62945795704773
00:07:53.511.mp4,0,0,58.02954628729332
00:14:41.820.mp4,0,1,58.281910984655106
00:09:19.676.mp4,0,1,59.228191656293845
00:08:51.004.mp4,3,0,58.38945130855578
00:20:19.787.mp4,0,0,60.21186554203731
00:17:57.644.mp4,1,1,58.38415358831812
00:14:54.399.mp4,0,0,59.58472745691004
00:19:27.559.mp4,3,3,58.81364153043293
00:16:54.613.mp4,0,1,59.91458213839909
