File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,32.37165837246375
00:09:34.084.mp4,0,0,32.792842667036375
00:17:10.535.mp4,0,0,32.50866594272858
00:12:19.952.mp4,0,0,32.33852471720024
00:09:38.088.mp4,1,0,32.56950979789728
00:15:44.934.mp4,1,1,31.102787984898242
00:12:29.397.mp4,0,3,31.575120225070304
00:11:21.904.mp4,1,0,32.253734725645444
00:10:39.642.mp4,0,0,33.01234065997995
00:01:56.787.mp4,1,0,33.54960187014887
00:10:57.095.mp4,0,1,33.66752276284607
00:00:54.431.mp4,0,0,35.00787386678113
00:11:40.728.mp4,0,1,32.436410905666946
00:02:06.019.mp4,0,1,32.375254045979695
00:01:18.718.mp4,0,1,32.571006628051336
00:00:40.515.mp4,0,1,32.5279939308106
00:01:08.637.mp4,1,0,32.614301199913804
00:03:14.557.mp4,1,0,32.55578244338398
00:03:24.590.mp4,0,1,32.1216141367004
00:10:18.376.mp4,0,0,31.46574445442891
00:21:04.004.mp4,0,0,31.108350510511706
00:14:57.864.mp4,0,1,30.97580655864797
00:01:43.464.mp4,0,0,29.948547566709777
00:09:14.543.mp4,0,1,34.57154375012984
00:00:44.976.mp4,0,0,33.772409249250046
00:20:31.154.mp4,0,0,34.28253309628612
00:10:31.171.mp4,0,0,31.059786468962386
00:00:30.442.mp4,1,0,34.34388682540589
00:02:45.437.mp4,1,0,32.096740557558675
00:01:35.018.mp4,0,0,30.257405343400812
00:02:56.377.mp4,0,1,34.521672129252394
