File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,23.609065124573476
00:09:34.084.mp4,0,1,24.316003528060794
00:17:10.535.mp4,2,0,22.000124979140463
00:12:19.952.mp4,0,1,25.15372032141867
00:09:38.088.mp4,2,0,24.141706994063266
00:15:44.934.mp4,1,1,23.235518294703123
00:12:29.397.mp4,0,3,21.937404123950888
00:11:21.904.mp4,1,1,21.473407877646856
00:10:39.642.mp4,1,0,22.614801295640454
00:01:56.787.mp4,1,0,20.104096513505855
00:10:57.095.mp4,1,1,20.0289131276443
00:00:54.431.mp4,0,1,22.141279899158295
00:11:40.728.mp4,1,1,23.06117037210144
00:02:06.019.mp4,0,1,25.289462408653968
00:01:18.718.mp4,0,1,25.415186204453086
00:00:40.515.mp4,0,1,25.02666836311626
00:01:08.637.mp4,1,0,18.995224596553292
00:03:14.557.mp4,2,0,23.384681774079592
00:03:24.590.mp4,0,2,25.590220596668008
00:10:18.376.mp4,1,1,26.010108196560186
00:21:04.004.mp4,1,0,25.45001141564478
00:14:57.864.mp4,0,1,25.6622372395519
00:01:43.464.mp4,0,1,24.664860234843786
00:09:14.543.mp4,1,1,25.809961092038403
00:00:44.976.mp4,1,0,25.64725223560777
00:20:31.154.mp4,1,1,25.600501822976703
00:10:31.171.mp4,1,2,25.695078637484716
00:00:30.442.mp4,1,0,25.683631437426925
00:02:45.437.mp4,2,0,25.77213166305901
00:01:35.018.mp4,1,0,25.76031569893017
00:02:56.377.mp4,0,2,25.745817216263102
00:07:23.982.mp4,0,2,25.870681693210464
00:07:13.094.mp4,1,0,25.4872105794601
00:13:57.166.mp4,0,1,25.914181199936337
00:01:33.260.mp4,1,0,25.704801287917466
00:01:46.723.mp4,0,1,25.778476047678268
00:12:35.997.mp4,1,0,25.954212545617757
00:02:09.862.mp4,1,0,25.719687980597232
00:08:16.887.mp4,3,0,23.94903434208428
00:06:41.309.mp4,0,1,25.71789590341598
00:06:29.647.mp4,1,0,25.539005858577994
00:03:56.751.mp4,3,0,25.4599946013174
00:03:57.024.mp4,0,2,25.399846735870288
00:08:29.506.mp4,0,3,25.74810242165894
00:04:09.367.mp4,0,3,25.79979353441271
00:01:18.633.mp4,0,1,25.870564034874004
00:03:45.470.mp4,1,0,25.62195022828904
00:02:22.882.mp4,0,1,25.805805547104512
00:20:47.501.mp4,1,0,25.434981222265808
00:04:41.671.mp4,0,4,25.905879403825157
00:17:09.138.mp4,1,1,25.887740384511687
00:15:30.421.mp4,1,1,25.769030194728067
00:01:06.501.mp4,1,0,25.822077104785823
00:04:18.881.mp4,2,0,25.968129830863173
00:04:33.174.mp4,0,3,25.903738887991835
00:04:28.936.mp4,4,0,24.37591242146441
00:05:42.581.mp4,0,4,25.046441270591217
00:05:28.371.mp4,3,0,23.37013067281196
00:02:56.135.mp4,2,0,23.544937212967515
00:03:12.339.mp4,0,2,22.956491647477396
00:10:06.540.mp4,4,6,23.78202478959758
00:16:51.490.mp4,0,1,22.412731031661085
00:07:29.492.mp4,10,0,24.80532152174794
00:09:56.904.mp4,1,1,23.655060431808714
00:10:27.030.mp4,6,7,23.51037209259167
00:12:52.070.mp4,8,10,24.40295897342751
00:12:21.225.mp4,1,0,24.875815280117784
00:10:54.742.mp4,3,7,24.254133980596993
00:16:21.036.mp4,1,0,24.625993739771726
00:07:53.511.mp4,0,9,23.171465363727645
00:14:41.820.mp4,0,1,24.185852423839115
00:09:19.676.mp4,1,12,24.232700975690836
00:08:51.004.mp4,8,0,25.384379373346388
00:20:19.787.mp4,1,0,23.729927714872332
00:17:57.644.mp4,1,6,21.23346546521253
00:14:54.399.mp4,9,4,23.066624279031746
00:19:27.559.mp4,8,7,23.205813117223133
00:16:54.613.mp4,3,15,23.932847360019984
