File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,27.105139142127875
00:09:34.084.mp4,0,1,27.868153000373095
00:17:10.535.mp4,0,0,27.922475571638856
00:12:19.952.mp4,0,1,28.72635304412595
00:09:38.088.mp4,1,0,27.866506897726097
00:15:44.934.mp4,1,1,27.85083221903218
00:12:29.397.mp4,1,5,27.04574205045701
00:11:21.904.mp4,1,1,27.2758236307149
00:10:39.642.mp4,1,0,27.27953230397527
00:01:56.787.mp4,1,0,28.590346829189144
00:10:57.095.mp4,1,1,27.519490676493735
00:00:54.431.mp4,0,0,27.592308804845846
00:11:40.728.mp4,1,1,27.22005763105797
00:02:06.019.mp4,0,0,27.577525407440394
00:01:18.718.mp4,0,1,27.919604378902058
00:00:40.515.mp4,0,1,27.667808010046887
00:01:08.637.mp4,1,0,27.73554602585684
00:03:14.557.mp4,2,0,27.59458700136612
00:03:24.590.mp4,0,2,27.026190790232814
00:10:18.376.mp4,2,1,27.075460290139265
00:21:04.004.mp4,1,0,27.21242925403519
00:14:57.864.mp4,0,1,27.348713438017125
00:01:43.464.mp4,0,1,26.95163702785388
00:09:14.543.mp4,0,1,27.592227623429046
00:00:44.976.mp4,0,1,27.473817880211197
00:20:31.154.mp4,0,0,27.604582186381723
00:10:31.171.mp4,0,2,27.751331573581233
00:00:30.442.mp4,1,0,27.753507770400915
00:02:45.437.mp4,2,0,27.5798584881911
00:01:35.018.mp4,1,0,27.81805479225423
00:02:56.377.mp4,0,2,27.46337350804228
00:07:23.982.mp4,0,1,27.298395754879284
00:07:13.094.mp4,1,0,27.216657107415944
00:13:57.166.mp4,0,1,26.817072336283413
00:01:33.260.mp4,1,0,28.409139322307624
00:01:46.723.mp4,0,1,27.41137995752081
00:12:35.997.mp4,0,1,27.10717850176651
00:02:09.862.mp4,0,0,27.795354148749
00:08:16.887.mp4,3,0,27.630632154858716
00:06:41.309.mp4,0,1,27.422202278609127
00:06:29.647.mp4,0,0,25.84858140683312
00:03:56.751.mp4,3,0,32.44703395204049
00:03:57.024.mp4,0,2,32.39910175564683
00:08:29.506.mp4,0,4,32.29623902896447
00:04:09.367.mp4,0,3,32.49820476065236
00:01:18.633.mp4,0,1,31.613655889180215
00:03:45.470.mp4,1,0,31.853133489223428
00:02:22.882.mp4,0,1,31.771271915978545
00:20:47.501.mp4,1,0,31.10348307833763
00:04:41.671.mp4,0,2,32.298642918764344
00:17:09.138.mp4,1,0,32.05690044497235
00:15:30.421.mp4,1,0,31.80655226349734
00:01:06.501.mp4,1,0,29.534025951576314
00:04:18.881.mp4,2,0,31.56340897371493
00:04:33.174.mp4,0,2,31.954937204699906
00:04:28.936.mp4,4,0,32.3838426585615
00:05:42.581.mp4,0,4,31.764596843820268
00:05:28.371.mp4,2,1,31.8557553852141
00:02:56.135.mp4,2,0,31.81564686908226
00:03:12.339.mp4,0,1,31.797330258871693
00:10:06.540.mp4,4,5,27.65179103940586
00:16:51.490.mp4,0,1,30.416477972992002
00:07:29.492.mp4,6,2,31.957632753454035
00:09:56.904.mp4,1,1,31.947461011339655
00:10:27.030.mp4,5,5,31.794320551689477
00:12:52.070.mp4,23,19,31.917242543176048
00:12:21.225.mp4,2,0,32.02752836607058
00:10:54.742.mp4,3,8,31.74008238180917
00:16:21.036.mp4,1,0,32.07398443585802
00:07:53.511.mp4,1,7,32.15954772247906
00:14:41.820.mp4,0,1,32.28609769786898
00:09:19.676.mp4,2,13,32.46294649812835
00:08:51.004.mp4,15,8,32.043652362308485
00:20:19.787.mp4,0,1,32.34140056588728
00:17:57.644.mp4,1,6,32.08164883366187
00:14:54.399.mp4,12,11,32.076712608821204
00:19:27.559.mp4,10,6,32.00780449434126
00:16:54.613.mp4,10,15,30.89805628965339
