File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,21.36891686576009
00:09:34.084.mp4,0,0,22.054230294465455
00:17:10.535.mp4,1,0,21.640706758509143
00:12:19.952.mp4,0,1,21.587717943794814
00:09:38.088.mp4,2,0,21.539506458140536
00:15:44.934.mp4,1,1,21.483821162174305
00:12:29.397.mp4,0,6,21.394342350225205
00:11:21.904.mp4,0,1,21.362223830585712
00:10:39.642.mp4,1,0,21.487777442156062
00:01:56.787.mp4,1,0,21.691644959224824
00:10:57.095.mp4,1,1,21.556044906239364
00:00:54.431.mp4,0,1,21.37458611187091
00:11:40.728.mp4,1,1,21.41660585187076
00:02:06.019.mp4,0,1,21.55547164648838
00:01:18.718.mp4,0,1,21.355217156164247
00:00:40.515.mp4,0,1,21.347542440623375
00:01:08.637.mp4,1,0,21.23426810620917
00:03:14.557.mp4,2,0,24.038780869045627
00:03:24.590.mp4,0,2,21.26458994070738
00:10:18.376.mp4,1,1,24.987069193769408
00:21:04.004.mp4,0,0,24.612401709046495
00:14:57.864.mp4,0,1,25.22108474299315
00:01:43.464.mp4,0,1,25.196278838803565
00:09:14.543.mp4,1,1,24.732059016365824
00:00:44.976.mp4,1,0,25.45762981989571
00:20:31.154.mp4,1,1,24.780943470489333
00:10:31.171.mp4,1,2,24.07832516810948
00:00:30.442.mp4,1,0,24.437902982017814
00:02:45.437.mp4,2,0,23.210419609965214
00:01:35.018.mp4,0,0,19.84267475743775
00:02:56.377.mp4,0,2,18.595174776266767
00:07:23.982.mp4,0,1,20.019911216063335
00:07:13.094.mp4,1,0,21.82263612051212
00:13:57.166.mp4,0,1,20.54703537174914
00:01:33.260.mp4,1,0,19.347404308749766
00:01:46.723.mp4,0,1,21.519529246082072
00:12:35.997.mp4,1,0,24.09340241543798
00:02:09.862.mp4,1,0,26.079507078104125
00:08:16.887.mp4,3,0,26.449391557046116
00:06:41.309.mp4,0,1,25.489907105328196
00:06:29.647.mp4,1,0,26.630494745812893
00:03:56.751.mp4,3,0,23.362085474866777
00:03:57.024.mp4,0,1,14.499310896940187
00:08:29.506.mp4,0,2,14.305156217913373
00:04:09.367.mp4,0,2,16.527947406646664
00:01:18.633.mp4,0,1,18.768373974955818
00:03:45.470.mp4,1,0,14.65080798467051
00:02:22.882.mp4,0,1,14.408611154118201
00:20:47.501.mp4,0,0,14.605221515472772
00:04:41.671.mp4,0,4,12.713644119645664
00:17:09.138.mp4,0,1,16.70411555726678
00:15:30.421.mp4,1,1,16.98855286297529
00:01:06.501.mp4,1,0,17.09525181306135
00:04:18.881.mp4,1,0,17.238950492840317
00:04:33.174.mp4,0,1,17.21325812360522
00:04:28.936.mp4,4,0,17.539976252646305
00:05:42.581.mp4,0,3,18.087760866029342
00:05:28.371.mp4,2,0,18.25302293075514
00:02:56.135.mp4,2,0,20.8062840003968
00:03:12.339.mp4,0,2,25.049518589703027
00:10:06.540.mp4,4,6,25.184909998144278
00:16:51.490.mp4,0,1,25.868164202945135
00:07:29.492.mp4,6,1,25.06254750735905
00:09:56.904.mp4,1,1,20.48263003893612
00:10:27.030.mp4,6,6,22.591979487257397
00:12:52.070.mp4,1,1,23.370980773403613
00:12:21.225.mp4,1,0,23.273447652322297
00:10:54.742.mp4,3,7,22.733902502315484
00:16:21.036.mp4,1,0,21.591088565684387
00:07:53.511.mp4,0,8,21.128045209049834
00:14:41.820.mp4,0,1,22.12311966909415
00:09:19.676.mp4,0,12,20.462796898568417
00:08:51.004.mp4,10,2,20.932596053831176
00:20:19.787.mp4,1,3,21.32266535811965
00:17:57.644.mp4,3,5,22.14332334976383
00:14:54.399.mp4,6,3,22.534639974944014
00:19:27.559.mp4,10,10,22.495101910741823
00:16:54.613.mp4,3,10,22.937847406920817
