File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,73.2817301403664
00:09:34.084.mp4,0,2,74.11084950890313
00:17:10.535.mp4,1,2,49.50169524395536
00:12:19.952.mp4,0,3,71.91526032042356
00:09:38.088.mp4,12,0,76.33810300740782
00:15:44.934.mp4,1,1,79.51337232633348
00:12:29.397.mp4,4,10,52.68887574568897
00:11:21.904.mp4,1,1,73.43422535483818
00:10:39.642.mp4,0,0,78.03413662385604
00:01:56.787.mp4,1,0,71.06840732780007
00:10:57.095.mp4,3,1,68.6901925471214
00:00:54.431.mp4,0,2,77.79735901925194
00:11:40.728.mp4,4,1,73.57610557891229
00:02:06.019.mp4,0,1,75.57318071047366
00:01:18.718.mp4,0,2,79.38547032665826
00:00:40.515.mp4,0,2,73.234790526222
00:01:08.637.mp4,1,0,78.08224390857706
00:03:14.557.mp4,3,1,77.73146886287114
00:03:24.590.mp4,0,2,78.27765588259595
00:10:18.376.mp4,1,2,73.71920775829848
00:21:04.004.mp4,3,0,66.75642834161268
00:14:57.864.mp4,0,3,73.7776308818065
00:01:43.464.mp4,1,2,75.16597798955739
00:09:14.543.mp4,4,2,76.9784381782723
00:00:44.976.mp4,2,1,79.06773623350445
00:20:31.154.mp4,2,1,69.68809014209229
00:10:31.171.mp4,2,2,75.10006384822609
00:00:30.442.mp4,2,0,72.43994739737924
00:02:45.437.mp4,4,1,73.82087381513601
00:01:35.018.mp4,3,0,79.30519983269956
00:02:56.377.mp4,0,5,76.1565431275718
00:07:23.982.mp4,1,2,75.44805543376823
00:07:13.094.mp4,2,0,77.7095057631149
00:13:57.166.mp4,2,1,70.48683153812121
00:01:33.260.mp4,5,0,75.04498049787762
00:01:46.723.mp4,0,2,71.54177749527594
00:12:35.997.mp4,4,0,74.56381951301518
00:02:09.862.mp4,2,0,79.56430013314043
00:08:16.887.mp4,1,1,67.48932600199787
00:06:41.309.mp4,0,1,79.31141649340677
00:06:29.647.mp4,4,1,78.81674633178478
00:03:56.751.mp4,3,0,72.02426629432968
00:03:57.024.mp4,0,2,72.67934509774855
00:08:29.506.mp4,0,4,75.85076475192525
00:04:09.367.mp4,0,4,75.03958756335317
00:01:18.633.mp4,0,3,77.90104700679883
00:03:45.470.mp4,2,0,78.931678842068
00:02:22.882.mp4,0,1,80.3855156928794
00:20:47.501.mp4,2,1,71.34121432921839
00:04:41.671.mp4,1,5,65.95096330168232
00:17:09.138.mp4,1,1,76.49544389908225
00:15:30.421.mp4,2,1,80.81444945820364
00:01:06.501.mp4,3,0,80.90867027885183
00:04:18.881.mp4,5,0,78.69661458191437
00:04:33.174.mp4,0,5,80.89872860390709
00:04:28.936.mp4,6,0,65.90809421974136
00:05:42.581.mp4,1,5,74.90414945598911
00:05:28.371.mp4,4,0,77.63914612041735
00:02:56.135.mp4,5,0,71.0799534762885
00:03:12.339.mp4,0,5,77.14968801487814
00:10:06.540.mp4,5,15,61.38608847611821
00:16:51.490.mp4,0,5,78.96788137978558
00:07:29.492.mp4,15,1,66.57035612873152
00:09:56.904.mp4,5,2,73.29847923465317
00:10:27.030.mp4,15,12,62.337907230608394
00:12:52.070.mp4,5,6,60.97290579760966
00:12:21.225.mp4,8,0,71.20859395919126
00:10:54.742.mp4,8,12,65.86298726668286
00:16:21.036.mp4,1,0,78.51025116857062
00:07:53.511.mp4,3,19,67.14694445943472
00:14:41.820.mp4,1,2,76.57125861269552
00:09:19.676.mp4,3,28,64.49738791618226
00:08:51.004.mp4,15,5,69.75672837633427
00:20:19.787.mp4,4,6,74.77926607409094
00:17:57.644.mp4,3,15,73.62805237957969
00:14:54.399.mp4,10,4,72.60335891441956
00:19:27.559.mp4,28,18,74.76738971219059
00:16:54.613.mp4,6,25,74.79625798944683
