File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,55.0400458884081
00:09:34.084.mp4,0,1,56.89636510127422
00:17:10.535.mp4,0,0,56.58069676777255
00:12:19.952.mp4,0,1,57.31850834191297
00:09:38.088.mp4,0,0,56.408430898161804
00:15:44.934.mp4,1,1,55.684354588581336
00:12:29.397.mp4,0,0,56.6084651437146
00:11:21.904.mp4,0,1,56.28643160875844
00:10:39.642.mp4,0,0,56.38731487099786
00:01:56.787.mp4,0,0,57.23337440028028
00:10:57.095.mp4,1,0,58.4265900260346
00:00:54.431.mp4,0,1,56.543775909587644
00:11:40.728.mp4,1,0,57.52801682830845
00:02:06.019.mp4,0,0,54.57551583211626
00:01:18.718.mp4,0,1,57.10753104678501
00:00:40.515.mp4,0,1,57.081035558484196
00:01:08.637.mp4,1,0,56.84853499824791
00:03:14.557.mp4,1,0,56.905918897208416
00:03:24.590.mp4,0,1,56.48637621363574
00:10:18.376.mp4,1,0,56.950642762023215
00:21:04.004.mp4,0,0,57.48503649150971
00:14:57.864.mp4,0,1,56.426283400548435
00:01:43.464.mp4,0,1,57.63978556691237
00:09:14.543.mp4,1,1,57.30733279427472
00:00:44.976.mp4,1,0,56.59759495122466
00:20:31.154.mp4,0,0,58.64226019278973
00:10:31.171.mp4,1,1,56.334399065333066
00:00:30.442.mp4,1,0,56.93308155319018
00:02:45.437.mp4,1,0,56.059913050985784
00:01:35.018.mp4,0,0,55.27802191216554
00:02:56.377.mp4,0,2,56.43944535684188
00:07:23.982.mp4,0,0,57.845608794452446
00:07:13.094.mp4,0,0,57.55649416952464
00:13:57.166.mp4,0,1,58.995532178557056
00:01:33.260.mp4,1,0,56.84973902638559
00:01:46.723.mp4,0,0,57.00035205410123
00:12:35.997.mp4,0,0,60.27661927547334
00:02:09.862.mp4,1,0,57.198596080150416
00:08:16.887.mp4,0,0,57.857351188088586
00:06:41.309.mp4,0,0,57.858925080139024
00:06:29.647.mp4,0,0,57.600420912803045
00:03:56.751.mp4,2,0,56.75431965417053
00:03:57.024.mp4,0,0,57.77393234630222
00:08:29.506.mp4,0,0,58.04140837114764
00:04:09.367.mp4,0,1,57.85876198362858
00:01:18.633.mp4,0,1,57.650185780419626
00:03:45.470.mp4,2,0,58.06330327117301
00:02:22.882.mp4,0,1,57.43642711666048
00:20:47.501.mp4,1,0,57.06320876612198
00:04:41.671.mp4,0,2,57.0521540866306
00:17:09.138.mp4,0,0,58.09230596932765
00:15:30.421.mp4,1,1,55.8344867683426
00:01:06.501.mp4,1,0,57.0092776095984
00:04:18.881.mp4,0,0,57.0439822799866
00:04:33.174.mp4,0,0,57.84757186934692
00:04:28.936.mp4,2,0,57.38795374361747
00:05:42.581.mp4,0,1,57.04799839870433
00:05:28.371.mp4,2,0,56.51769473147947
00:02:56.135.mp4,1,0,55.92598612134426
00:03:12.339.mp4,0,0,57.588168296252235
00:10:06.540.mp4,2,0,58.22070195304501
00:16:51.490.mp4,0,1,56.43662750630934
00:07:29.492.mp4,2,0,56.981286041449785
00:09:56.904.mp4,0,0,57.772157229243675
00:10:27.030.mp4,3,4,57.38818111115059
00:12:52.070.mp4,0,0,54.49694137378527
00:12:21.225.mp4,0,0,67.99188178820671
00:10:54.742.mp4,2,1,57.90852804900678
00:16:21.036.mp4,1,0,59.44416725666899
00:07:53.511.mp4,0,0,58.288553015840506
00:14:41.820.mp4,0,1,57.81644045686802
00:09:19.676.mp4,0,1,59.43543697436596
00:08:51.004.mp4,3,0,58.666581281845744
00:20:19.787.mp4,0,0,60.24564891218794
00:17:57.644.mp4,1,1,58.702296340540585
00:14:54.399.mp4,0,0,59.722942120594695
00:19:27.559.mp4,4,3,55.9094566764098
00:16:54.613.mp4,0,1,57.88301806362354
