File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,29.74995826497845
00:09:34.084.mp4,0,0,29.597032070498663
00:17:10.535.mp4,0,0,29.807467057807543
00:12:19.952.mp4,0,0,29.960550752888214
00:09:38.088.mp4,1,0,29.88252710704083
00:15:44.934.mp4,1,1,29.737491641780462
00:12:29.397.mp4,0,3,29.661150261533738
00:11:21.904.mp4,1,0,29.966648228570225
00:10:39.642.mp4,0,0,29.825279043827262
00:01:56.787.mp4,1,0,29.70044012604958
00:10:57.095.mp4,0,1,29.83190418985814
00:00:54.431.mp4,0,0,29.841700093125034
00:11:40.728.mp4,0,1,29.987759817884392
00:02:06.019.mp4,0,1,30.161333210210298
00:01:18.718.mp4,0,1,29.739990323432327
00:00:40.515.mp4,0,1,30.10292929017871
00:01:08.637.mp4,1,0,29.85736725480534
00:03:14.557.mp4,1,0,29.658705150621824
00:03:24.590.mp4,0,1,30.132173696598773
00:10:18.376.mp4,0,0,29.960071341280436
00:21:04.004.mp4,0,0,30.051732210056432
00:14:57.864.mp4,0,1,29.725061308284168
00:01:43.464.mp4,0,0,29.661113790467873
00:09:14.543.mp4,0,1,30.133977879119417
00:00:44.976.mp4,0,0,29.58651099291786
00:20:31.154.mp4,0,0,29.481613680389533
00:10:31.171.mp4,0,0,29.728609587639987
00:00:30.442.mp4,1,0,30.25958936798365
00:02:45.437.mp4,1,0,29.871042110925185
00:01:35.018.mp4,0,0,29.786938147885188
00:02:56.377.mp4,0,1,29.975009669441853
00:07:23.982.mp4,0,1,30.01952093204651
00:07:13.094.mp4,1,0,29.825399965415627
00:13:57.166.mp4,0,1,29.933081037655622
00:01:33.260.mp4,0,0,27.60279698801239
00:01:46.723.mp4,0,0,27.646293631234155
00:12:35.997.mp4,0,0,27.711439520276727
00:02:09.862.mp4,1,0,27.223824461529123
00:08:16.887.mp4,1,0,27.580824672870786
00:06:41.309.mp4,0,0,29.501602226853674
00:06:29.647.mp4,0,0,30.019043754648234
00:03:56.751.mp4,1,0,29.866750506813226
00:03:57.024.mp4,0,1,29.70410305872014
00:08:29.506.mp4,0,1,29.870945968078463
00:04:09.367.mp4,0,3,29.541987733813688
00:01:18.633.mp4,0,1,30.8426535446951
00:03:45.470.mp4,1,0,30.29833583125726
00:02:22.882.mp4,0,0,29.483655532742834
00:20:47.501.mp4,0,0,30.484576395606275
00:04:41.671.mp4,0,4,31.670785274369592
00:17:09.138.mp4,1,1,31.665779366013094
00:15:30.421.mp4,0,0,31.811953403000736
00:01:06.501.mp4,0,0,31.799709528848705
00:04:18.881.mp4,2,0,31.559759560162686
00:04:33.174.mp4,0,0,31.95414721760517
00:04:28.936.mp4,1,0,31.97253179287951
00:05:42.581.mp4,0,2,31.63388019678218
00:05:28.371.mp4,1,0,31.741299976586795
00:02:56.135.mp4,1,0,31.76053808209083
00:03:12.339.mp4,0,0,31.73386293378916
00:10:06.540.mp4,2,2,31.91881659599124
00:16:51.490.mp4,0,0,31.897796095502976
00:07:29.492.mp4,6,0,31.13355657818026
00:09:56.904.mp4,0,3,30.848763206505502
00:10:27.030.mp4,1,4,31.445502458479737
00:12:52.070.mp4,0,0,31.12160864369836
00:12:21.225.mp4,1,0,32.06796484003663
00:10:54.742.mp4,4,1,30.619708540869137
00:16:21.036.mp4,0,0,31.5182869306211
00:07:53.511.mp4,0,5,31.25118855363627
00:14:41.820.mp4,0,1,31.714593584674063
00:09:19.676.mp4,0,6,28.42519950075395
00:08:51.004.mp4,5,0,31.014942385628526
00:20:19.787.mp4,1,0,31.799329786856724
00:17:57.644.mp4,1,1,31.698761011271344
00:14:54.399.mp4,3,1,31.333321217925043
00:19:27.559.mp4,1,7,32.083644186327156
00:16:54.613.mp4,1,0,30.14131637490166
