File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,79.19112399925334
00:09:34.084.mp4,0,1,80.47720895490285
00:17:10.535.mp4,0,0,83.31229485422986
00:12:19.952.mp4,0,1,82.45231000979395
00:09:38.088.mp4,1,0,85.11112050044142
00:15:44.934.mp4,1,1,85.70059052893782
00:12:29.397.mp4,1,2,85.21463908661873
00:11:21.904.mp4,1,1,85.00995287742148
00:10:39.642.mp4,0,0,84.7192215493424
00:01:56.787.mp4,1,0,83.38679136004974
00:10:57.095.mp4,1,1,82.97790596792855
00:00:54.431.mp4,0,1,84.0063023527003
00:11:40.728.mp4,1,1,84.75378295180256
00:02:06.019.mp4,0,1,84.11431846102262
00:01:18.718.mp4,0,1,84.14761444428477
00:00:40.515.mp4,0,1,83.68525998933735
00:01:08.637.mp4,1,0,84.2481626142135
00:03:14.557.mp4,2,0,83.84739041842121
00:03:24.590.mp4,0,2,83.45663768436538
00:10:18.376.mp4,0,1,85.61817558587583
00:21:04.004.mp4,1,0,85.24534917416509
00:14:57.864.mp4,0,1,84.53421980744034
00:01:43.464.mp4,0,1,83.21454730166033
00:09:14.543.mp4,1,1,83.33236196465161
00:00:44.976.mp4,1,0,84.60385676247719
00:20:31.154.mp4,0,1,81.85503585904584
00:10:31.171.mp4,1,2,84.20141149793355
00:00:30.442.mp4,1,0,83.50384876138394
00:02:45.437.mp4,2,0,84.90195803037719
00:01:35.018.mp4,1,0,83.85869890560815
00:02:56.377.mp4,0,2,85.11759012860401
00:07:23.982.mp4,0,2,79.56479989549842
00:07:13.094.mp4,1,0,82.48602238601737
00:13:57.166.mp4,0,1,84.34354641985105
00:01:33.260.mp4,1,0,84.04441107807124
00:01:46.723.mp4,0,1,82.25770841058954
00:12:35.997.mp4,1,0,84.7462757538772
00:02:09.862.mp4,1,0,85.16278523552543
00:08:16.887.mp4,3,0,85.40419504087554
00:06:41.309.mp4,0,1,83.64822851620835
00:06:29.647.mp4,1,0,84.40198591924954
00:03:56.751.mp4,3,0,86.26053660551273
00:03:57.024.mp4,0,2,84.81896109850035
00:08:29.506.mp4,0,3,85.00272677151374
00:04:09.367.mp4,0,3,85.42079097073682
00:01:18.633.mp4,0,1,84.94375310818465
00:03:45.470.mp4,1,0,84.6600990657249
00:02:22.882.mp4,0,1,85.4634946351631
00:20:47.501.mp4,1,0,85.27721504792952
00:04:41.671.mp4,0,3,82.8101338782096
00:17:09.138.mp4,1,1,86.40052575215967
00:15:30.421.mp4,1,1,85.77371370862818
00:01:06.501.mp4,1,0,81.91817206151437
00:04:18.881.mp4,2,0,81.71359209186667
00:04:33.174.mp4,0,2,79.04179418275525
00:04:28.936.mp4,4,0,81.95744681262696
00:05:42.581.mp4,0,4,83.91914701646253
00:05:28.371.mp4,3,0,83.10465005349697
00:02:56.135.mp4,2,0,83.92344968703046
00:03:12.339.mp4,0,2,81.27772593716634
00:10:06.540.mp4,4,5,82.25515269301906
00:16:51.490.mp4,0,1,84.3989599762259
00:07:29.492.mp4,8,0,85.25981329611531
00:09:56.904.mp4,1,1,83.83915070386787
00:10:27.030.mp4,6,6,84.30460820592462
00:12:52.070.mp4,2,3,82.32233737463498
00:12:21.225.mp4,1,0,84.59790365411251
00:10:54.742.mp4,3,6,85.3070642581263
00:16:21.036.mp4,1,0,86.23939925540974
00:07:53.511.mp4,0,7,83.37861231179987
00:14:41.820.mp4,0,1,85.55034768686015
00:09:19.676.mp4,0,11,84.35753914518567
00:08:51.004.mp4,4,2,83.77025108757276
00:20:19.787.mp4,1,0,84.00679210021592
00:17:57.644.mp4,1,6,84.09453887936004
00:14:54.399.mp4,5,1,83.88642877511606
00:19:27.559.mp4,9,5,82.79201299315365
00:16:54.613.mp4,1,9,83.38985725834657
