File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,195.43053730880138
00:09:34.084.mp4,0,0,192.467590756375
00:17:10.535.mp4,0,0,208.56128960571849
00:12:19.952.mp4,0,0,205.46330076574768
00:09:38.088.mp4,0,0,214.531480721999
00:15:44.934.mp4,0,0,202.08563959927554
00:12:29.397.mp4,0,0,217.81673268784962
00:11:21.904.mp4,0,0,200.07479448261105
00:10:39.642.mp4,0,0,212.1358969745675
00:01:56.787.mp4,0,0,212.6283691313402
00:10:57.095.mp4,0,0,208.5036335019433
00:00:54.431.mp4,0,0,214.02769960806577
00:11:40.728.mp4,0,0,206.60563219426726
00:02:06.019.mp4,0,0,207.72111561502484
00:01:18.718.mp4,0,0,214.59700983997004
00:00:40.515.mp4,0,0,205.87703147461534
00:01:08.637.mp4,0,0,212.4025182107862
00:03:14.557.mp4,0,0,210.94966993454014
00:03:24.590.mp4,0,0,208.77452588178318
00:10:18.376.mp4,0,0,206.116000914497
00:21:04.004.mp4,0,0,207.88739294173575
00:14:57.864.mp4,0,0,198.4997855170538
00:01:43.464.mp4,0,0,209.08641086683218
00:09:14.543.mp4,0,0,203.56951258065394
00:00:44.976.mp4,0,0,213.49680871761828
00:20:31.154.mp4,0,0,220.4370947738949
00:10:31.171.mp4,0,0,207.54892527365863
00:00:30.442.mp4,0,0,209.3135752313128
00:02:45.437.mp4,0,0,209.96756878656095
00:01:35.018.mp4,0,0,207.6397159145241
00:02:56.377.mp4,0,0,210.9518450669937
00:07:23.982.mp4,0,0,203.9151058407659
00:07:13.094.mp4,0,0,206.23215730221077
00:13:57.166.mp4,0,0,205.34864534400555
00:01:33.260.mp4,0,0,211.61080690395417
00:01:46.723.mp4,0,0,209.14105043030497
00:12:35.997.mp4,0,0,211.80486548733992
00:02:09.862.mp4,0,0,206.74609633869156
00:08:16.887.mp4,0,0,205.63486990321059
00:06:41.309.mp4,0,0,208.16156063940142
00:06:29.647.mp4,0,0,207.94177518123254
00:03:56.751.mp4,0,0,210.63609979289217
00:03:57.024.mp4,0,0,209.8381918650585
00:08:29.506.mp4,0,0,206.85773167684948
00:04:09.367.mp4,0,0,211.9789935422083
00:01:18.633.mp4,0,0,211.34408435067144
00:03:45.470.mp4,0,0,211.42960040707862
00:02:22.882.mp4,0,0,204.9460597717031
00:20:47.501.mp4,0,0,224.0261328958807
00:04:41.671.mp4,0,0,206.66171605639494
00:17:09.138.mp4,0,0,204.00948787022523
00:15:30.421.mp4,0,0,201.0581000999271
00:01:06.501.mp4,0,0,207.2121205295206
00:04:18.881.mp4,0,0,211.81630002048092
00:04:33.174.mp4,0,0,209.43664925648886
00:04:28.936.mp4,0,0,211.72009496861742
00:05:42.581.mp4,0,0,213.89989785495405
00:05:28.371.mp4,0,0,212.16065273855338
00:02:56.135.mp4,0,0,210.0040546336376
00:03:12.339.mp4,0,0,213.08382105279966
00:10:06.540.mp4,1,0,211.20185239386151
00:16:51.490.mp4,0,0,204.17623893151944
00:07:29.492.mp4,0,0,217.23260921394223
00:09:56.904.mp4,0,0,208.32187810996626
00:10:27.030.mp4,0,0,220.14094617624957
00:12:52.070.mp4,0,0,224.53782400455444
00:12:21.225.mp4,0,0,216.25089493568254
00:10:54.742.mp4,0,1,215.67068750270178
00:16:21.036.mp4,0,0,203.19610401458178
00:07:53.511.mp4,0,1,222.7881107724482
00:14:41.820.mp4,0,0,208.8377004679685
00:09:19.676.mp4,0,0,216.54745258527595
00:08:51.004.mp4,2,0,219.16250189121354
00:20:19.787.mp4,1,0,201.84201060486754
00:17:57.644.mp4,0,0,207.28950378928067
00:14:54.399.mp4,2,0,217.31791076841495
00:19:27.559.mp4,1,0,220.2647042828561
00:16:54.613.mp4,0,2,220.76485354649458
