File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,60.76073295653531
00:09:34.084.mp4,0,0,61.55024779250578
00:17:10.535.mp4,0,0,62.3397700039607
00:12:19.952.mp4,0,1,62.01562553236474
00:09:38.088.mp4,1,0,61.73477877867302
00:15:44.934.mp4,1,1,61.9907376875817
00:12:29.397.mp4,0,3,61.9202214826908
00:11:21.904.mp4,1,1,62.36258547373067
00:10:39.642.mp4,1,0,61.83604887544588
00:01:56.787.mp4,1,0,62.11556745581584
00:10:57.095.mp4,1,1,62.640682888127934
00:00:54.431.mp4,0,1,62.20372007729229
00:11:40.728.mp4,1,1,62.360305072972814
00:02:06.019.mp4,0,0,61.89813888401656
00:01:18.718.mp4,0,1,62.52560992867197
00:00:40.515.mp4,0,1,62.50105120694862
00:01:08.637.mp4,1,0,62.05328754549087
00:03:14.557.mp4,2,0,62.48425104726106
00:03:24.590.mp4,0,2,61.453209244994866
00:10:18.376.mp4,2,0,62.03227758397803
00:21:04.004.mp4,1,0,61.71872649210446
00:14:57.864.mp4,0,1,61.91510912214986
00:01:43.464.mp4,0,1,61.843170173037954
00:09:14.543.mp4,0,1,62.60176199189215
00:00:44.976.mp4,0,0,61.81581405915417
00:20:31.154.mp4,0,0,61.52451130827872
00:10:31.171.mp4,0,2,62.534749401585685
00:00:30.442.mp4,1,0,61.85136483401132
00:02:45.437.mp4,2,0,62.299862978173365
00:01:35.018.mp4,1,0,62.661904954010595
00:02:56.377.mp4,0,2,62.66940118114166
00:07:23.982.mp4,0,1,62.0723860274663
00:07:13.094.mp4,1,0,62.62106035729734
00:13:57.166.mp4,0,1,62.02093376132054
00:01:33.260.mp4,0,0,62.20743339738322
00:01:46.723.mp4,0,1,62.42916184667348
00:12:35.997.mp4,1,0,62.43990714499143
00:02:09.862.mp4,0,0,61.9122837906773
00:08:16.887.mp4,3,0,62.11195253932668
00:06:41.309.mp4,0,1,62.18085477009755
00:06:29.647.mp4,0,0,62.27939031797255
00:03:56.751.mp4,3,0,62.11805533417619
00:03:57.024.mp4,0,2,62.39216089562249
00:08:29.506.mp4,0,4,61.86871834773655
00:04:09.367.mp4,0,3,62.45968080007714
00:01:18.633.mp4,0,1,62.43986355352969
00:03:45.470.mp4,1,0,62.539715187913906
00:02:22.882.mp4,0,1,62.23935864524767
00:20:47.501.mp4,0,0,61.833953108033064
00:04:41.671.mp4,0,3,62.07844395895754
00:17:09.138.mp4,1,0,63.010409503973285
00:15:30.421.mp4,1,1,61.95338834259851
00:01:06.501.mp4,1,0,62.56009305410045
00:04:18.881.mp4,2,0,62.65402604827449
00:04:33.174.mp4,0,2,62.30512630115564
00:04:28.936.mp4,4,0,62.617319922143835
00:05:42.581.mp4,0,4,62.74648533137008
00:05:28.371.mp4,1,1,62.339890112975226
00:02:56.135.mp4,2,0,62.526473369012585
00:03:12.339.mp4,0,1,62.12427033028555
00:10:06.540.mp4,3,5,62.291431557627746
00:16:51.490.mp4,0,1,62.3266088604933
00:07:29.492.mp4,7,1,62.17428224633769
00:09:56.904.mp4,1,1,62.53418728842009
00:10:27.030.mp4,10,5,61.97407967411208
00:12:52.070.mp4,12,15,61.66973115335007
00:12:21.225.mp4,2,0,62.099713346139
00:10:54.742.mp4,3,7,62.332868491435995
00:16:21.036.mp4,1,0,62.554539355652494
00:07:53.511.mp4,0,6,62.42677401899997
00:14:41.820.mp4,0,1,62.555998315418485
00:09:19.676.mp4,1,10,62.00884920863571
00:08:51.004.mp4,14,3,62.41691516837246
00:20:19.787.mp4,1,1,62.062954748307554
00:17:57.644.mp4,1,6,62.1164252189137
00:14:54.399.mp4,9,12,62.3406031857661
00:19:27.559.mp4,8,6,61.98558093148727
00:16:54.613.mp4,4,11,62.35662021677804
