File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,168.7212430832572
00:09:34.084.mp4,0,0,169.08381965371115
00:17:10.535.mp4,0,0,171.11464158277906
00:12:19.952.mp4,0,0,191.14470683705625
00:09:38.088.mp4,0,0,206.2462140212454
00:15:44.934.mp4,0,0,196.60753655281658
00:12:29.397.mp4,0,1,210.00494657895823
00:11:21.904.mp4,0,0,195.6065434979177
00:10:39.642.mp4,0,0,203.02496565259307
00:01:56.787.mp4,0,0,203.61247316972998
00:10:57.095.mp4,0,0,207.46926540610758
00:00:54.431.mp4,0,0,211.63029742854505
00:11:40.728.mp4,0,0,204.20727597305998
00:02:06.019.mp4,0,0,201.12995666701408
00:01:18.718.mp4,0,0,210.01702337798145
00:00:40.515.mp4,0,0,202.08332272006095
00:01:08.637.mp4,0,0,208.69260622947556
00:03:14.557.mp4,0,0,206.4369444582627
00:03:24.590.mp4,0,0,200.8292900785068
00:10:18.376.mp4,0,0,193.85864022226446
00:21:04.004.mp4,0,0,188.64093154422181
00:14:57.864.mp4,0,0,180.84638851764504
00:01:43.464.mp4,0,0,197.36499921382912
00:09:14.543.mp4,0,0,187.0584740250284
00:00:44.976.mp4,0,0,209.28740051042007
00:20:31.154.mp4,0,0,212.29058181937532
00:10:31.171.mp4,0,0,201.4703591134781
00:00:30.442.mp4,0,0,206.40696268953076
00:02:45.437.mp4,0,0,207.92072304128592
00:01:35.018.mp4,0,0,202.55759321588104
00:02:56.377.mp4,0,0,207.12255855330113
00:07:23.982.mp4,0,0,200.56532725937495
00:07:13.094.mp4,0,0,204.9581594295759
00:13:57.166.mp4,0,0,201.93039494710646
00:01:33.260.mp4,0,0,209.48205918429122
00:01:46.723.mp4,0,0,208.27316234244
00:12:35.997.mp4,0,0,210.0363534118084
00:02:09.862.mp4,0,0,208.92161157213934
00:08:16.887.mp4,0,0,197.37309092273898
00:06:41.309.mp4,0,0,193.4498070124539
00:06:29.647.mp4,0,0,208.18088879918395
00:03:56.751.mp4,0,0,190.23729942558685
00:03:57.024.mp4,0,0,200.44159024109965
00:08:29.506.mp4,0,0,203.60371472158124
00:04:09.367.mp4,0,0,203.80331001713427
00:01:18.633.mp4,0,0,182.7731376366559
00:03:45.470.mp4,0,0,199.83460023006893
00:02:22.882.mp4,0,0,192.54623614838286
00:20:47.501.mp4,0,0,191.91813424218248
00:04:41.671.mp4,0,0,207.91774534788343
00:17:09.138.mp4,0,0,197.25980745095595
00:15:30.421.mp4,0,0,191.69375887355315
00:01:06.501.mp4,0,0,194.41678962307552
00:04:18.881.mp4,0,0,155.07761600469524
00:04:33.174.mp4,0,0,169.22254954993755
00:04:28.936.mp4,0,0,205.27456246020492
00:05:42.581.mp4,0,0,183.37850469587505
00:05:28.371.mp4,0,0,168.68944739806372
00:02:56.135.mp4,0,0,189.9572695055536
00:03:12.339.mp4,0,0,184.55582044587965
00:10:06.540.mp4,0,0,188.64441728534817
00:16:51.490.mp4,0,0,178.87253929483478
00:07:29.492.mp4,0,0,192.57606937362382
00:09:56.904.mp4,0,0,185.24956073691254
00:10:27.030.mp4,0,0,195.23140511378128
00:12:52.070.mp4,0,0,195.57533917942783
00:12:21.225.mp4,0,0,209.0201500320053
00:10:54.742.mp4,0,1,215.22596928581615
00:16:21.036.mp4,0,0,188.91070033719384
00:07:53.511.mp4,0,0,193.8173779582013
00:14:41.820.mp4,0,0,183.64016420936397
00:09:19.676.mp4,0,0,194.49139826797182
00:08:51.004.mp4,2,0,193.73316708075473
00:20:19.787.mp4,0,1,214.6525025147351
00:17:57.644.mp4,0,0,214.83617721376623
00:14:54.399.mp4,2,0,189.1557562508352
00:19:27.559.mp4,0,0,202.71429638000686
00:16:54.613.mp4,0,1,209.71223161247525
