File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,164.9601506362875
00:09:34.084.mp4,1,0,168.56024894993126
00:17:10.535.mp4,0,0,181.2570585916055
00:12:19.952.mp4,0,0,179.85139685982307
00:09:38.088.mp4,0,0,181.43789668132834
00:15:44.934.mp4,0,0,174.03333944994165
00:12:29.397.mp4,0,2,184.52683347601536
00:11:21.904.mp4,0,1,173.01408036724655
00:10:39.642.mp4,0,0,179.08392158345208
00:01:56.787.mp4,1,0,182.5354329493132
00:10:57.095.mp4,0,0,180.26436990231016
00:00:54.431.mp4,0,0,186.9528277046129
00:11:40.728.mp4,0,0,179.20056308047302
00:02:06.019.mp4,0,0,175.5421070895818
00:01:18.718.mp4,0,1,179.26455053083544
00:00:40.515.mp4,0,1,174.95281529174247
00:01:08.637.mp4,0,0,180.27048369409465
00:03:14.557.mp4,0,0,180.5000431882587
00:03:24.590.mp4,0,2,180.26317947635556
00:10:18.376.mp4,0,0,176.66434115619114
00:21:04.004.mp4,0,0,184.9225829125654
00:14:57.864.mp4,0,1,171.58491106071003
00:01:43.464.mp4,0,1,179.8806740146213
00:09:14.543.mp4,1,0,177.52911167015017
00:00:44.976.mp4,1,0,183.99210941778526
00:20:31.154.mp4,0,0,186.06768065361416
00:10:31.171.mp4,1,0,178.42551000055218
00:00:30.442.mp4,1,0,177.13282350296842
00:02:45.437.mp4,2,0,179.7055133366916
00:01:35.018.mp4,1,0,174.94347483181926
00:02:56.377.mp4,0,1,181.71896636569076
00:07:23.982.mp4,0,1,173.9368793147932
00:07:13.094.mp4,1,0,178.12762325053788
00:13:57.166.mp4,0,1,173.96703697273395
00:01:33.260.mp4,1,0,179.45236468596383
00:01:46.723.mp4,0,0,180.9531159797635
00:12:35.997.mp4,1,0,183.18612307689386
00:02:09.862.mp4,1,0,176.88289320829264
00:08:16.887.mp4,1,0,174.9377806182624
00:06:41.309.mp4,0,0,177.1542042235336
00:06:29.647.mp4,1,0,180.0736688999224
00:03:56.751.mp4,2,0,181.2662581433137
00:03:57.024.mp4,0,0,182.25601381259807
00:08:29.506.mp4,0,2,177.67946453347318
00:04:09.367.mp4,0,1,182.98859167497181
00:01:18.633.mp4,0,0,179.09983430209118
00:03:45.470.mp4,1,0,182.19499958129947
00:02:22.882.mp4,0,0,177.57615423217976
00:20:47.501.mp4,0,0,188.56548036853138
00:04:41.671.mp4,0,3,180.45922089875307
00:17:09.138.mp4,0,1,177.3506795001476
00:15:30.421.mp4,0,0,175.12087562893288
00:01:06.501.mp4,1,0,179.53312377839399
00:04:18.881.mp4,1,0,178.5824213963742
00:04:33.174.mp4,0,1,179.71262631780777
00:04:28.936.mp4,0,0,181.50720561079922
00:05:42.581.mp4,0,2,184.15974800542043
00:05:28.371.mp4,1,0,180.61486708692993
00:02:56.135.mp4,1,0,177.7817949855791
00:03:12.339.mp4,0,1,181.0355140725945
00:10:06.540.mp4,1,2,186.43992343359753
00:16:51.490.mp4,0,0,177.23591453546712
00:07:29.492.mp4,2,0,186.8609543302562
00:09:56.904.mp4,1,0,180.05899330761443
00:10:27.030.mp4,3,3,187.86417700430474
00:12:52.070.mp4,0,0,190.6007946996606
00:12:21.225.mp4,0,0,186.97673944114663
00:10:54.742.mp4,0,2,186.01014358348326
00:16:21.036.mp4,0,0,175.77715726361728
00:07:53.511.mp4,0,1,186.86872557769195
00:14:41.820.mp4,0,1,179.11965895769183
00:09:19.676.mp4,1,4,187.54538759907228
00:08:51.004.mp4,3,0,187.68434213877293
00:20:19.787.mp4,0,0,189.04281511624924
00:17:57.644.mp4,0,2,187.83816882124654
00:14:54.399.mp4,3,0,182.76680947576259
00:19:27.559.mp4,5,3,190.00098408526395
00:16:54.613.mp4,0,2,187.21160057661137
