File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,188.7768327149
00:09:34.084.mp4,0,0,200.67406640135866
00:17:10.535.mp4,0,0,212.64144822594136
00:12:19.952.mp4,0,0,202.4258169930069
00:09:38.088.mp4,0,0,217.98675210024206
00:15:44.934.mp4,0,0,203.0619030060127
00:12:29.397.mp4,0,0,221.911174398028
00:11:21.904.mp4,0,0,204.3406681471602
00:10:39.642.mp4,0,0,213.8870974243868
00:01:56.787.mp4,0,0,219.5312282121059
00:10:57.095.mp4,0,0,213.14457321500643
00:00:54.431.mp4,0,0,217.86508918723885
00:11:40.728.mp4,0,0,208.9694113895741
00:02:06.019.mp4,0,0,210.81857463221255
00:01:18.718.mp4,0,0,214.82216897984011
00:00:40.515.mp4,0,0,209.15428971825375
00:01:08.637.mp4,0,0,217.4630760625467
00:03:14.557.mp4,0,0,215.53269690534643
00:03:24.590.mp4,0,0,214.5712294540574
00:10:18.376.mp4,0,0,211.23045676043128
00:21:04.004.mp4,0,0,226.0268881047834
00:14:57.864.mp4,0,0,201.9651641623214
00:01:43.464.mp4,0,0,205.0874411919744
00:09:14.543.mp4,0,0,212.45723522517056
00:00:44.976.mp4,0,0,217.2694388482041
00:20:31.154.mp4,0,0,222.98003899194305
00:10:31.171.mp4,0,0,211.1765487096719
00:00:30.442.mp4,0,0,212.73773677139437
00:02:45.437.mp4,0,0,214.37894810667538
00:01:35.018.mp4,0,0,209.65978015908823
00:02:56.377.mp4,0,0,213.63590599266638
00:07:23.982.mp4,0,0,208.65436423550392
00:07:13.094.mp4,0,0,208.5946050880248
00:13:57.166.mp4,0,0,206.4335353515595
00:01:33.260.mp4,0,0,217.71331239478695
00:01:46.723.mp4,0,0,214.63116989934704
00:12:35.997.mp4,0,0,214.78851130753463
00:02:09.862.mp4,0,0,208.97046815889618
00:08:16.887.mp4,0,0,208.1208746351402
00:06:41.309.mp4,0,0,212.81028345334474
00:06:29.647.mp4,0,0,214.56876404697056
00:03:56.751.mp4,0,0,219.4646769256359
00:03:57.024.mp4,0,0,218.37821979885592
00:08:29.506.mp4,0,0,213.92178385018016
00:04:09.367.mp4,0,0,217.87975701188168
00:01:18.633.mp4,0,0,213.6276289076338
00:03:45.470.mp4,0,0,213.108268411936
00:02:22.882.mp4,0,0,212.9582713143046
00:20:47.501.mp4,0,0,232.00775210639824
00:04:41.671.mp4,0,0,215.0014745137666
00:17:09.138.mp4,0,0,209.68104228182185
00:15:30.421.mp4,0,0,207.6217276742682
00:01:06.501.mp4,0,0,208.72941316012717
00:04:18.881.mp4,0,0,208.09700927898174
00:04:33.174.mp4,0,0,209.1960277581113
00:04:28.936.mp4,0,0,217.50558795286472
00:05:42.581.mp4,0,0,218.02449186260827
00:05:28.371.mp4,0,0,215.38225274493982
00:02:56.135.mp4,0,0,213.60315526152976
00:03:12.339.mp4,0,0,215.5968478531634
00:10:06.540.mp4,0,0,224.4322788103219
00:16:51.490.mp4,0,0,202.55675065555909
00:07:29.492.mp4,0,0,219.66936610330626
00:09:56.904.mp4,0,0,212.57157922751801
00:10:27.030.mp4,0,0,228.4796934140784
00:12:52.070.mp4,0,0,230.82858107563206
00:12:21.225.mp4,0,0,229.4773253993626
00:10:54.742.mp4,0,0,224.7648745919611
00:16:21.036.mp4,0,0,207.80711702124663
00:07:53.511.mp4,0,0,226.21347123278966
00:14:41.820.mp4,0,0,212.50887435595638
00:09:19.676.mp4,0,0,225.15681521572387
00:08:51.004.mp4,0,0,225.79751112744964
00:20:19.787.mp4,0,0,222.85394134019057
00:17:57.644.mp4,0,0,227.72051471289927
00:14:54.399.mp4,0,0,225.52221734244702
00:19:27.559.mp4,0,0,226.9037629012303
00:16:54.613.mp4,0,0,219.3377456501165
