File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,159.13104875772584
00:09:34.084.mp4,0,1,164.23387198748193
00:17:10.535.mp4,0,0,175.9206753716012
00:12:19.952.mp4,0,0,170.85773514068464
00:09:38.088.mp4,0,0,174.73494046036075
00:15:44.934.mp4,1,0,164.4548226836726
00:12:29.397.mp4,0,0,181.05750685902848
00:11:21.904.mp4,0,1,164.59613431642578
00:10:39.642.mp4,0,0,173.60935956247178
00:01:56.787.mp4,0,0,174.87405263950356
00:10:57.095.mp4,1,1,175.09678163123127
00:00:54.431.mp4,0,1,177.27474278647657
00:11:40.728.mp4,0,0,168.4637598889307
00:02:06.019.mp4,0,0,166.15703999616423
00:01:18.718.mp4,0,1,172.48325257191422
00:00:40.515.mp4,0,1,167.58220064667873
00:01:08.637.mp4,1,0,172.60046266516218
00:03:14.557.mp4,1,0,172.02430594412868
00:03:24.590.mp4,0,1,171.72676460410375
00:10:18.376.mp4,0,0,171.6818038775786
00:21:04.004.mp4,0,0,180.2588105647138
00:14:57.864.mp4,0,1,164.06757259777868
00:01:43.464.mp4,0,1,171.57052824097076
00:09:14.543.mp4,1,1,171.68063909381888
00:00:44.976.mp4,1,0,174.3524776567324
00:20:31.154.mp4,0,0,182.49818115289483
00:10:31.171.mp4,1,0,169.36665168678743
00:00:30.442.mp4,1,0,168.0497044154785
00:02:45.437.mp4,1,0,170.73622934860074
00:01:35.018.mp4,0,0,168.78761266805665
00:02:56.377.mp4,0,2,171.56546688436154
00:07:23.982.mp4,0,0,166.2916799084806
00:07:13.094.mp4,0,0,169.04440610536395
00:13:57.166.mp4,0,1,167.96434997737796
00:01:33.260.mp4,1,0,171.3330408215735
00:01:46.723.mp4,0,0,171.34441950304662
00:12:35.997.mp4,0,0,172.92358584408137
00:02:09.862.mp4,1,0,170.6583462515061
00:08:16.887.mp4,0,0,169.37945331627884
00:06:41.309.mp4,0,0,168.80962147849243
00:06:29.647.mp4,0,0,172.43965286048365
00:03:56.751.mp4,1,0,172.59966637547228
00:03:57.024.mp4,0,0,172.2954023150898
00:08:29.506.mp4,0,0,169.71505006769718
00:04:09.367.mp4,0,1,174.22286372727146
00:01:18.633.mp4,0,0,171.4841499789979
00:03:45.470.mp4,1,0,171.00086533865138
00:02:22.882.mp4,0,1,168.81605112076414
00:20:47.501.mp4,0,0,181.06146641551226
00:04:41.671.mp4,0,2,171.6197806649498
00:17:09.138.mp4,0,1,168.09778167062325
00:15:30.421.mp4,1,1,166.86213899181405
00:01:06.501.mp4,1,0,170.05753948267468
00:04:18.881.mp4,0,0,169.47796426986937
00:04:33.174.mp4,0,0,170.8056512862792
00:04:28.936.mp4,2,0,174.5393980863794
00:05:42.581.mp4,0,1,172.35198631689443
00:05:28.371.mp4,2,0,174.36149172829099
00:02:56.135.mp4,1,0,169.67710565647633
00:03:12.339.mp4,0,0,173.75620137312688
00:10:06.540.mp4,2,1,178.90738446514007
00:16:51.490.mp4,0,1,170.09566680860556
00:07:29.492.mp4,1,0,178.0821485640973
00:09:56.904.mp4,1,0,169.65579853763373
00:10:27.030.mp4,3,1,177.55039979031338
00:12:52.070.mp4,0,0,178.40059522965595
00:12:21.225.mp4,0,0,187.52941514914917
00:10:54.742.mp4,2,1,180.5941755550975
00:16:21.036.mp4,1,0,169.68318402247007
00:07:53.511.mp4,0,0,179.45461991686344
00:14:41.820.mp4,0,1,171.0900579663668
00:09:19.676.mp4,0,1,180.67599310002615
00:08:51.004.mp4,1,0,178.09030088946295
00:20:19.787.mp4,0,0,182.98988429402243
00:17:57.644.mp4,0,1,181.01993923471605
00:14:54.399.mp4,0,0,180.56449926757804
00:19:27.559.mp4,2,2,183.53918339967484
00:16:54.613.mp4,0,1,179.43034855523638
