File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,186.01216801869415
00:09:34.084.mp4,0,0,188.21461710305783
00:17:10.535.mp4,0,0,204.95820854193067
00:12:19.952.mp4,0,0,195.2463161133022
00:09:38.088.mp4,0,0,203.5962946487051
00:15:44.934.mp4,0,0,194.41025284479363
00:12:29.397.mp4,0,0,209.3043972301904
00:11:21.904.mp4,0,0,189.62032084484835
00:10:39.642.mp4,0,0,198.77789793412464
00:01:56.787.mp4,0,0,203.58211590560376
00:10:57.095.mp4,0,0,200.896056297811
00:00:54.431.mp4,0,0,202.56173241960175
00:11:40.728.mp4,0,0,193.77727067937934
00:02:06.019.mp4,0,0,197.5258162784757
00:01:18.718.mp4,0,0,204.39320094707904
00:00:40.515.mp4,0,0,197.30978265757275
00:01:08.637.mp4,0,0,201.44655415820762
00:03:14.557.mp4,0,0,205.17532945137154
00:03:24.590.mp4,0,0,202.55450189888492
00:10:18.376.mp4,0,0,199.27134590696318
00:21:04.004.mp4,0,0,208.2433894635015
00:14:57.864.mp4,0,0,189.83033708028043
00:01:43.464.mp4,0,0,202.0498714030753
00:09:14.543.mp4,0,0,198.12101022766015
00:00:44.976.mp4,0,0,205.78115897557754
00:20:31.154.mp4,0,0,211.5363984364363
00:10:31.171.mp4,0,0,198.23803811483216
00:00:30.442.mp4,0,0,198.00181395269325
00:02:45.437.mp4,0,0,191.70237348624875
00:01:35.018.mp4,0,0,189.33534679144813
00:02:56.377.mp4,0,0,199.3507160145813
00:07:23.982.mp4,0,0,193.95443783068396
00:07:13.094.mp4,0,0,198.11090030238154
00:13:57.166.mp4,0,0,193.13807256705033
00:01:33.260.mp4,0,0,202.65303314895976
00:01:46.723.mp4,0,0,199.14177360199747
00:12:35.997.mp4,0,0,202.04943200025613
00:02:09.862.mp4,0,0,199.4683377772192
00:08:16.887.mp4,0,0,197.63090599925835
00:06:41.309.mp4,0,0,200.20083513148555
00:06:29.647.mp4,0,0,199.72551835794573
00:03:56.751.mp4,0,0,200.85084526120932
00:03:57.024.mp4,0,0,203.36178977197088
00:08:29.506.mp4,0,0,201.77651525076712
00:04:09.367.mp4,0,0,204.3621392657606
00:01:18.633.mp4,0,0,201.4310931007246
00:03:45.470.mp4,0,0,201.99941164029147
00:02:22.882.mp4,0,0,197.01827281603727
00:20:47.501.mp4,0,0,215.83842798202545
00:04:41.671.mp4,0,0,199.87550028506854
00:17:09.138.mp4,0,0,196.08990359141825
00:15:30.421.mp4,0,0,192.3468988606623
00:01:06.501.mp4,0,0,198.79811889738477
00:04:18.881.mp4,0,0,184.14438112444697
00:04:33.174.mp4,0,0,196.88647130284897
00:04:28.936.mp4,0,0,198.94526835146638
00:05:42.581.mp4,0,0,191.5627126642507
00:05:28.371.mp4,0,0,197.44072453728455
00:02:56.135.mp4,0,0,198.43589765333945
00:03:12.339.mp4,0,0,201.42556411102674
00:10:06.540.mp4,0,0,208.7020692693814
00:16:51.490.mp4,0,0,195.45700932305058
00:07:29.492.mp4,0,0,211.48720995427448
00:09:56.904.mp4,0,0,198.9615718117644
00:10:27.030.mp4,0,0,210.88169791783412
00:12:52.070.mp4,0,0,216.14099162890832
00:12:21.225.mp4,0,0,214.3080143376977
00:10:54.742.mp4,0,0,212.988197014276
00:16:21.036.mp4,0,0,197.05591404633088
00:07:53.511.mp4,0,0,211.64878221261918
00:14:41.820.mp4,0,0,199.5123541107178
00:09:19.676.mp4,0,0,211.559921143168
00:08:51.004.mp4,1,0,210.12732274362895
00:20:19.787.mp4,1,0,212.377411097012
00:17:57.644.mp4,0,0,212.0838688160018
00:14:54.399.mp4,0,0,207.49285379219614
00:19:27.559.mp4,0,0,214.33676245387227
00:16:54.613.mp4,1,0,208.00551111275325
