File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,134.35499725410176
00:09:34.084.mp4,1,0,137.7341204503166
00:17:10.535.mp4,0,0,145.6904205394564
00:12:19.952.mp4,0,0,141.1216557355013
00:09:38.088.mp4,0,0,146.3009521042718
00:15:44.934.mp4,1,1,139.64005736117088
00:12:29.397.mp4,0,2,148.39937566738453
00:11:21.904.mp4,1,0,138.18024052058553
00:10:39.642.mp4,0,0,144.40459674012916
00:01:56.787.mp4,1,0,145.9981405602961
00:10:57.095.mp4,0,1,144.2096937637306
00:00:54.431.mp4,0,0,146.64333243855245
00:11:40.728.mp4,0,1,141.91101198658762
00:02:06.019.mp4,0,1,141.6707777322433
00:01:18.718.mp4,0,1,144.80242425637317
00:00:40.515.mp4,0,1,139.63864817483332
00:01:08.637.mp4,0,0,144.30159961869117
00:03:14.557.mp4,1,0,145.86957275082807
00:03:24.590.mp4,0,1,144.0396535762756
00:10:18.376.mp4,0,0,143.26806293991135
00:21:04.004.mp4,0,0,149.78516306041718
00:14:57.864.mp4,0,1,136.32501583769888
00:01:43.464.mp4,0,0,144.89587766669737
00:09:14.543.mp4,0,1,141.22740316427166
00:00:44.976.mp4,0,0,145.25800003957966
00:20:31.154.mp4,0,0,146.64205137604256
00:10:31.171.mp4,0,0,142.74899802512567
00:00:30.442.mp4,1,0,141.40003026275394
00:02:45.437.mp4,0,0,143.0816560396483
00:01:35.018.mp4,0,0,141.67209849757205
00:02:56.377.mp4,0,1,144.59318482990935
00:07:23.982.mp4,0,1,139.68958475813224
00:07:13.094.mp4,1,0,141.64637337547464
00:13:57.166.mp4,0,0,140.35496852847368
00:01:33.260.mp4,0,0,143.8397763281257
00:01:46.723.mp4,0,0,143.6073810216735
00:12:35.997.mp4,0,0,144.90916585962833
00:02:09.862.mp4,1,0,141.75928806898455
00:08:16.887.mp4,1,0,140.0542762862553
00:06:41.309.mp4,0,0,141.3432705290136
00:06:29.647.mp4,0,0,144.21426756435724
00:03:56.751.mp4,0,0,142.04229396504482
00:03:57.024.mp4,0,1,145.89977634914868
00:08:29.506.mp4,0,0,142.1671860689737
00:04:09.367.mp4,0,2,145.76222664015904
00:01:18.633.mp4,0,1,144.20433757525643
00:03:45.470.mp4,1,0,144.2037409230972
00:02:22.882.mp4,0,0,139.9204418035197
00:20:47.501.mp4,0,0,151.6472654840822
00:04:41.671.mp4,0,3,143.67938204746363
00:17:09.138.mp4,0,1,139.91854513080162
00:15:30.421.mp4,0,0,140.43459918437318
00:01:06.501.mp4,0,0,144.10315035571375
00:04:18.881.mp4,1,0,142.72448808872278
00:04:33.174.mp4,0,0,143.54160501181934
00:04:28.936.mp4,1,0,145.20538808769984
00:05:42.581.mp4,0,2,146.19405975694977
00:05:28.371.mp4,0,0,143.078095924115
00:02:56.135.mp4,1,0,143.86465088337886
00:03:12.339.mp4,0,0,144.0932715213847
00:10:06.540.mp4,1,1,147.83512673121587
00:16:51.490.mp4,0,0,140.71863717668577
00:07:29.492.mp4,3,0,147.39765926546906
00:09:56.904.mp4,0,1,141.39817482662784
00:10:27.030.mp4,1,4,149.53045388962994
00:12:52.070.mp4,0,0,149.04364728926606
00:12:21.225.mp4,1,0,150.42315008663266
00:10:54.742.mp4,2,1,148.10652018436087
00:16:21.036.mp4,0,0,142.12444163846968
00:07:53.511.mp4,0,2,147.63895758972978
00:14:41.820.mp4,0,0,143.4150619485099
00:09:19.676.mp4,0,3,147.28693424954128
00:08:51.004.mp4,2,0,148.978797818415
00:20:19.787.mp4,1,0,149.54373342942213
00:17:57.644.mp4,1,0,150.9302500771808
00:14:54.399.mp4,0,0,148.63085585353465
00:19:27.559.mp4,1,3,151.15470047809424
00:16:54.613.mp4,0,1,147.28472327758814
