File,UP,DOWN,FPS
00:00:30.442.mp4,1,0,10.63847325
00:00:40.515.mp4,0,0,6.609453872
00:00:44.976.mp4,1,0,11.46250392
00:00:54.431.mp4,0,1,14.35038298
00:01:06.501.mp4,1,0,7.280354491
00:01:08.637.mp4,1,0,10.90004226
00:01:18.633.mp4,0,0,10.49023205
00:01:18.718.mp4,0,1,10.36431872
00:01:33.260.mp4,1,0,9.377444414
00:01:35.018.mp4,0,0,9.5211996
00:01:43.464.mp4,0,1,9.072830279
00:01:46.723.mp4,0,0,13.36890017
00:01:56.787.mp4,0,0,13.82605611
00:02:06.019.mp4,0,0,11.0822078
00:02:09.862.mp4,1,0,12.8727718
00:02:22.882.mp4,0,1,7.13120199
00:02:45.437.mp4,1,0,10.29953704
00:02:56.135.mp4,1,0,8.011323379
00:02:56.377.mp4,0,2,9.374631633
00:03:12.339.mp4,0,0,10.46739455
00:03:14.557.mp4,1,0,10.85436563
00:03:24.590.mp4,0,1,8.917258364
00:03:45.470.mp4,0,0,10.07251601
00:03:56.751.mp4,2,0,14.37646
00:03:57.024.mp4,0,0,13.90333561
00:04:09.367.mp4,0,1,10.79850833
00:04:18.881.mp4,0,0,13.09766409
00:04:28.936.mp4,2,0,11.1892883
00:04:33.174.mp4,0,0,8.174659504
00:04:41.671.mp4,0,1,8.414726801
00:05:28.371.mp4,2,0,10.13579557
00:05:42.581.mp4,0,0,12.25522155
00:06:29.647.mp4,0,0,14.47000657
00:06:41.309.mp4,0,0,13.48231034
00:07:13.094.mp4,0,0,10.30513963
00:07:23.982.mp4,0,0,10.7751028
00:07:29.492.mp4,0,0,13.76910391
00:07:53.511.mp4,0,0,15.26567141
00:08:16.887.mp4,0,0,13.9476788
00:08:29.506.mp4,0,1,13.09977157
00:08:45.578.mp4,0,0,9.693666986
00:08:51.004.mp4,0,0,12.18937957
00:09:14.543.mp4,1,0,8.791764154
00:09:19.676.mp4,0,1,13.78847728
00:09:34.084.mp4,0,1,12.44519631
00:09:38.088.mp4,0,0,13.29278823
00:09:56.904.mp4,1,0,14.03770907
00:10:06.540.mp4,2,1,11.03943021
00:10:18.376.mp4,0,0,9.287915071
00:10:27.030.mp4,1,2,12.32588657
00:10:31.171.mp4,1,1,9.48528262
00:10:39.642.mp4,0,0,9.919023461
00:10:54.742.mp4,1,1,15.13444288
00:10:57.095.mp4,1,0,13.19078263
00:11:21.904.mp4,0,0,11.13443087
00:11:40.728.mp4,0,0,12.63550166
00:12:19.952.mp4,0,0,12.01625003
00:12:21.225.mp4,0,0,17.41581055
00:12:29.397.mp4,0,0,10.11980634
00:12:35.997.mp4,0,0,14.81349657
00:12:52.070.mp4,0,0,11.76359946
00:13:57.166.mp4,0,0,9.976144867
00:14:41.820.mp4,0,1,14.72758347
00:14:54.399.mp4,0,0,12.58764987
00:14:57.864.mp4,0,1,9.925410863
00:15:30.421.mp4,1,1,10.71249295
00:15:44.934.mp4,1,1,10.02353536
00:16:21.036.mp4,1,0,14.73319941
00:16:51.490.mp4,0,1,14.3596013
00:16:54.613.mp4,1,0,13.84691313
00:17:09.138.mp4,0,0,13.17147456
00:17:10.535.mp4,0,0,10.77181468
00:17:57.644.mp4,0,0,11.81585746
00:19:27.559.mp4,3,0,12.34840007
00:20:19.787.mp4,0,0,13.33920622
00:20:31.154.mp4,0,0,10.62748623
00:20:47.501.mp4,0,0,9.292639739
00:21:04.004.mp4,1,0,9.925184091
