File,UP,DOWN,FPS
00:00:30.442.mp4,1,0,29.69013104
00:00:40.515.mp4,0,1,29.76090487
00:00:44.976.mp4,1,0,30.27678803
00:00:54.431.mp4,0,1,30.24207448
00:01:06.501.mp4,1,0,30.14101036
00:01:08.637.mp4,1,0,29.82570818
00:01:18.633.mp4,0,1,29.95930711
00:01:18.718.mp4,0,1,29.73989253
00:01:33.260.mp4,1,0,29.76290222
00:01:35.018.mp4,1,0,29.82594761
00:01:43.464.mp4,0,1,29.87285772
00:01:46.723.mp4,0,1,29.63576492
00:01:56.787.mp4,1,0,29.79894935
00:02:06.019.mp4,0,1,27.60235809
00:02:09.862.mp4,1,0,30.08975032
00:02:22.882.mp4,0,1,30.28631298
00:02:45.437.mp4,2,0,29.88362637
00:02:56.135.mp4,2,0,29.926079
00:02:56.377.mp4,0,2,29.46456327
00:03:12.339.mp4,0,2,29.9749243
00:03:14.557.mp4,2,0,30.10754093
00:03:24.590.mp4,0,2,28.93880008
00:03:45.470.mp4,1,0,29.65583798
00:03:56.751.mp4,3,0,29.63717299
00:03:57.024.mp4,0,1,29.6982675
00:04:09.367.mp4,0,3,29.81313771
00:04:18.881.mp4,2,0,30.3274631
00:04:28.936.mp4,3,0,29.9370055
00:04:33.174.mp4,0,1,29.98023192
00:04:41.671.mp4,0,3,29.75100967
00:05:28.371.mp4,2,0,30.05973128
00:05:42.581.mp4,0,3,29.86223854
00:06:29.647.mp4,1,0,30.06521534
00:06:41.309.mp4,0,1,30.03508543
00:07:13.094.mp4,1,0,29.76641151
00:07:23.982.mp4,0,1,29.38124949
00:07:29.492.mp4,5,0,29.79076708
00:07:53.511.mp4,0,8,29.95634063
00:08:16.887.mp4,2,0,29.92217373
00:08:29.506.mp4,0,1,29.76952407
00:08:45.578.mp4,1,0,28.59035021
00:08:51.004.mp4,4,0,30.22411129
00:09:14.543.mp4,1,1,30.1722611
00:09:19.676.mp4,1,7,30.12123828
00:09:34.084.mp4,1,1,30.24240132
00:09:38.088.mp4,2,0,29.76515056
00:09:56.904.mp4,0,2,29.66894854
00:10:06.540.mp4,4,6,29.86450566
00:10:18.376.mp4,1,1,30.28777379
00:10:27.030.mp4,6,7,30.01016594
00:10:31.171.mp4,1,1,29.36540794
00:10:39.642.mp4,0,0,30.76532676
00:10:54.742.mp4,5,5,29.84140007
00:10:57.095.mp4,1,1,30.18999738
00:11:21.904.mp4,1,1,29.83331297
00:11:40.728.mp4,1,1,30.92843216
00:12:19.952.mp4,0,1,29.67671779
00:12:21.225.mp4,1,1,29.73735827
00:12:29.397.mp4,0,4,29.97685197
00:12:35.997.mp4,1,0,29.78568975
00:12:52.070.mp4,0,1,30.0043066
00:13:57.166.mp4,1,1,29.78450624
00:14:41.820.mp4,0,1,30.12503593
00:14:54.399.mp4,3,1,29.94165241
00:14:57.864.mp4,0,1,30.28579967
00:15:30.421.mp4,1,1,29.95652336
00:15:44.934.mp4,1,1,29.25307411
00:16:21.036.mp4,1,0,29.83044421
00:16:51.490.mp4,0,1,30.05988927
00:16:54.613.mp4,1,2,30.02471435
00:17:09.138.mp4,1,1,29.82256853
00:17:10.535.mp4,0,0,30.20222648
00:17:57.644.mp4,1,2,30.04426887
00:19:27.559.mp4,11,4,29.8529363
00:20:19.787.mp4,1,4,29.91463252
00:20:31.154.mp4,0,1,29.51563075
00:20:47.501.mp4,0,0,30.08168618
00:21:04.004.mp4,0,0,30.33827397
