File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,28.7676636
00:09:34.084.mp4,1,1,29.93847721
00:17:10.535.mp4,1,0,29.28334544
00:12:19.952.mp4,0,1,27.23968206
00:09:38.088.mp4,3,0,27.61748322
00:15:44.934.mp4,0,0,25.77785085
00:12:29.397.mp4,2,3,23.19257027
00:11:21.904.mp4,0,3,27.69642579
00:10:39.642.mp4,0,0,27.49134514
00:01:56.787.mp4,0,0,28.49146036
00:10:57.095.mp4,0,0,27.46117705
00:00:54.431.mp4,0,1,27.53678058
00:11:40.728.mp4,0,0,25.21995331
00:02:06.019.mp4,0,0,26.21350163
00:01:18.718.mp4,0,0,28.18900261
00:00:40.515.mp4,0,0,25.246399
00:01:08.637.mp4,0,0,29.65486412
00:03:14.557.mp4,1,0,27.10824663
00:03:24.590.mp4,0,1,27.31187889
00:10:18.376.mp4,0,0,25.09224759
00:21:04.004.mp4,0,0,27.27002804
00:14:57.864.mp4,0,1,29.3166638
00:01:43.464.mp4,0,1,28.62292842
00:09:14.543.mp4,1,1,29.02058986
00:00:44.976.mp4,1,0,29.60082458
00:20:31.154.mp4,0,0,29.71085203
00:10:31.171.mp4,1,1,28.80419783
00:00:30.442.mp4,0,0,27.91370042
00:02:45.437.mp4,2,0,28.43856685
00:01:35.018.mp4,0,0,25.84870762
00:02:56.377.mp4,0,2,27.70163431
00:07:23.982.mp4,0,1,29.59332631
00:07:13.094.mp4,1,0,29.57091213
00:13:57.166.mp4,1,1,29.79383708
00:01:33.260.mp4,1,0,30.0689245
00:01:46.723.mp4,0,0,30.401039
00:12:35.997.mp4,1,0,30.03437958
00:02:09.862.mp4,0,0,28.54235474
00:08:16.887.mp4,2,0,27.46378221
00:06:41.309.mp4,0,1,26.99787698
00:06:29.647.mp4,1,0,28.33615067
00:03:56.751.mp4,0,0,27.81392445
00:03:57.024.mp4,0,1,28.10347977
00:08:29.506.mp4,0,2,29.65570228
00:04:09.367.mp4,0,3,29.32543953
00:01:18.633.mp4,0,1,28.06584993
00:03:45.470.mp4,1,0,29.78568972
00:02:22.882.mp4,0,0,29.82949695
00:20:47.501.mp4,1,0,28.03761316
00:04:41.671.mp4,0,3,28.16959038
00:17:09.138.mp4,0,0,28.75841521
00:15:30.421.mp4,1,1,29.37444026
00:01:06.501.mp4,1,0,30.17866077
00:04:18.881.mp4,2,0,30.31692993
00:04:33.174.mp4,0,1,29.64983094
00:04:28.936.mp4,2,0,28.49851162
00:05:42.581.mp4,0,1,29.41242653
00:05:28.371.mp4,2,0,28.75736448
00:02:56.135.mp4,1,0,29.24175579
00:03:12.339.mp4,0,1,28.64843348
00:10:06.540.mp4,4,6,27.52892198
00:16:51.490.mp4,0,1,28.73115872
00:07:29.492.mp4,7,0,29.46434606
00:09:56.904.mp4,1,0,29.7799081
00:10:27.030.mp4,4,5,29.76237924
00:12:52.070.mp4,0,7,29.46190122
00:12:21.225.mp4,3,0,29.52447367
00:10:54.742.mp4,2,5,28.07371578
00:16:21.036.mp4,0,0,30.07214455
00:07:53.511.mp4,0,9,29.39703827
00:14:41.820.mp4,0,1,29.77012098
00:09:19.676.mp4,1,7,27.79682089
00:08:51.004.mp4,4,1,29.251452
00:20:19.787.mp4,3,8,29.03772775
00:17:57.644.mp4,2,6,27.84653498
00:14:54.399.mp4,9,3,28.37319066
00:19:27.559.mp4,8,6,28.95059333
00:16:54.613.mp4,9,7,28.66811373
