File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,26.482189193937327
00:09:34.084.mp4,0,0,26.675593615915545
00:17:10.535.mp4,2,0,26.111887670622114
00:12:19.952.mp4,0,1,24.805892654615672
00:09:38.088.mp4,3,0,24.513124779367818
00:15:44.934.mp4,1,1,26.675202627457157
00:12:29.397.mp4,0,5,25.419361924722825
00:11:21.904.mp4,1,2,27.432409388968924
00:10:39.642.mp4,1,0,27.48635056364094
00:01:56.787.mp4,0,0,25.925451064694894
00:10:57.095.mp4,1,1,27.63392132459679
00:00:54.431.mp4,0,1,26.88545664132781
00:11:40.728.mp4,1,0,25.233626755090928
00:02:06.019.mp4,0,0,26.96441431350799
00:01:18.718.mp4,0,1,24.463415005766706
00:00:40.515.mp4,0,0,26.76880143769858
00:01:08.637.mp4,1,0,26.702596432007308
00:03:14.557.mp4,0,0,26.486173562750768
00:03:24.590.mp4,0,1,26.971850057219665
00:10:18.376.mp4,0,0,27.412772950407
00:21:04.004.mp4,0,0,27.33057607379888
00:14:57.864.mp4,0,1,27.275835877146854
00:01:43.464.mp4,0,1,26.544112326953876
00:09:14.543.mp4,1,1,27.19498802119723
00:00:44.976.mp4,1,0,27.077869139169284
00:20:31.154.mp4,1,1,27.2700789713886
00:10:31.171.mp4,1,2,27.200159213764362
00:00:30.442.mp4,1,0,27.219610142145346
00:02:45.437.mp4,2,0,27.56976218685805
00:01:35.018.mp4,2,0,27.500215928743366
00:02:56.377.mp4,0,2,27.557975283518978
00:07:23.982.mp4,0,1,27.648070576129523
00:07:13.094.mp4,1,0,27.421986660991244
00:13:57.166.mp4,0,1,27.322516887269277
00:01:33.260.mp4,0,0,27.02022256526699
00:01:46.723.mp4,0,1,27.190640358123133
00:12:35.997.mp4,1,0,27.42281798520974
00:02:09.862.mp4,1,0,27.49609961632527
00:08:16.887.mp4,2,0,27.60650218046914
00:06:41.309.mp4,0,1,27.21550799838941
00:06:29.647.mp4,1,0,27.53417006789298
00:03:56.751.mp4,3,0,27.440867458682312
00:03:57.024.mp4,0,1,27.31758175368308
00:08:29.506.mp4,0,2,27.77062119476695
00:04:09.367.mp4,0,3,26.774620129180214
00:01:18.633.mp4,0,1,26.802720654209075
00:03:45.470.mp4,1,0,27.33584150792882
00:02:22.882.mp4,0,1,26.626901224700074
00:20:47.501.mp4,0,0,26.807574047180708
00:04:41.671.mp4,0,3,26.674422803444084
00:17:09.138.mp4,0,1,25.797366414589685
00:15:30.421.mp4,1,1,26.88036699508656
00:01:06.501.mp4,1,0,26.986805996479983
00:04:18.881.mp4,1,0,26.319272080584355
00:04:33.174.mp4,0,2,26.6475907295342
00:04:28.936.mp4,4,0,26.590588958653903
00:05:42.581.mp4,0,2,27.213160845284104
00:05:28.371.mp4,2,0,26.61130098347696
00:02:56.135.mp4,2,0,26.300044948850385
00:03:12.339.mp4,0,2,25.0982151451339
00:10:06.540.mp4,1,4,26.20532884842748
00:16:51.490.mp4,0,1,26.575915188709807
00:07:29.492.mp4,6,2,26.77192658360015
00:09:56.904.mp4,0,0,25.374764538317542
00:10:27.030.mp4,7,6,25.635650710673236
00:12:52.070.mp4,1,1,25.747647190727164
00:12:21.225.mp4,1,0,26.410443655958158
00:10:54.742.mp4,4,7,24.820608099073773
00:16:21.036.mp4,1,0,26.81397293098002
00:07:53.511.mp4,0,8,26.88066420039012
00:14:41.820.mp4,0,2,25.994273493597966
00:09:19.676.mp4,1,9,26.36604128647691
00:08:51.004.mp4,5,3,25.283505230262673
00:20:19.787.mp4,0,7,25.065669185631787
00:17:57.644.mp4,3,6,25.92043336300163
00:14:54.399.mp4,6,3,26.515760511103277
00:19:27.559.mp4,11,5,26.024179310189993
00:16:54.613.mp4,2,5,26.204024017362833
