File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,28.893844206072014
00:09:34.084.mp4,0,1,29.340606591825676
00:17:10.535.mp4,0,0,29.296266659710636
00:12:19.952.mp4,0,1,29.554493195890437
00:09:38.088.mp4,1,0,29.44028003619681
00:15:44.934.mp4,1,1,29.508423216833595
00:12:29.397.mp4,0,2,29.21729172559052
00:11:21.904.mp4,2,3,29.481597313354847
00:10:39.642.mp4,0,0,28.514110947080255
00:01:56.787.mp4,1,0,28.92332145077386
00:10:57.095.mp4,1,1,28.342775518871008
00:00:54.431.mp4,0,1,27.82044054510138
00:11:40.728.mp4,1,1,28.691912070748288
00:02:06.019.mp4,0,1,28.692585780542746
00:01:18.718.mp4,0,1,29.330110544690804
00:00:40.515.mp4,0,1,29.162516675742484
00:01:08.637.mp4,1,0,28.82318560902435
00:03:14.557.mp4,2,0,28.309946472160696
00:03:24.590.mp4,0,2,29.35016116573339
00:10:18.376.mp4,0,1,29.028072754463548
00:21:04.004.mp4,2,1,29.05903690322032
00:14:57.864.mp4,0,1,28.453738317508822
00:01:43.464.mp4,0,1,27.73884462648526
00:09:14.543.mp4,0,1,28.42680034003572
00:00:44.976.mp4,1,0,27.47517800037925
00:20:31.154.mp4,0,0,28.172138255702972
00:10:31.171.mp4,1,2,28.15200422151222
00:00:30.442.mp4,1,0,27.85462257347323
00:02:45.437.mp4,1,0,28.044291130759877
00:01:35.018.mp4,1,0,27.955009686059476
00:02:56.377.mp4,0,1,28.272866729157546
00:07:23.982.mp4,0,2,29.20296089894703
00:07:13.094.mp4,1,0,29.332250300354726
00:13:57.166.mp4,0,1,25.587641685963465
00:01:33.260.mp4,1,0,28.069468461056548
00:01:46.723.mp4,0,1,29.709790861887576
00:12:35.997.mp4,1,0,29.46709805004528
00:02:09.862.mp4,1,0,28.46153834554257
00:08:16.887.mp4,2,0,26.65212542942096
00:06:41.309.mp4,0,1,23.948100789526286
00:06:29.647.mp4,1,0,27.512402968216154
00:03:56.751.mp4,3,0,28.594979758101662
00:03:57.024.mp4,0,2,25.030515399890835
00:08:29.506.mp4,0,3,25.622788639735322
00:04:09.367.mp4,0,3,28.62793318375725
00:01:18.633.mp4,0,1,28.10451235742685
00:03:45.470.mp4,1,0,23.613583513501105
00:02:22.882.mp4,0,1,24.49237012164047
00:20:47.501.mp4,0,0,26.637461694461226
00:04:41.671.mp4,0,3,18.130893339020247
00:17:09.138.mp4,1,1,26.192449301686537
00:15:30.421.mp4,1,1,28.938166824352066
00:01:06.501.mp4,1,0,27.966284400638887
00:04:18.881.mp4,1,0,28.220632178279626
00:04:33.174.mp4,0,2,27.00970150486389
00:04:28.936.mp4,4,0,28.481272697106807
00:05:42.581.mp4,0,4,29.220430337936758
00:05:28.371.mp4,3,0,27.716106557676625
00:02:56.135.mp4,2,0,26.89218534341071
00:03:12.339.mp4,0,2,28.342066158505716
00:10:06.540.mp4,2,4,29.03185926528187
00:16:51.490.mp4,0,1,28.86485114649739
00:07:29.492.mp4,12,0,27.78463319287903
00:09:56.904.mp4,0,1,26.992428282217396
00:10:27.030.mp4,5,7,27.38978100476178
00:12:52.070.mp4,5,4,28.147190154465626
00:12:21.225.mp4,2,0,27.537420302307062
00:10:54.742.mp4,5,7,27.356191164252312
00:16:21.036.mp4,1,0,26.89240157398366
00:07:53.511.mp4,0,7,27.279350984966175
00:14:41.820.mp4,0,1,24.09538955478503
00:09:19.676.mp4,0,12,21.87676906431847
00:08:51.004.mp4,7,0,24.457177085915855
00:20:19.787.mp4,1,1,23.45073503415641
00:17:57.644.mp4,2,5,23.582253910322354
00:14:54.399.mp4,4,4,25.39604905441779
00:19:27.559.mp4,6,5,28.09383833259051
00:16:54.613.mp4,1,11,28.51224861618867
