File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,55.058630055417595
00:09:34.084.mp4,0,0,57.29153288970845
00:17:10.535.mp4,0,0,58.73198354446726
00:12:19.952.mp4,0,1,62.23070765546837
00:09:38.088.mp4,0,0,59.25936141096431
00:15:44.934.mp4,1,1,59.03994048186416
00:12:29.397.mp4,0,0,60.70558333962093
00:11:21.904.mp4,0,1,58.710276679125116
00:10:39.642.mp4,0,0,58.514411551452355
00:01:56.787.mp4,0,0,59.69154648281693
00:10:57.095.mp4,1,0,59.10467599523247
00:00:54.431.mp4,0,1,58.65527768338235
00:11:40.728.mp4,1,0,59.41840732139042
00:02:06.019.mp4,0,0,58.139917927858214
00:01:18.718.mp4,0,1,58.783089585229185
00:00:40.515.mp4,0,1,59.638153842036175
00:01:08.637.mp4,1,0,59.8385858832419
00:03:14.557.mp4,1,0,58.10545668913642
00:03:24.590.mp4,0,1,57.76511455887447
00:10:18.376.mp4,1,0,59.25606805746155
00:21:04.004.mp4,0,0,58.49355134801097
00:14:57.864.mp4,0,1,58.52526605893913
00:01:43.464.mp4,0,1,59.286140767623536
00:09:14.543.mp4,0,1,58.74186741274433
00:00:44.976.mp4,1,0,57.93109042713309
00:20:31.154.mp4,0,0,61.30724514685281
00:10:31.171.mp4,1,1,59.11464424266129
00:00:30.442.mp4,1,0,57.968493612739934
00:02:45.437.mp4,1,0,58.525145664869875
00:01:35.018.mp4,0,0,58.884055715010334
00:02:56.377.mp4,0,2,57.542019975973275
00:07:23.982.mp4,0,0,59.55999500835678
00:07:13.094.mp4,0,0,60.2519044595137
00:13:57.166.mp4,0,1,61.5186891134976
00:01:33.260.mp4,1,0,59.23611283700364
00:01:46.723.mp4,0,0,57.9474462432623
00:12:35.997.mp4,0,0,62.083702676185
00:02:09.862.mp4,1,0,58.70713345714189
00:08:16.887.mp4,0,0,59.640516374979086
00:06:41.309.mp4,0,0,59.79964569213207
00:06:29.647.mp4,0,0,58.484328191716415
00:03:56.751.mp4,1,0,59.00087697460057
00:03:57.024.mp4,0,0,58.68232144083229
00:08:29.506.mp4,0,0,59.929980479217164
00:04:09.367.mp4,0,1,58.47587746772128
00:01:18.633.mp4,0,1,59.15560390066847
00:03:45.470.mp4,1,0,59.21332038439751
00:02:22.882.mp4,0,1,58.98290343787041
00:20:47.501.mp4,0,1,58.36792089077574
00:04:41.671.mp4,0,2,58.84475361765247
00:17:09.138.mp4,0,1,58.67278057261011
00:15:30.421.mp4,1,1,58.67917486826709
00:01:06.501.mp4,1,0,59.182513749413474
00:04:18.881.mp4,0,0,58.4303535059773
00:04:33.174.mp4,0,0,60.94980346784186
00:04:28.936.mp4,2,0,59.62397691324222
00:05:42.581.mp4,0,2,59.891207895456034
00:05:28.371.mp4,3,0,60.649875672071325
00:02:56.135.mp4,1,0,59.605954371696825
00:03:12.339.mp4,0,0,59.56713013691297
00:10:06.540.mp4,2,0,59.72964754487042
00:16:51.490.mp4,0,1,60.800143799168225
00:07:29.492.mp4,3,0,59.960618073614235
00:09:56.904.mp4,1,0,60.09183880838751
00:10:27.030.mp4,3,3,59.84968222347258
00:12:52.070.mp4,0,0,58.367484801649006
00:12:21.225.mp4,0,0,69.49227046575814
00:10:54.742.mp4,2,1,59.520684913367404
00:16:21.036.mp4,1,0,61.87779606070441
00:07:53.511.mp4,0,1,60.49807735632312
00:14:41.820.mp4,0,1,61.257608770618354
00:09:19.676.mp4,0,1,60.952151561273794
00:08:51.004.mp4,3,0,60.24232992404614
00:20:19.787.mp4,0,0,63.134638787337714
00:17:57.644.mp4,1,0,61.33698178457156
00:14:54.399.mp4,2,0,62.07702930762889
00:19:27.559.mp4,3,3,61.59385288050972
00:16:54.613.mp4,0,1,62.071275041840984
