File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,26.26431234718866
00:09:34.084.mp4,0,1,26.273251246063435
00:17:10.535.mp4,0,0,26.64999164585976
00:12:19.952.mp4,0,1,25.970511646530532
00:09:38.088.mp4,1,0,26.564494104624917
00:15:44.934.mp4,1,1,27.862390597760395
00:12:29.397.mp4,0,2,29.002289667477346
00:11:21.904.mp4,2,3,28.19972945499903
00:10:39.642.mp4,0,0,28.734755347201556
00:01:56.787.mp4,1,0,21.58720836239814
00:10:57.095.mp4,1,1,26.45542866956165
00:00:54.431.mp4,0,1,28.479725491017597
00:11:40.728.mp4,1,1,28.193877802521726
00:02:06.019.mp4,0,1,28.78401748328338
00:01:18.718.mp4,0,1,29.478137099979403
00:00:40.515.mp4,0,1,29.338942802430157
00:01:08.637.mp4,1,0,29.061953733545643
00:03:14.557.mp4,2,0,29.359725037773856
00:03:24.590.mp4,0,2,29.451176679534385
00:10:18.376.mp4,0,1,29.366886594222994
00:21:04.004.mp4,2,1,24.41995252364375
00:14:57.864.mp4,0,1,25.979039494088706
00:01:43.464.mp4,0,1,25.780996852156065
00:09:14.543.mp4,0,1,25.670466605827116
00:00:44.976.mp4,1,0,25.730544176962514
00:20:31.154.mp4,0,0,25.717182845823434
00:10:31.171.mp4,1,2,26.078017688247655
00:00:30.442.mp4,1,0,26.001986553986665
00:02:45.437.mp4,1,0,26.021384903773235
00:01:35.018.mp4,1,0,26.042361361504128
00:02:56.377.mp4,0,1,26.031148031171686
00:07:23.982.mp4,0,2,25.966976723272936
00:07:13.094.mp4,1,0,26.519911340788862
00:13:57.166.mp4,0,1,28.30112738857691
00:01:33.260.mp4,1,0,28.212366805059755
00:01:46.723.mp4,0,1,29.676940011078386
00:12:35.997.mp4,1,0,29.577219000617337
00:02:09.862.mp4,1,0,29.64912856239548
00:08:16.887.mp4,2,0,29.623948684171108
00:06:41.309.mp4,0,1,29.45625611062266
00:06:29.647.mp4,1,0,28.792290931836853
00:03:56.751.mp4,3,0,28.20827859677933
00:03:57.024.mp4,0,2,25.767795143898134
00:08:29.506.mp4,0,3,22.2571330559306
00:04:09.367.mp4,0,3,24.569702887666633
00:01:18.633.mp4,0,1,24.63379539747459
00:03:45.470.mp4,1,0,24.52279901686593
00:02:22.882.mp4,0,1,23.938572434966584
00:20:47.501.mp4,0,0,24.826618396927262
00:04:41.671.mp4,0,3,24.660929215080305
00:17:09.138.mp4,1,1,24.90583917557369
00:15:30.421.mp4,1,1,24.85171179625309
00:01:06.501.mp4,1,0,24.972680373093695
00:04:18.881.mp4,1,0,24.11495071601443
00:04:33.174.mp4,0,2,27.314299910961445
00:04:28.936.mp4,4,0,27.008877582786493
00:05:42.581.mp4,0,4,27.42236130099686
00:05:28.371.mp4,3,0,22.60969754046436
00:02:56.135.mp4,2,0,25.446074825201983
00:03:12.339.mp4,0,2,24.763092948209316
00:10:06.540.mp4,2,4,24.81816671739954
00:16:51.490.mp4,0,1,25.192250110538176
00:07:29.492.mp4,12,0,24.954592864992946
00:09:56.904.mp4,0,1,24.316390843520203
00:10:27.030.mp4,5,7,25.053801555661614
00:12:52.070.mp4,5,4,24.991803776371444
00:12:21.225.mp4,2,0,25.074025568439016
00:10:54.742.mp4,5,7,25.156265571370536
00:16:21.036.mp4,1,0,25.236950097823566
00:07:53.511.mp4,0,7,25.166623659594
00:14:41.820.mp4,0,1,24.89755835950099
00:09:19.676.mp4,0,12,25.868127340475116
00:08:51.004.mp4,7,0,26.056944658865305
00:20:19.787.mp4,1,1,25.20683713296238
00:17:57.644.mp4,2,5,25.272678921058542
00:14:54.399.mp4,4,4,25.385819382534528
00:19:27.559.mp4,6,5,25.832265938055812
00:16:54.613.mp4,1,11,25.2799040999671
