File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,25.735248475247484
00:09:34.084.mp4,0,1,26.646410229672252
00:17:10.535.mp4,0,0,25.494237940455847
00:12:19.952.mp4,0,1,26.89399884577283
00:09:38.088.mp4,1,0,27.505233810151267
00:15:44.934.mp4,0,1,27.70537774073902
00:12:29.397.mp4,2,3,27.348038543301996
00:11:21.904.mp4,1,1,27.453129378187242
00:10:39.642.mp4,1,0,27.392495895032187
00:01:56.787.mp4,1,0,27.430870472698746
00:10:57.095.mp4,1,1,27.50511105653623
00:00:54.431.mp4,0,1,27.379552710232502
00:11:40.728.mp4,1,1,27.41163620682093
00:02:06.019.mp4,0,1,27.463488347200908
00:01:18.718.mp4,0,1,26.858772110389676
00:00:40.515.mp4,0,1,25.41303678979532
00:01:08.637.mp4,1,0,27.057467228905313
00:03:14.557.mp4,2,0,25.913160664117168
00:03:24.590.mp4,0,2,26.118506276001344
00:10:18.376.mp4,0,1,26.14133310005466
00:21:04.004.mp4,0,0,25.9629438866363
00:14:57.864.mp4,0,1,26.50482055816175
00:01:43.464.mp4,0,1,26.702580981663395
00:09:14.543.mp4,1,1,25.15273379868163
00:00:44.976.mp4,1,0,25.39261062558078
00:20:31.154.mp4,1,1,25.104117906825856
00:10:31.171.mp4,1,2,22.198010814828766
00:00:30.442.mp4,1,0,24.72928717721299
00:02:45.437.mp4,2,0,20.825530001842907
00:01:35.018.mp4,0,0,26.31450063900448
00:02:56.377.mp4,0,2,27.075784783763183
00:07:23.982.mp4,0,1,23.752100624459434
00:07:13.094.mp4,1,0,24.88514836530291
00:13:57.166.mp4,0,1,24.089073454431553
00:01:33.260.mp4,0,0,24.570567693041557
00:01:46.723.mp4,0,1,27.00003728929878
00:12:35.997.mp4,1,0,27.0901359687985
00:02:09.862.mp4,1,0,25.77166808825371
00:08:16.887.mp4,3,0,26.830761771474123
00:06:41.309.mp4,0,1,27.111516740592723
00:06:29.647.mp4,1,0,26.891301567115047
00:03:56.751.mp4,3,0,26.228158245766014
00:03:57.024.mp4,0,2,24.96582250727202
00:08:29.506.mp4,0,1,26.46564101870307
00:04:09.367.mp4,0,3,26.07299904350785
00:01:18.633.mp4,0,1,24.563827038075008
00:03:45.470.mp4,1,0,26.2892238778217
00:02:22.882.mp4,0,1,27.46350895075758
00:20:47.501.mp4,0,0,27.14677400700973
00:04:41.671.mp4,0,3,26.50725065909885
00:17:09.138.mp4,0,1,25.540013205081834
00:15:30.421.mp4,1,1,26.599136287460052
00:01:06.501.mp4,1,0,26.930991114210862
00:04:18.881.mp4,1,0,27.557006862422206
00:04:33.174.mp4,0,1,27.165920756359967
00:04:28.936.mp4,4,0,26.949823322274117
00:05:42.581.mp4,0,3,26.355688480177207
00:05:28.371.mp4,2,0,26.219985099603857
00:02:56.135.mp4,1,0,25.615590635878014
00:03:12.339.mp4,0,2,25.936702002075254
00:10:06.540.mp4,3,4,25.19212661180584
00:16:51.490.mp4,0,1,25.692325114285612
00:07:29.492.mp4,7,0,26.849149523359067
00:09:56.904.mp4,1,1,26.917718228837384
00:10:27.030.mp4,5,6,25.989010536926767
00:12:52.070.mp4,3,0,26.17514018753012
00:12:21.225.mp4,2,0,26.30666379645752
00:10:54.742.mp4,5,7,25.462688423926448
00:16:21.036.mp4,1,0,26.063778996125382
00:07:53.511.mp4,0,7,25.528400928602238
00:14:41.820.mp4,0,1,27.371011004137372
00:09:19.676.mp4,0,11,24.859903005593765
00:08:51.004.mp4,7,1,21.48043990670432
00:20:19.787.mp4,1,2,19.076041637149153
00:17:57.644.mp4,2,6,22.29811212663562
00:14:54.399.mp4,7,9,22.445254923817554
00:19:27.559.mp4,10,7,23.91637343140055
00:16:54.613.mp4,1,13,24.003753096719738
