File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,156.38338670427424
00:09:34.084.mp4,0,0,170.66060707998224
00:17:10.535.mp4,0,0,184.08774303037265
00:12:19.952.mp4,0,0,177.83031112385555
00:09:38.088.mp4,0,1,182.15736861226438
00:15:44.934.mp4,0,0,175.3659595825798
00:12:29.397.mp4,0,0,183.76284091582437
00:11:21.904.mp4,0,2,173.27732803239437
00:10:39.642.mp4,0,0,179.49559176805266
00:01:56.787.mp4,0,0,184.07452208118096
00:10:57.095.mp4,0,0,181.5022162689721
00:00:54.431.mp4,0,0,183.7168799692416
00:11:40.728.mp4,0,0,178.54962710652256
00:02:06.019.mp4,0,0,175.94491151103423
00:01:18.718.mp4,0,0,183.46847282185175
00:00:40.515.mp4,0,0,175.63878889134017
00:01:08.637.mp4,0,0,182.52329284139915
00:03:14.557.mp4,0,0,183.37243929249524
00:03:24.590.mp4,0,0,181.45408190286398
00:10:18.376.mp4,0,0,174.25092168832126
00:21:04.004.mp4,0,0,184.3493853291887
00:14:57.864.mp4,0,0,170.68470930146677
00:01:43.464.mp4,0,0,182.89345988868672
00:09:14.543.mp4,0,0,179.72245628947152
00:00:44.976.mp4,0,0,183.98772238541665
00:20:31.154.mp4,0,0,186.58148397533463
00:10:31.171.mp4,0,0,179.15791861769972
00:00:30.442.mp4,0,0,180.81058552510504
00:02:45.437.mp4,0,0,182.17456255205204
00:01:35.018.mp4,0,0,179.1868403394228
00:02:56.377.mp4,0,0,183.5030975245313
00:07:23.982.mp4,0,0,175.5669782558705
00:07:13.094.mp4,1,0,178.63191178390497
00:13:57.166.mp4,0,0,176.11061372925545
00:01:33.260.mp4,0,0,184.9216652592539
00:01:46.723.mp4,0,0,184.00737778076194
00:12:35.997.mp4,0,1,184.3290283925191
00:02:09.862.mp4,0,0,178.69658523603965
00:08:16.887.mp4,0,0,176.24105938003103
00:06:41.309.mp4,0,0,176.0009749232405
00:06:29.647.mp4,0,0,181.23423929481916
00:03:56.751.mp4,0,0,183.70983391127282
00:03:57.024.mp4,0,0,182.33739781420655
00:08:29.506.mp4,0,0,180.23793500244952
00:04:09.367.mp4,0,0,186.04836665072858
00:01:18.633.mp4,0,0,183.76571071981962
00:03:45.470.mp4,0,0,183.96041039408686
00:02:22.882.mp4,0,0,182.3217376959562
00:20:47.501.mp4,1,0,195.57750674761203
00:04:41.671.mp4,0,1,180.63715837970994
00:17:09.138.mp4,0,0,180.25620050490372
00:15:30.421.mp4,0,0,177.6678969189199
00:01:06.501.mp4,0,0,184.0425723423689
00:04:18.881.mp4,1,0,184.4956262742121
00:04:33.174.mp4,0,0,181.86745126189584
00:04:28.936.mp4,0,0,186.84376564383462
00:05:42.581.mp4,0,0,188.6507107157656
00:05:28.371.mp4,0,0,185.96609047269976
00:02:56.135.mp4,1,0,183.94941803160245
00:03:12.339.mp4,0,1,183.57341740761683
00:10:06.540.mp4,1,2,190.049831954959
00:16:51.490.mp4,0,0,180.81817816032859
00:07:29.492.mp4,2,0,192.4690172005062
00:09:56.904.mp4,1,0,184.55614327482124
00:10:27.030.mp4,0,2,193.56706527247263
00:12:52.070.mp4,1,0,193.3670009193731
00:12:21.225.mp4,0,0,193.735845935176
00:10:54.742.mp4,0,2,192.8023721636626
00:16:21.036.mp4,0,0,178.71084470836416
00:07:53.511.mp4,0,3,191.51327060912172
00:14:41.820.mp4,0,0,183.29812801264535
00:09:19.676.mp4,0,1,191.527233684319
00:08:51.004.mp4,3,0,189.64555059179213
00:20:19.787.mp4,1,0,190.8837713720594
00:17:57.644.mp4,0,1,188.49146963620237
00:14:54.399.mp4,4,0,187.6119218883469
00:19:27.559.mp4,2,4,190.8739377667567
00:16:54.613.mp4,0,3,187.6430537505521
