File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,136.60287618233482
00:09:34.084.mp4,0,0,175.30458487383504
00:17:10.535.mp4,0,0,185.6460214274649
00:12:19.952.mp4,0,1,180.55056988929118
00:09:38.088.mp4,0,0,184.20237237471497
00:15:44.934.mp4,0,0,178.38979773366077
00:12:29.397.mp4,0,2,188.33466188246666
00:11:21.904.mp4,0,1,171.66667213485005
00:10:39.642.mp4,0,0,182.43945576196265
00:01:56.787.mp4,0,0,182.8360572545736
00:10:57.095.mp4,0,0,182.14727933004377
00:00:54.431.mp4,0,0,187.35767040688665
00:11:40.728.mp4,1,0,180.19432998163308
00:02:06.019.mp4,0,0,183.30009991827214
00:01:18.718.mp4,0,0,187.29767072743556
00:00:40.515.mp4,0,0,183.92706957931776
00:01:08.637.mp4,0,0,187.3820926433521
00:03:14.557.mp4,0,0,182.4775854517023
00:03:24.590.mp4,0,1,186.11460913544306
00:10:18.376.mp4,0,0,178.6948609592139
00:21:04.004.mp4,1,0,192.8788151396768
00:14:57.864.mp4,0,0,177.8018282550566
00:01:43.464.mp4,0,0,186.2032448994492
00:09:14.543.mp4,0,0,183.97626365638698
00:00:44.976.mp4,0,0,188.34096174321337
00:20:31.154.mp4,0,0,188.43587032738313
00:10:31.171.mp4,0,0,183.91011418666935
00:00:30.442.mp4,0,0,181.88254761811805
00:02:45.437.mp4,0,0,185.31932080273967
00:01:35.018.mp4,0,0,183.39398196612274
00:02:56.377.mp4,0,0,187.2620801114104
00:07:23.982.mp4,0,1,175.18550034068252
00:07:13.094.mp4,1,0,182.3714922309649
00:13:57.166.mp4,0,1,181.17853541185207
00:01:33.260.mp4,0,0,185.20576178770318
00:01:46.723.mp4,0,0,180.6446321274003
00:12:35.997.mp4,0,1,186.86428088848697
00:02:09.862.mp4,1,0,181.01769788323705
00:08:16.887.mp4,1,0,181.6386403844005
00:06:41.309.mp4,0,0,182.05047702403022
00:06:29.647.mp4,0,0,186.43259740271418
00:03:56.751.mp4,0,0,186.38513732937105
00:03:57.024.mp4,0,1,187.637820776385
00:08:29.506.mp4,0,0,181.4708789076113
00:04:09.367.mp4,0,2,188.00771382616446
00:01:18.633.mp4,0,0,185.45746693272324
00:03:45.470.mp4,1,0,186.26461439774994
00:02:22.882.mp4,0,0,179.9406328341465
00:20:47.501.mp4,0,0,194.41340302022434
00:04:41.671.mp4,0,1,183.70167295847983
00:17:09.138.mp4,0,0,179.4515416883417
00:15:30.421.mp4,0,0,177.15091232762404
00:01:06.501.mp4,0,0,182.4460603009084
00:04:18.881.mp4,0,0,186.10390189250813
00:04:33.174.mp4,0,1,186.62844487011986
00:04:28.936.mp4,0,0,184.83337889178432
00:05:42.581.mp4,0,2,184.17613877683885
00:05:28.371.mp4,0,0,184.18533845372167
00:02:56.135.mp4,1,0,185.78705430159604
00:03:12.339.mp4,0,1,181.86489033739772
00:10:06.540.mp4,0,3,188.49443221615837
00:16:51.490.mp4,0,0,177.4987078993645
00:07:29.492.mp4,3,0,195.4478272739383
00:09:56.904.mp4,1,0,185.7023808690112
00:10:27.030.mp4,0,3,189.83635004432395
00:12:52.070.mp4,0,0,193.7701190110865
00:12:21.225.mp4,3,0,192.37414908825642
00:10:54.742.mp4,0,3,192.73409503921414
00:16:21.036.mp4,0,0,182.72171775016858
00:07:53.511.mp4,0,1,188.06484505219936
00:14:41.820.mp4,0,0,184.90457407066378
00:09:19.676.mp4,0,3,189.37442064247603
00:08:51.004.mp4,0,0,189.79879177789633
00:20:19.787.mp4,1,0,190.81167511333032
00:17:57.644.mp4,0,1,192.6090463618351
00:14:54.399.mp4,4,3,188.85316697083303
00:19:27.559.mp4,4,5,192.06862946824236
00:16:54.613.mp4,0,3,187.3046208718979
