File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,169.0703413425976
00:09:34.084.mp4,0,0,183.94955049378223
00:17:10.535.mp4,0,0,202.14685903242938
00:12:19.952.mp4,0,0,189.17260832714175
00:09:38.088.mp4,0,0,200.24188445494707
00:15:44.934.mp4,0,0,187.04599172412307
00:12:29.397.mp4,0,0,200.60423260137233
00:11:21.904.mp4,0,0,182.57913571818054
00:10:39.642.mp4,0,0,192.9598410874541
00:01:56.787.mp4,0,0,197.83695711182287
00:10:57.095.mp4,0,0,194.31654780094706
00:00:54.431.mp4,0,0,200.2683207880703
00:11:40.728.mp4,0,0,194.95434042285075
00:02:06.019.mp4,0,0,192.36074701856478
00:01:18.718.mp4,0,0,197.85731030614158
00:00:40.515.mp4,0,0,192.4633707429198
00:01:08.637.mp4,0,0,197.67563555652336
00:03:14.557.mp4,0,0,195.60977884731977
00:03:24.590.mp4,0,0,195.84703451784898
00:10:18.376.mp4,0,0,190.49618343724086
00:21:04.004.mp4,0,0,204.91662551561393
00:14:57.864.mp4,0,0,184.96407730956074
00:01:43.464.mp4,0,0,195.5522435873485
00:09:14.543.mp4,0,0,192.78313586405434
00:00:44.976.mp4,0,0,198.90131001394067
00:20:31.154.mp4,0,0,204.03511991678752
00:10:31.171.mp4,0,0,193.3949108555407
00:00:30.442.mp4,0,0,189.67308758129556
00:02:45.437.mp4,0,0,189.95699805080227
00:01:35.018.mp4,0,0,188.68649016967333
00:02:56.377.mp4,0,0,195.58144626380053
00:07:23.982.mp4,0,0,187.90387159363996
00:07:13.094.mp4,0,0,189.59425831580023
00:13:57.166.mp4,0,0,188.4283252677454
00:01:33.260.mp4,0,0,194.07237734817042
00:01:46.723.mp4,0,0,192.7988901811612
00:12:35.997.mp4,0,0,197.87942910357447
00:02:09.862.mp4,0,0,194.50006719128322
00:08:16.887.mp4,0,0,191.46320367812896
00:06:41.309.mp4,0,0,190.5730241226504
00:06:29.647.mp4,0,0,200.23237415878776
00:03:56.751.mp4,0,0,195.8680738873
00:03:57.024.mp4,0,0,197.18859503233872
00:08:29.506.mp4,0,0,195.55062830743813
00:04:09.367.mp4,0,0,200.60659587538018
00:01:18.633.mp4,0,0,191.2476729610054
00:03:45.470.mp4,0,0,191.49398847269046
00:02:22.882.mp4,0,0,190.9083479800183
00:20:47.501.mp4,0,0,208.35373313405978
00:04:41.671.mp4,0,0,195.15549491686852
00:17:09.138.mp4,0,0,190.74956551164976
00:15:30.421.mp4,0,0,185.67240500350013
00:01:06.501.mp4,0,0,196.04573347199008
00:04:18.881.mp4,0,0,193.53106679620439
00:04:33.174.mp4,0,0,194.99652132637303
00:04:28.936.mp4,0,0,198.2243224747584
00:05:42.581.mp4,0,0,198.19351785655695
00:05:28.371.mp4,0,0,195.49249358492702
00:02:56.135.mp4,0,0,193.48498155817006
00:03:12.339.mp4,0,0,194.4977990678537
00:10:06.540.mp4,0,0,201.51677833495955
00:16:51.490.mp4,0,0,189.6190563737494
00:07:29.492.mp4,0,0,206.55041360830378
00:09:56.904.mp4,0,0,191.6262541313246
00:10:27.030.mp4,0,0,203.45738566064995
00:12:52.070.mp4,0,0,205.7323898906839
00:12:21.225.mp4,0,0,205.5718041795003
00:10:54.742.mp4,0,1,204.32655443513903
00:16:21.036.mp4,0,0,192.1279918117845
00:07:53.511.mp4,0,0,205.15137213923828
00:14:41.820.mp4,0,1,193.39864545309882
00:09:19.676.mp4,0,0,202.39525138239142
00:08:51.004.mp4,0,0,205.70631387255622
00:20:19.787.mp4,0,0,206.57187381007802
00:17:57.644.mp4,0,1,208.17898042981327
00:14:54.399.mp4,2,0,203.86938880913394
00:19:27.559.mp4,0,0,211.60609971168725
00:16:54.613.mp4,0,0,202.48243392379064
