File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,134.33365933288738
00:09:34.084.mp4,0,2,155.91056375443577
00:17:10.535.mp4,0,2,127.59086632874141
00:12:19.952.mp4,0,1,127.22147608522491
00:09:38.088.mp4,1,0,132.46559170658554
00:15:44.934.mp4,1,1,141.87527472447363
00:12:29.397.mp4,0,3,124.2125496635893
00:11:21.904.mp4,1,2,146.12423859031483
00:10:39.642.mp4,0,0,153.45627837919486
00:01:56.787.mp4,1,0,149.49950664071284
00:10:57.095.mp4,0,1,153.2657457952442
00:00:54.431.mp4,0,1,152.18586944850696
00:11:40.728.mp4,2,1,150.37555710532033
00:02:06.019.mp4,0,1,146.98147331337557
00:01:18.718.mp4,0,1,155.80781348736076
00:00:40.515.mp4,0,1,149.11817770207176
00:01:08.637.mp4,1,0,153.66425588368767
00:03:14.557.mp4,2,0,152.15079446103044
00:03:24.590.mp4,0,2,153.77584387242888
00:10:18.376.mp4,0,0,146.1081267555568
00:21:04.004.mp4,1,0,140.7761063459699
00:14:57.864.mp4,0,1,145.88381473612915
00:01:43.464.mp4,0,1,149.17832417764902
00:09:14.543.mp4,1,1,148.54673614686538
00:00:44.976.mp4,1,0,152.38998886095513
00:20:31.154.mp4,0,1,143.05284347150638
00:10:31.171.mp4,1,2,150.06692615338466
00:00:30.442.mp4,1,0,145.78561612364703
00:02:45.437.mp4,2,0,151.62011347292716
00:01:35.018.mp4,2,0,151.6846000208505
00:02:56.377.mp4,0,2,151.045402020357
00:07:23.982.mp4,0,2,144.3875224087158
00:07:13.094.mp4,2,0,150.25864853644273
00:13:57.166.mp4,0,0,145.4476920946347
00:01:33.260.mp4,1,0,152.28764914349176
00:01:46.723.mp4,0,1,151.89590716378555
00:12:35.997.mp4,0,0,147.75153353796188
00:02:09.862.mp4,1,0,152.29667720975513
00:08:16.887.mp4,2,0,148.11417783307922
00:06:41.309.mp4,0,1,151.19210756168005
00:06:29.647.mp4,1,0,154.9941882620323
00:03:56.751.mp4,5,0,148.80672926382445
00:03:57.024.mp4,0,1,151.2567265521612
00:08:29.506.mp4,0,1,149.98318595461149
00:04:09.367.mp4,0,3,147.83894429055638
00:01:18.633.mp4,0,2,151.2116006572277
00:03:45.470.mp4,1,0,151.0662926099997
00:02:22.882.mp4,0,1,153.1904801458591
00:20:47.501.mp4,1,0,142.81073675103576
00:04:41.671.mp4,0,3,142.60119053936236
00:17:09.138.mp4,1,1,150.71138781631012
00:15:30.421.mp4,1,1,151.52017188576892
00:01:06.501.mp4,1,0,157.70875610171163
00:04:18.881.mp4,3,0,153.58284282576741
00:04:33.174.mp4,0,2,153.97538077602152
00:04:28.936.mp4,5,0,144.26219316487038
00:05:42.581.mp4,0,2,150.77216688003355
00:05:28.371.mp4,1,0,145.07262798844675
00:02:56.135.mp4,4,0,150.40875991305245
00:03:12.339.mp4,0,3,152.51790263383938
00:10:06.540.mp4,6,4,134.39104041980332
00:16:51.490.mp4,0,2,147.50242100932024
00:07:29.492.mp4,9,0,144.55131160670604
00:09:56.904.mp4,0,1,147.4635157152122
00:10:27.030.mp4,4,9,135.23374029182258
00:12:52.070.mp4,2,4,130.0816915905657
00:12:21.225.mp4,1,0,136.37160226592982
00:10:54.742.mp4,5,5,141.13267711384788
00:16:21.036.mp4,1,0,147.22236462681104
00:07:53.511.mp4,0,10,141.37634525864593
00:14:41.820.mp4,0,2,149.33577640644785
00:09:19.676.mp4,0,8,142.72648681625543
00:08:51.004.mp4,4,1,144.19869715752992
00:20:19.787.mp4,1,0,145.0958410463443
00:17:57.644.mp4,1,3,134.59877404853864
00:14:54.399.mp4,5,1,140.50685693162268
00:19:27.559.mp4,6,9,143.5315048882663
00:16:54.613.mp4,2,10,141.56793307292827
