File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,134.10067055693406
00:09:34.084.mp4,0,1,141.74664530476124
00:17:10.535.mp4,0,0,148.47268994324418
00:12:19.952.mp4,0,0,147.51480048178172
00:09:38.088.mp4,0,0,151.13124367888827
00:15:44.934.mp4,1,0,144.76433925321612
00:12:29.397.mp4,0,0,147.3084557149182
00:11:21.904.mp4,0,0,145.56242238843677
00:10:39.642.mp4,0,0,148.50355907345417
00:01:56.787.mp4,0,0,148.3425742933682
00:10:57.095.mp4,1,0,146.34953725231898
00:00:54.431.mp4,0,1,147.25381361138906
00:11:40.728.mp4,1,0,148.79021034056296
00:02:06.019.mp4,0,0,145.37380150259892
00:01:18.718.mp4,0,1,146.3847905114189
00:00:40.515.mp4,0,1,147.37688905447095
00:01:08.637.mp4,1,0,146.06990398126018
00:03:14.557.mp4,1,0,144.34573405766454
00:03:24.590.mp4,0,1,144.28938593487533
00:10:18.376.mp4,0,0,144.25206280268986
00:21:04.004.mp4,0,0,145.5175507317095
00:14:57.864.mp4,0,1,144.0673667452604
00:01:43.464.mp4,0,1,148.01881681128162
00:09:14.543.mp4,1,0,146.3858626289961
00:00:44.976.mp4,1,0,145.77419412262847
00:20:31.154.mp4,0,0,147.11160531465393
00:10:31.171.mp4,1,0,143.05164250003642
00:00:30.442.mp4,1,0,143.9112698465894
00:02:45.437.mp4,1,0,144.42147842252479
00:01:35.018.mp4,0,0,147.12623707198009
00:02:56.377.mp4,0,2,143.65732644915357
00:07:23.982.mp4,0,0,144.69535689936666
00:07:13.094.mp4,0,0,145.46062140999953
00:13:57.166.mp4,0,1,145.48147044668792
00:01:33.260.mp4,1,0,143.45295224241747
00:01:46.723.mp4,0,0,145.00056409473757
00:12:35.997.mp4,0,0,146.79240686065867
00:02:09.862.mp4,1,0,148.28970690050386
00:08:16.887.mp4,0,0,145.34747700250867
00:06:41.309.mp4,0,0,146.1091130048395
00:06:29.647.mp4,0,0,144.7852646842299
00:03:56.751.mp4,1,0,146.79497698556526
00:03:57.024.mp4,0,0,146.59135330432002
00:08:29.506.mp4,0,0,144.06613195904208
00:04:09.367.mp4,0,1,146.8544141484657
00:01:18.633.mp4,0,0,144.52608404849911
00:03:45.470.mp4,1,0,144.5555161551464
00:02:22.882.mp4,0,1,143.5092124831305
00:20:47.501.mp4,0,0,146.2780971506688
00:04:41.671.mp4,0,1,144.31879329966202
00:17:09.138.mp4,0,0,144.59344247862649
00:15:30.421.mp4,0,0,143.1949127590063
00:01:06.501.mp4,1,0,146.63982625685804
00:04:18.881.mp4,0,0,144.9480537999566
00:04:33.174.mp4,0,0,144.80256372413209
00:04:28.936.mp4,2,0,145.41139964383837
00:05:42.581.mp4,0,1,143.1245455372945
00:05:28.371.mp4,2,0,145.76008395375507
00:02:56.135.mp4,1,0,143.8171714341283
00:03:12.339.mp4,0,0,145.85882953767523
00:10:06.540.mp4,1,0,147.4195375346852
00:16:51.490.mp4,0,0,145.39773228434612
00:07:29.492.mp4,1,0,145.66335488493363
00:09:56.904.mp4,0,0,147.35348359662535
00:10:27.030.mp4,2,4,147.16557140779165
00:12:52.070.mp4,0,0,146.17531916785
00:12:21.225.mp4,0,0,158.4269959102747
00:10:54.742.mp4,2,1,148.6086980382194
00:16:21.036.mp4,1,0,149.413040865087
00:07:53.511.mp4,0,0,151.05113933342233
00:14:41.820.mp4,0,1,147.86267280449385
00:09:19.676.mp4,0,0,152.238231478203
00:08:51.004.mp4,1,0,150.25291804726655
00:20:19.787.mp4,0,0,150.4183233583803
00:17:57.644.mp4,0,1,149.6833890824181
00:14:54.399.mp4,0,0,152.88065430538506
00:19:27.559.mp4,2,2,150.18951045830934
00:16:54.613.mp4,0,1,150.06506531176566
